,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist
,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer
,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,5.8300000,0.6308825,0.3569136,0.5302252,-0.4398422,-9.8696747,-0.7812738,1.7456000,0.1393917,0.0528788,-0.1206892,46.3209605,3.4729513,-9.6072557,5.8300000,0.6882797,0.2838389,0.0745923,-0.6634324,-4.8461915,2.4657478,8.3555982,0.0978842,0.0028437,0.0604085,25.0862141,-1.3186950,-44.3131702,5.8300000,0.6744674,-0.0977339,0.7215534,0.1220762,-10.0697341,-0.5563951,-1.6523452,0.3544771,0.2030431,0.0645391,41.9611902,-5.1349707,11.0555611,5.8300000,0.4582607,0.4926083,0.4733507,-0.5685713,-9.6205077,-2.1159240,0.5855257,0.1996120,0.0314993,-0.1800094,44.2518387,9.9280563,-6.7609677,5.8300000,0.3729926,0.5575700,0.2675342,-0.6916775,-10.4983741,0.6714218,3.2008339,0.4345391,0.1521160,-0.2411851,44.8085071,1.2500264,-19.8883033,5.8300000,0.1223773,-0.5327339,0.0739768,0.8341138,-9.3981269,0.5207922,4.4174638,0.0406603,0.0343222,0.0189513,42.0178833,-2.9330093,-30.8725224,5.8300000,0.4668436,0.4001672,0.0583783,-0.7864574,-1.0513053,11.6731099,10.3972953,0.2906488,-0.7402526,-0.5470207,24.8862952,-5.2705318,-30.9486646,5.8300000,-0.0654626,0.5861783,0.1689787,-0.7896555,-6.4792675,-5.9359794,2.0070119,0.6035518,-0.1225796,-0.5541166,31.2370064,15.0726666,-22.3271238,5.8300000,0.2457497,0.7378715,0.1247621,-0.6161065,-12.1147104,-1.2159721,-1.7628320,0.1602421,0.1817686,1.1787366,41.5638239,-7.1610667,-0.0223176,5.8300000,0.3049250,0.4580263,0.4105743,-0.7270911,-9.7641795,-0.6147217,1.7883937,1.5778836,-0.1267278,-1.1893797,38.5405097,15.3734906,-14.8546727
1,5.8400000,0.6301874,0.3569935,0.5303848,-0.4405808,-9.9245931,-0.7995721,1.8921133,0.1441985,0.0491311,-0.1591406,46.3271311,3.5645618,-9.6071922,5.8400000,0.6883383,0.2842721,0.0739666,-0.6632562,-4.7046777,2.4261840,8.2705907,0.1397227,-0.0248903,0.0774736,25.0862141,-1.3916440,-44.3614046,5.8400000,0.6739480,-0.0960363,0.7225177,0.1205794,-10.1066434,0.2671590,-2.0095888,0.4589179,0.1825358,0.0712807,41.8635301,-5.0460033,11.2465344,5.8400000,0.4573436,0.4926882,0.4732208,-0.5693481,-9.6830487,-1.6513979,0.5636890,0.1908755,0.0006922,-0.1512258,44.2535574,10.1182181,-6.6547535,5.8400000,0.3711910,0.5580205,0.2673955,-0.6923366,-10.3299399,0.7153385,2.8102124,0.3095712,0.0735018,-0.2653235,45.1990395,1.2793337,-19.7589313,5.8400000,0.1221679,-0.5327879,0.0743311,0.8340785,-9.5673759,0.2880332,4.4719959,0.0450079,0.0270568,0.0685206,42.0121833,-2.9721504,-30.9238244,5.8400000,0.4660700,0.3945587,0.0573088,-0.7898214,1.6988775,8.7147163,8.1627730,-0.2536882,-1.2474436,-0.4116685,24.4883907,-5.0752132,-31.3865971,5.8400000,-0.0681097,0.5856693,0.1655218,-0.7905410,-5.4507642,-3.6902127,2.5055987,0.8962691,-0.0461931,-0.0160295,30.9389917,14.9802225,-22.4832115,5.8400000,0.2467108,0.7397410,0.1196645,-0.6144896,-11.5513458,-1.1963255,-1.2566923,0.5394166,0.1971487,1.0064692,41.5706915,-7.6204742,0.0556970,5.8400000,0.2976980,0.4576328,0.4073532,-0.7321281,-9.6979013,-0.4507827,1.8973911,1.5430111,-0.1200896,-1.0981974,38.3565097,15.6542850,-15.2313992
2,5.8500000,0.6293688,0.3570180,0.5306703,-0.4413866,-9.9795394,-0.8300949,1.8555851,0.1420667,0.0683517,-0.1933243,46.3758567,3.6621527,-9.6072606,5.8500000,0.6884009,0.2847436,0.0732371,-0.6630698,-4.4039306,2.5158970,8.2826499,0.1583946,-0.0335890,0.0859923,25.0862141,-1.4163518,-44.2884598,5.8500000,0.6735722,-0.0941670,0.7233879,0.1189244,-10.1543870,1.0866847,-1.8981231,0.5054214,0.1479048,0.0695247,41.9524985,-4.9483442,11.2552261,5.8500000,0.4567451,0.4925841,0.4732086,-0.5699285,-9.8306121,-1.1515389,0.6864077,0.1107046,-0.0203136,-0.1259850,44.3477762,10.0222778,-6.7509087,5.8500000,0.3698061,0.5580070,0.2676214,-0.6930011,-10.1053160,0.9277333,2.6270493,0.1783967,0.0134655,-0.2736590,45.3700261,1.4380087,-19.8931601,5.8500000,0.1217575,-0.5327708,0.0749381,0.8340951,-9.6023326,0.1025002,4.4988315,0.0667331,0.0188691,0.1313300,41.9600736,-3.1218679,-30.9367868,5.8500000,0.4663502,0.3877926,0.0557809,-0.7931096,2.4484621,6.8420505,6.7953217,-0.3731261,-1.4791313,-0.2152738,23.9936224,-4.8846643,-31.8031816,5.8500000,-0.0691179,0.5856902,0.1602800,-0.7915175,-5.1805022,-1.8395068,2.9463692,0.9823001,-0.0028968,0.4709474,31.1973432,14.5948001,-22.6059375,5.8500000,0.2461576,0.7419390,0.1145913,-0.6130268,-10.9204445,-1.1247729,-0.9092459,0.7803226,0.2522042,0.8170385,41.6203730,-7.9920542,0.1915236,5.8500000,0.2909309,0.4573084,0.4041960,-0.7367861,-9.6019915,-0.4281306,1.9610343,1.4648855,-0.1087218,-1.0083283,38.2527682,15.8443443,-15.4406284
3,5.8600000,0.6284560,0.3570260,0.5310879,-0.4421778,-9.9856636,-0.8057106,1.6663728,0.1335210,0.0945237,-0.2109576,46.4247844,3.7598803,-9.5095961,5.8600000,0.6884234,0.2853393,0.0725534,-0.6628656,-4.5517499,2.8385906,8.2149915,0.1714700,-0.0092267,0.0824530,25.0862141,-1.5171023,-44.2884598,5.8600000,0.6732305,-0.0925266,0.7241442,0.1175364,-10.3198580,1.7762748,-1.4839015,0.4338859,0.1279652,0.0694296,41.8635301,-5.0373116,11.2552261,5.8600000,0.4565084,0.4921581,0.4735963,-0.5701641,-10.0379234,-0.6932438,0.8410217,-0.0325589,-0.0207990,-0.1231002,44.2509792,10.0244263,-6.7609677,5.8600000,0.3689143,0.5575115,0.2684144,-0.6935683,-9.9710180,1.0449452,2.5415887,0.0038638,-0.0269137,-0.2873302,44.8403020,1.5454487,-19.8077486,5.8600000,0.1211845,-0.5327055,0.0758666,0.8341363,-9.5087087,0.0073142,4.4239220,0.1038356,0.0185161,0.1940633,41.9992185,-3.1739249,-30.8334282,5.8600000,0.4667306,0.3815799,0.0536565,-0.7960404,1.3970921,6.9563473,7.0320903,-0.2385841,-1.4203631,-0.1136507,23.5695994,-4.7730947,-32.2029598,5.8600000,-0.0680298,0.5867756,0.1551970,-0.7918208,-6.2909077,-1.2432168,2.8223135,0.6753494,0.1751498,0.8089937,31.2021236,14.3121017,-22.5961219,5.8600000,0.2448080,0.7442776,0.1099198,-0.6115861,-10.4899550,-0.7370861,-0.6728177,0.8566680,0.3042381,0.6619352,41.5203282,-8.2850312,0.4463396,5.8600000,0.2846411,0.4570290,0.4012668,-0.7410054,-9.4476393,-0.3932483,2.1014351,1.3549319,-0.0870513,-0.9295080,38.1551000,16.1181665,-15.7153221
4,5.8700000,0.6275549,0.3570243,0.5315393,-0.4429158,-9.9734488,-0.7385662,1.5747477,0.1228408,0.1004097,-0.2066908,46.2844254,3.7598803,-9.5095375,5.8700000,0.6883589,0.2860822,0.0719952,-0.6626731,-4.9011968,2.9421357,8.0474658,0.1802599,0.0281349,0.0643195,25.0614963,-1.6238874,-44.2884598,5.8700000,0.6728798,-0.0912777,0.7247922,0.1165223,-10.2341499,2.4482253,-1.2316049,0.3243196,0.1169034,0.0612647,41.9524985,-5.0416574,11.5468298,5.8700000,0.4565189,0.4914470,0.4745241,-0.5699975,-10.2285149,-0.5452510,0.7626209,-0.1826037,0.0121666,-0.1383175,44.2047256,10.1460708,-6.6530347,5.8700000,0.3685485,0.5565370,0.2699926,-0.6939326,-10.0857392,0.8667501,2.6538735,-0.2099757,-0.0410160,-0.3127509,44.7816286,1.7187828,-19.7857578,5.8700000,0.1205097,-0.5326289,0.0770984,0.8341701,-9.4241152,-0.0008057,4.2318185,0.1439991,0.0263512,0.2433369,42.0520246,-3.3164464,-30.7349576,5.8700000,0.4672308,0.3759184,0.0508077,-0.7986233,0.3768376,7.2294514,7.7618662,-0.0845921,-1.3749746,-0.0009237,23.0553549,-4.8112501,-32.5600416,5.8700000,-0.0652434,0.5890034,0.1503223,-0.7913416,-6.9946627,-1.8564323,2.6280686,0.4032489,0.3924038,1.0783291,31.4898845,13.9473744,-22.4280416,5.8700000,0.2434134,0.7463772,0.1058471,-0.6103011,-10.2136102,-0.2990734,-0.3962054,0.7818094,0.2821511,0.5544596,41.4319267,-8.5398772,0.5631383,5.8700000,0.2789299,0.4568338,0.3985700,-0.7447435,-9.2662678,-0.3112778,2.3612950,1.2338477,-0.0636281,-0.8307009,37.9667423,16.3082428,-15.9167350
5,5.8800000,0.6267859,0.3569477,0.5319262,-0.4436014,-9.8880479,-0.7507297,1.7333634,0.1041518,0.0753156,-0.1917373,46.2904153,3.8574809,-9.5095961,5.8800000,0.6882566,0.2869054,0.0715364,-0.6624732,-4.8211674,2.9322610,8.0083591,0.1802201,0.0534339,0.0558140,25.0132718,-1.6968291,-44.2884598,5.8800000,0.6725066,-0.0904131,0.7253629,0.1157970,-9.8915433,2.2098269,-1.2090762,0.2285414,0.1133663,0.0435340,41.8635301,-5.0416574,11.4670972,5.8800000,0.4565316,0.4906353,0.4760525,-0.5694119,-10.1518332,-0.3163182,0.3957542,-0.3002093,0.0964375,-0.1684324,44.2989480,10.2437299,-6.6511010,5.8800000,0.3687221,0.5551470,0.2722984,-0.6940529,-10.3737945,0.6030941,2.7637386,-0.4148325,-0.0469975,-0.3234340,44.7914069,1.9140856,-19.8663109,5.8800000,0.1198120,-0.5325499,0.0785463,0.8341859,-9.3842130,0.0122074,4.1073878,0.1779617,0.0335408,0.2698178,41.9934654,-3.5247122,-30.6894112,5.8800000,0.4681497,0.3704131,0.0469818,-0.8008887,-0.4400928,7.1573422,8.2918937,0.0514007,-1.4216950,0.1706359,22.4816073,-4.9470648,-33.0742845,5.8800000,-0.0610884,0.5918941,0.1451991,-0.7904725,-7.6544508,-3.4023134,2.6725474,0.2609962,0.5053820,1.3390652,31.8667562,13.3773755,-22.4489782,5.8800000,0.2425938,0.7479137,0.1024909,-0.6093184,-10.0132642,0.0103275,-0.2637873,0.5875176,0.1910417,0.4910711,41.4486413,-8.6566308,0.7393389,5.8800000,0.2739254,0.4567784,0.3960923,-0.7479500,-9.2078635,-0.2144890,2.6298581,1.1021590,-0.0381448,-0.7045033,37.7827624,16.4119937,-16.0213572
6,5.8900000,0.6261247,0.3568409,0.5322552,-0.4442260,-9.7171443,-0.8361815,1.9165403,0.0913270,0.0582131,-0.1735801,46.3881340,3.9978989,-9.4607372,5.8900000,0.6881633,0.2877334,0.0711247,-0.6622553,-4.6635282,2.8974450,8.0534963,0.1738509,0.0614382,0.0568822,25.0862141,-1.7215442,-44.2637445,5.8900000,0.6720962,-0.0898708,0.7258738,0.1154000,-9.6308413,1.3458479,-0.8702719,0.1355175,0.1122031,0.0406847,41.7658737,-4.9366799,11.4510876,5.8900000,0.4563920,0.4898002,0.4780373,-0.5685793,-9.8847739,-0.2606525,-0.0045119,-0.3628695,0.1741491,-0.2102406,44.2004286,10.3411741,-6.5399453,5.8900000,0.3693148,0.5535256,0.2749795,-0.6939757,-10.5935614,0.2856928,2.7539946,-0.5413244,-0.0523386,-0.3050660,44.8670796,2.0410647,-19.8956246,5.8900000,0.1191698,-0.5324659,0.0801112,0.8341827,-9.2930661,0.0407056,4.0967961,0.2038078,0.0367450,0.2726605,41.9934654,-3.6223663,-30.7350086,5.8900000,0.4696311,0.3649982,0.0417841,-0.8027932,-1.1317129,7.0490089,8.2773569,0.2345906,-1.5142065,0.3969690,21.8315481,-5.2186943,-33.5717225,5.8900000,-0.0555805,0.5951103,0.1398318,-0.7894312,-8.2897337,-5.0129721,2.3736691,0.1304976,0.5409425,1.5892271,32.2572137,12.8155623,-22.2815534,5.8900000,0.2426822,0.7487777,0.0998927,-0.6086533,-9.8662385,0.4757909,-0.1175964,0.3331600,0.0797689,0.4591886,41.4982775,-8.8328476,0.7987939,5.8900000,0.2696710,0.4568483,0.3939025,-0.7506051,-9.2043819,-0.1961888,2.7397026,0.9538368,-0.0125093,-0.5783095,37.7697067,16.4983170,-16.2097123
7,5.9000000,0.6253858,0.3569140,0.5326341,-0.4447537,-9.6560388,-0.8789330,1.8372953,0.1046688,0.0955742,-0.1527526,46.4369280,3.9979545,-9.4119419,5.9000000,0.6880667,0.2885693,0.0707552,-0.6620314,-4.7426495,3.1674549,7.9745226,0.1694884,0.0686573,0.0549776,25.1078332,-1.8191961,-44.2155077,5.9000000,0.6716825,-0.0895561,0.7263330,0.1151636,-9.5261201,1.1079012,-0.8661824,0.0803514,0.1080731,0.0283422,41.8548386,-5.0367684,11.5555215,5.9000000,0.4559140,0.4890630,0.4802354,-0.5677444,-9.7068191,-0.5041560,-0.2595782,-0.3452527,0.2372826,-0.2600487,44.0567334,10.4268411,-6.3564044,5.9000000,0.3700717,0.5518862,0.2775582,-0.6938516,-10.5545309,0.0634980,2.7759599,-0.5492433,-0.0662236,-0.2685363,44.8866234,2.2974040,-19.9761858,5.9000000,0.1186710,-0.5323849,0.0817105,0.8341504,-9.2011069,0.0789441,4.0658735,0.2252415,0.0389520,0.2516474,42.0390629,-3.7200255,-30.7414737,5.9000000,0.4717430,0.3596994,0.0352538,-0.8042587,-1.6546872,6.9334159,7.8163389,0.4098063,-1.5939625,0.6376758,21.1769663,-5.6045470,-33.9501371,5.9000000,-0.0489498,0.5985389,0.1340182,-0.7882856,-7.8934519,-5.7129696,2.2963099,0.0620955,0.5604316,1.8244401,32.5758463,12.1702176,-21.9188794,5.9000000,0.2437960,0.7489457,0.0980957,-0.6082936,-9.8126316,1.1389767,0.5485127,0.0543932,-0.0322736,0.4352944,41.4006155,-8.9687167,0.7202368,5.9000000,0.2661439,0.4569939,0.3920694,-0.7527321,-9.1476968,-0.3086886,2.6899806,0.7963602,0.0091583,-0.4671479,37.6790098,16.5951049,-16.3143354
