,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist
,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer
,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,5.1100000,-0.4542770,-0.5021439,-0.3669197,0.6378509,-10.3045192,-0.5341838,2.4010375,0.0561221,-0.0825566,0.0914746,46.4374011,3.3814507,-11.6707167,5.1100000,0.7230593,0.2684806,0.0938612,-0.6295185,-4.6988114,2.8754930,8.2376596,0.0515438,0.0080907,0.0545209,26.2105934,-1.7944883,-45.7899704,5.1100000,0.6530658,-0.1320082,0.7302682,0.1509544,-10.0434657,1.1124948,-1.4144377,0.2321534,0.1091933,-0.1504884,42.6526680,-4.6388130,12.0417930,5.1100000,0.3377024,0.5769631,0.4057352,-0.6232573,-10.1557295,0.3543260,0.2369481,0.0621456,0.1923949,-0.0546492,44.8255844,11.2552261,-4.0868726,5.1100000,0.2938577,0.4914162,0.2914236,-0.7663094,-10.4611856,-1.8346177,1.8433179,-1.0341264,-0.7618229,-1.1227590,43.5033989,11.6617132,-22.7882747,5.1100000,-0.1142782,0.5389976,-0.1032195,-0.8281110,-9.9226074,0.5256215,3.9518783,-0.1158881,0.0947336,0.1652314,42.7381172,-5.3448310,-30.3394201,5.1100000,0.4438021,0.3528230,-0.0687535,-0.8208706,2.0838511,8.9259886,9.8928497,0.3925508,-1.2508824,-1.4154800,18.6612563,-10.2034574,-35.3734517,5.1100000,-0.1366774,0.6263946,0.0146896,-0.7672896,-9.1018401,-2.0596942,1.9260230,1.6960318,-0.1848430,-0.1189917,35.2705460,8.7807853,-21.2140257,5.1100000,-0.1395435,0.6897457,-0.3081073,-0.6401940,-10.7859685,0.3882320,-1.7922983,1.1641538,0.0449453,1.0139806,42.5652561,-6.9574386,0.8056886,5.1100000,0.4159411,0.5251717,0.3364368,-0.6618141,-10.8012715,-0.7759270,3.0076013,0.4459355,0.2874006,-0.5822730,42.7808542,3.8109902,-14.4963010
1,5.1200000,-0.4544834,-0.5022986,-0.3662590,0.6379618,-10.2815730,-0.6122881,2.3267561,0.0862517,-0.0650786,0.0918607,46.4491692,3.4566131,-11.8542850,5.1200000,0.7230815,0.2687261,0.0938233,-0.6293939,-4.5951777,2.7918589,8.2701263,0.0378397,0.0282037,0.0305444,26.1835812,-1.8568242,-45.7276340,5.1200000,0.6528915,-0.1321503,0.7306009,0.1499711,-10.2026205,0.7384405,-1.6724143,0.1305174,0.0917603,-0.1370656,42.7521628,-4.6388130,12.1044511,5.1200000,0.3373641,0.5773342,0.4064077,-0.6226584,-9.8096409,0.4197479,0.3200000,-0.0653477,0.1829541,-0.0478839,44.8255844,11.2944558,-4.0284429,5.1200000,0.2935263,0.4855051,0.2969706,-0.7680726,-10.1567033,-1.9178246,1.8567875,-1.0614810,-0.7332653,-1.0479887,43.3061141,12.3296133,-22.9534262,5.1200000,-0.1133053,0.5393480,-0.1033313,-0.8280026,-9.9368267,0.2796960,3.8804113,-0.0902525,0.0924828,0.1620679,42.8215580,-5.3590503,-30.3944225,5.1200000,0.4369672,0.3474162,-0.0699661,-0.8267202,3.4318796,7.7537886,7.2695134,0.0981961,-1.4859730,-1.4435753,18.0430577,-10.0400157,-35.5790517,5.1200000,-0.1423266,0.6246403,0.0065187,-0.7678054,-8.7769703,-0.4406872,2.2925503,2.0104011,-0.0917672,0.1676725,35.2815323,8.4170048,-21.4049188,5.1200000,-0.1404578,0.6875316,-0.3149853,-0.6390275,-10.7337256,1.0355200,-0.8424658,1.1390011,0.0164350,0.9430457,42.4623942,-7.3897145,0.8616808,5.1200000,0.4119138,0.5263184,0.3365592,-0.6633581,-10.7120059,-0.7873873,2.9412370,0.6099624,0.2684405,-0.5909524,42.8052302,3.9612731,-14.4291506
2,5.1300000,-0.4546386,-0.5025009,-0.3655386,0.6381051,-10.1819949,-0.6547905,2.4053077,0.1056966,-0.0639603,0.0918607,46.3525301,3.2199369,-11.7919020,5.1300000,0.7230537,0.2690485,0.0939254,-0.6292729,-4.6146584,2.5786186,8.3088263,0.0340898,0.0588164,0.0176585,26.3352650,-1.8298117,-45.7624385,5.1300000,0.6527041,-0.1325438,0.7308362,0.1492915,-10.3769810,0.4629633,-1.5480453,0.0500637,0.0804537,-0.1363803,42.8171298,-4.5683373,12.0086279,5.1300000,0.3370416,0.5777121,0.4075365,-0.6217441,-9.7243974,0.3000792,0.3195908,-0.1491826,0.2496683,-0.0767675,44.8255844,11.3528852,-3.9058624,5.1300000,0.2934384,0.4797917,0.3024184,-0.7695693,-9.6838421,-1.9865791,1.9345218,-1.0741638,-0.6972922,-0.9736112,43.1680456,12.9075714,-23.0545921,5.1300000,-0.1124783,0.5396516,-0.1035240,-0.8278935,-9.8951105,0.1607164,3.8697469,-0.0600565,0.0836479,0.1476023,42.7419162,-5.4424819,-30.3252094,5.1300000,0.4300071,0.3418804,-0.0700689,-0.8326476,4.0841307,7.2331892,5.2922754,-0.0889124,-1.4175990,-1.5456810,17.6555015,-9.7723291,-35.7715589,5.1300000,-0.1469442,0.6235663,-0.0027006,-0.7678314,-8.8448740,0.3813287,2.4126406,2.0225113,0.1024754,0.4440424,35.3636260,7.9375587,-21.4862504,5.1300000,-0.1412587,0.6853804,-0.3213107,-0.6380118,-10.6901035,1.5947857,-0.0823423,1.0414980,-0.0046149,0.8818757,42.4137278,-7.7173644,0.9033478,5.1300000,0.4074663,0.5277398,0.3361109,-0.6652003,-10.6219740,-0.6554057,2.7558457,0.7726563,0.2547541,-0.5925554,43.0066833,4.2199284,-14.3681332
3,5.1400000,-0.4546936,-0.5027386,-0.3647413,0.6383349,-9.9540142,-0.5625611,2.4170659,0.1351297,-0.0678470,0.0815257,46.4252039,3.1861322,-11.8660455,5.1400000,0.7229916,0.2694867,0.0940926,-0.6291317,-4.7567224,2.6461344,8.2197473,0.0441114,0.0845188,0.0149541,26.3165754,-1.8568180,-45.7320563,5.1400000,0.6524860,-0.1331603,0.7310039,0.1488746,-10.3044400,0.3454939,-1.2191338,-0.0202734,0.0757783,-0.1356146,42.5962348,-4.4685980,12.1062871,5.1400000,0.3365018,0.5781724,0.4091199,-0.6205676,-9.8298508,0.0383410,0.1682082,-0.1964144,0.3385294,-0.1319222,44.8304868,11.3970075,-3.6399156,5.1400000,0.2935121,0.4743874,0.3077360,-0.7707826,-9.1868460,-2.0376537,2.0366709,-1.0686881,-0.6399562,-0.9009771,42.8865739,13.3958671,-23.2479454,5.1400000,-0.1118078,0.5399458,-0.1037862,-0.8277596,-9.7732688,0.1777783,3.8593170,-0.0309032,0.0831600,0.1288411,42.8197790,-5.3732709,-30.3944211,5.1400000,0.4226316,0.3370543,-0.0684656,-0.8385043,3.7670728,7.1281567,4.4196855,-0.2830931,-1.1535103,-1.7339684,17.2337728,-9.4135705,-35.9574812,5.1400000,-0.1496320,0.6234348,-0.0119938,-0.7673301,-8.6455885,0.5916013,2.3827325,1.7657819,0.3162519,0.7336440,35.5276631,7.4338507,-21.4284179,5.1400000,-0.1417573,0.6832731,-0.3269592,-0.6372915,-10.5642851,2.0062497,0.3737118,0.8934258,-0.0391516,0.8332261,42.4575114,-8.0051296,0.9033478,5.1400000,0.4026739,0.5294086,0.3351420,-0.6672782,-10.5334754,-0.4593206,2.5040705,0.9143226,0.2435394,-0.5859470,42.9189698,4.4030395,-14.2071371
4,5.1500000,-0.4545968,-0.5029964,-0.3638789,0.6386928,-9.6561777,-0.4419568,2.2989519,0.1698641,-0.0730592,0.0585016,46.3510603,3.1002312,-11.8778038,5.1500000,0.7229142,0.2699437,0.0942762,-0.6289972,-4.7629676,2.8513315,8.1355864,0.0457260,0.0891337,0.0115453,26.2459164,-1.8921475,-45.7546432,5.1500000,0.6522550,-0.1338434,0.7311360,0.1486251,-9.9103459,0.2222724,-0.9461958,-0.0548182,0.0705178,-0.1241273,42.6568135,-4.4706782,12.1376161,5.1500000,0.3358560,0.5785187,0.4112375,-0.6191935,-10.0174755,-0.4084481,0.0389235,-0.2742689,0.3918001,-0.2028518,44.7985672,11.5019752,-3.4372843,5.1500000,0.2936696,0.4694046,0.3128921,-0.7716969,-8.7797911,-2.1031806,2.1565000,-1.0454469,-0.5612572,-0.8293252,42.7689895,13.8864085,-23.4847985,5.1500000,-0.1112838,0.5402903,-0.1041260,-0.8275627,-9.4721050,0.2352611,3.8262493,-0.0020628,0.0970049,0.1105268,42.7419068,-5.4424902,-30.3252011,5.1500000,0.4150339,0.3331203,-0.0643777,-0.8441761,2.9893952,7.1639025,4.6230999,-0.5824916,-0.8037793,-1.9716128,16.9108497,-9.0257441,-36.1405913,5.1500000,-0.1497818,0.6241807,-0.0209628,-0.7665014,-8.2126695,0.5061464,2.3703753,1.3741035,0.4881756,1.0708580,35.7818897,6.8291028,-21.3344113,5.1500000,-0.1418433,0.6811681,-0.3318542,-0.6369955,-10.2342132,2.3548789,0.2923380,0.7131589,-0.0912037,0.7947886,42.3819941,-8.2980947,0.9593359,5.1500000,0.3976682,0.5312242,0.3337519,-0.6695300,-10.3885199,-0.2846034,2.2316939,1.0166033,0.2251143,-0.5738637,42.7564192,4.5289464,-14.1445668
5,5.1600000,-0.4543754,-0.5032290,-0.3629758,0.6391808,-9.4261560,-0.3520957,2.1968833,0.1947780,-0.0840372,0.0329947,46.4252039,3.0884731,-11.9637048,5.1600000,0.7228247,0.2703210,0.0945085,-0.6289031,-4.7910109,2.8786133,8.0478022,0.0294777,0.0841795,0.0000691,26.3082466,-1.8921475,-45.7276402,5.1600000,0.6519791,-0.1344136,0.7313232,0.1484002,-9.6512221,0.0278719,-0.6700302,-0.0432506,0.0802517,-0.1016761,42.6648750,-4.3336282,12.1394521,5.1600000,0.3353855,0.5784697,0.4138237,-0.6177696,-10.0123667,-0.8283260,-0.0857631,-0.3832176,0.3656176,-0.2645533,44.7401314,11.5996405,-3.1978207,5.1600000,0.2938127,0.4649386,0.3178654,-0.7723133,-8.4825995,-2.1908791,2.2618783,-1.0042179,-0.4633541,-0.7645846,42.6533661,14.3846760,-23.4725913,5.1600000,-0.1108929,0.5407479,-0.1045443,-0.8272636,-9.0486350,0.3588781,3.7166172,0.0249519,0.1258039,0.0923683,42.8093509,-5.5401493,-30.2275426,5.1600000,0.4069769,0.3301847,-0.0578879,-0.8497040,-0.0706687,7.7417889,8.3140180,-0.8725889,-0.4321406,-2.2101323,16.7146542,-8.2686140,-36.1075644,5.1600000,-0.1473498,0.6256902,-0.0296254,-0.7654555,-7.8297893,0.3011762,2.2267305,0.9828494,0.6340402,1.4187464,35.9894301,6.1388762,-21.0846075,5.1600000,-0.1413746,0.6791002,-0.3358968,-0.6371887,-9.6617369,2.5043086,-0.1614761,0.4954725,-0.1404696,0.7607626,42.2916537,-8.6470829,0.9450134,5.1600000,0.3926082,0.5330600,0.3321275,-0.6718610,-10.1626926,-0.1281875,2.0005005,1.0606707,0.2044187,-0.5610459,42.7930612,4.5594553,-14.1399867
6,5.1700000,-0.4540810,-0.5034465,-0.3620955,0.6397178,-9.2278983,-0.2666439,2.0884864,0.2013655,-0.0835727,0.0158150,46.5228639,3.1743740,-11.9754629,5.1700000,0.7227226,0.2705788,0.0947906,-0.6288672,-4.7673890,2.8097878,8.0625922,0.0077291,0.0733854,-0.0148844,26.4059019,-1.8921475,-45.6923103,5.1700000,0.6516558,-0.1348226,0.7315918,0.1481249,-9.5623130,-0.1112436,-0.5041902,-0.0137052,0.0943397,-0.0810989,42.6648750,-4.3336282,12.2684402,5.1700000,0.3352172,0.5779850,0.4166449,-0.6164170,-9.9808558,-1.3219410,-0.3032001,-0.4705140,0.2942526,-0.2952470,44.7401314,11.6973002,-2.9759988,5.1700000,0.2938034,0.4610417,0.3225906,-0.7726936,-8.2952745,-2.2840526,2.3742868,-0.9333324,-0.3583868,-0.7151042,42.4760020,14.8370676,-23.4603834,5.1700000,-0.1105954,0.5413856,-0.1050091,-0.8268273,-8.6926085,0.5557396,3.5215331,0.0416167,0.1695569,0.0751224,42.9070110,-5.5543685,-30.1194531,5.1700000,0.3987069,0.3288387,-0.0516282,-0.8545364,-7.9757068,7.1586166,15.6084784,-0.6818650,-0.1372258,-2.1929368,16.6095318,-7.5522444,-36.0756860,5.1700000,-0.1427395,0.6278220,-0.0380809,-0.7642087,-7.5586656,-0.1227283,1.8390307,0.6613942,0.7612922,1.7167389,36.1969559,5.4916054,-20.8937155,5.1700000,-0.1402969,0.6771965,-0.3390950,-0.6377587,-8.8293072,2.4517275,-0.7056245,0.2751694,-0.1536417,0.7233612,42.2234478,-8.9817387,0.9033478,5.1700000,0.3876338,0.5348223,0.3304475,-0.6741732,-9.8659012,-0.0915458,1.9127487,1.0519948,0.1865268,-0.5468934,42.7564192,4.6266060,-14.1445668
7,5.1800000,-0.4537792,-0.5036155,-0.3612586,0.6402720,-8.9896506,-0.2026727,2.0215757,0.1934249,-0.0870733,0.0054309,46.4487290,3.1002398,-11.9754629,5.1800000,0.7226082,0.2706902,0.0951015,-0.6289037,-4.7676356,2.7209618,8.0701359,-0.0149972,0.0554093,-0.0312019,26.4412346,-1.8921475,-45.6299837,5.1800000,0.6513594,-0.1350658,0.7318822,0.1477724,-9.6083739,-0.2066079,-0.4390075,0.0205759,0.0903897,-0.0671929,42.6648750,-4.3004631,12.2684402,5.1800000,0.3353469,0.5772051,0.4193734,-0.6152257,-9.9806486,-1.8757628,-0.4933036,-0.4998659,0.2081163,-0.2832056,44.7058064,11.8390926,-2.8783396,5.1800000,0.2934709,0.4577266,0.3269318,-0.7729662,-8.2268085,-2.3617828,2.5972322,-0.8169840,-0.2602589,-0.6858121,42.3783512,15.1659498,-23.4302157,5.1800000,-0.1103740,0.5421702,-0.1054654,-0.8262845,-8.4134046,0.7632477,3.3661699,0.0474442,0.2036204,0.0562084,42.8377979,-5.6482291,-30.0304544,5.1800000,0.3918339,0.3270317,-0.0513151,-0.8584190,-10.6470945,8.7378980,17.5627571,0.2157160,-0.6132969,-1.4825594,16.3079711,-7.3976865,-35.9977048,5.1800000,-0.1366684,0.6301929,-0.0462641,-0.7629144,-7.9491647,-0.7082967,2.0068426,0.4299003,0.8071794,1.9026881,36.4443299,4.8826941,-20.6397682,5.1800000,-0.1386605,0.6756529,-0.3416126,-0.6384100,-8.0171647,2.4678496,-1.0099603,0.0970576,-0.0999351,0.6803243,42.1205858,-9.2187071,0.9033478,5.1800000,0.3828004,0.5364935,0.3287634,-0.6764268,-9.5988525,-0.2197137,1.9157957,1.0265588,0.1709054,-0.5288020,42.7930612,4.6571147,-14.1094780
