,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist
,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer
,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1.4200000,0.5209308,0.3816683,0.6394435,-0.4172200,-0.1899985,-0.3015753,-1.5238831,-0.7456378,-0.4100316,-0.4246158,47.8375372,12.1003397,7.8950549,1.4200000,0.6139237,0.2636879,0.4596992,-0.5850154,-20.0618655,-34.1449611,-11.3855162,2.0951713,3.1375491,-1.3882628,30.6109365,21.1893841,-13.4397023,1.4200000,0.4789296,-0.0505003,0.8445256,0.2342065,10.1735283,11.8918551,4.6033737,-0.9878579,0.1854894,-2.2077200,29.5563300,-18.2224630,32.2739787,1.4200000,0.6703354,0.2501906,0.3649839,-0.5956861,6.0299994,-1.7145494,-5.8203764,1.5870729,0.6800937,-1.0412703,40.7825800,15.1421256,-30.3037209,1.4200000,0.6595926,0.0200720,0.3434090,-0.6682851,8.1579449,-4.4059204,7.1648482,-4.2112235,-0.4498969,2.3167935,26.7902267,28.5576573,-42.4225583,1.4200000,0.1411125,-0.4461320,0.1711608,0.8670395,-1.3493300,2.2072171,-1.6316078,0.2318054,0.1857691,1.8373375,35.3672025,-14.2999433,-41.9701978,1.4200000,0.3754175,0.2360828,0.2350703,-0.8649096,-14.7683139,1.0650627,-16.5792364,-5.0333595,1.9200210,3.9422072,12.5369156,16.8263550,-29.4370363,1.4200000,0.0054818,0.4211385,0.0793279,-0.9035039,0.9734819,-3.0070448,-10.1084525,-5.9987940,-1.4269310,1.8381107,20.1357314,4.6713436,-37.0035006,1.4200000,-0.1803418,-0.6117618,0.1267870,0.7597035,-0.4006665,1.5755461,-6.2269573,-3.5024191,-0.4636539,-1.2753872,37.0000545,-15.5516946,-19.1645586,1.4200000,0.6187888,0.0360561,-0.1983152,-0.7592572,-2.5178672,-5.0447131,7.2991933,-2.2074875,-1.9053981,1.1376499,-7.4633499,-9.6597521,-50.7305452
1,1.4300000,0.5223745,0.3777473,0.6409715,-0.4166382,-0.9981615,-0.6447609,-1.7065193,-0.7192999,-0.3042137,-0.4369806,47.6783642,12.3906572,8.0352740,1.4300000,0.6087123,0.2987788,0.4380182,-0.5902039,-141.1341646,29.0488849,-37.9784657,7.6013936,1.6481079,3.1269677,31.4972589,18.4540109,-16.7901099,1.4300000,0.4803599,-0.0660228,0.8425118,0.2346684,44.2409810,21.8901075,-0.0034425,-1.6476072,0.2854640,-2.6674061,29.3700301,-18.0723538,31.8922378,1.4300000,0.6641458,0.2549744,0.3658341,-0.6000532,3.5338736,1.6054066,2.8996208,1.1738311,0.9144860,-1.0181572,40.6458003,15.3446142,-29.9399982,1.4300000,0.6697822,0.0053270,0.3548254,-0.6522747,8.6158935,-8.4801106,12.5457249,-4.6065771,-1.0949343,2.4107398,27.0897963,29.3288293,-41.2305546,1.4300000,0.1333536,-0.4451037,0.1766353,0.8676978,-2.7688735,2.4780784,-2.1378679,0.2660686,0.1831542,1.8847500,35.0241813,-15.0042587,-41.7480820,1.4300000,0.3953766,0.2451460,0.2497802,-0.8492294,-20.8641324,-8.3679307,12.5640157,-3.5439828,2.4743413,4.3612767,14.1115039,17.1509922,-29.0623113,1.4300000,0.0246400,0.4177425,0.1019759,-0.9024882,0.9710843,-10.8688032,-8.8544591,-5.7277946,-0.8045648,1.5067981,19.8607563,6.0179617,-36.6106165,1.4300000,-0.1859855,-0.6085368,0.1095922,0.7635980,-3.2903053,-0.1459615,-5.5108125,-3.5187730,-0.1977184,-1.3006776,36.8707805,-14.3810636,-19.7280716,1.4300000,0.6209709,0.0217992,-0.1979362,-0.7581169,-1.2826977,-5.2165371,7.5786723,-1.7974086,-2.0083933,1.0413872,-8.4496530,-8.6617046,-50.6724690
2,1.4400000,0.5221886,0.3744343,0.6439539,-0.4152607,-4.8611638,-1.2673848,-1.8181426,-0.7558497,0.1674212,-0.5215848,47.5598989,12.6740874,8.3069718,1.4400000,0.6599804,0.3357701,0.3425885,-0.5782019,-72.7494674,76.1167174,0.9787433,11.6806841,-11.0513925,16.4956751,32.4661760,11.4703815,-23.0657402,1.4400000,0.4692139,-0.0848078,0.8475013,0.2332112,0.9554272,55.5669578,-57.1949854,-1.4750882,3.2560305,-2.7189825,27.9424892,-17.7836697,32.6060431,1.4400000,0.6601727,0.2571654,0.3633621,-0.6049842,5.7022220,19.1519882,26.3941846,1.1563457,-0.0288978,-0.8473193,40.1576503,15.3959807,-30.1814637,1.4400000,0.6796124,-0.0127186,0.3631410,-0.6372549,9.6318610,-14.1602942,20.3945608,-4.5735201,-1.9165877,2.0001031,27.2167290,30.0821240,-40.3819269,1.4400000,0.1254379,-0.4433180,0.1816696,0.8687524,-3.9114347,2.3999797,3.1092541,0.1820856,0.0102219,1.9100699,34.5590565,-15.6414309,-41.7542396,1.4400000,0.4177146,0.2751457,0.2252414,-0.8361074,-89.4834694,-36.0109012,32.3246366,4.7911966,2.6830643,7.5353247,15.0415714,14.1747289,-30.5343477,1.4400000,0.0388599,0.4159745,0.1222331,-0.9002856,-2.7842353,-12.9184016,-4.5902668,-4.8995612,-0.3222094,0.8540799,19.7051752,7.3250232,-36.2073373,1.4400000,-0.1909437,-0.6044839,0.0926020,0.7678311,-1.7324844,0.8956230,-6.8709613,-3.4423182,-0.3880743,-1.3748558,36.7995102,-13.0452313,-20.2253234,1.4400000,0.6231029,0.0074764,-0.1977856,-0.7566821,0.7815582,-3.8248883,8.6092749,-1.7590455,-2.0474615,1.0739339,-9.3554977,-7.7768533,-50.4464452
3,1.4500000,0.5212274,0.3702855,0.6475880,-0.4145364,-9.3033305,-1.0681710,-0.9967296,-0.7550640,0.2170239,-0.8106539,47.3004096,12.9856847,8.3107706,1.4500000,0.7352832,0.3424868,0.2529416,-0.5273347,54.4950482,93.1780003,-19.3488790,2.7203337,-12.8365637,21.9658341,32.3158668,4.2188591,-25.3214634,1.4500000,0.4430115,-0.1019446,0.8562067,0.2454755,-102.3406098,58.5034538,15.8492764,-3.7289732,5.8479994,-0.3866064,25.6779809,-18.9541826,31.5250858,1.4500000,0.6606093,0.2563999,0.3594983,-0.6071370,-4.9812261,24.0483280,9.1664573,0.5056994,-0.7479535,-0.0902059,40.0402832,15.3154376,-29.9399982,1.4500000,0.6863793,-0.0353028,0.3672211,-0.6267264,8.0768575,-22.8009880,28.0866714,-4.3321368,-2.8369760,0.6586002,26.6011161,31.0336548,-39.8383737,1.4500000,0.1170015,-0.4406715,0.1857894,0.8704031,-5.2054175,2.8237079,8.3804252,-0.0228806,-0.1962432,1.9657200,33.9780363,-16.2005147,-41.9739584,1.4500000,0.4445856,0.2828839,0.1666279,-0.8334000,-39.7577869,12.4015669,-18.4770568,8.8534722,-4.6678403,8.2987774,14.1251129,10.3922807,-32.0545964,1.4500000,0.0363545,0.4159464,0.1299476,-0.8993223,-28.2482837,-25.4934530,-8.4593458,-1.2054063,0.1995763,-1.0811637,19.4150348,7.8898062,-36.0107064,1.4500000,-0.1927471,-0.6017744,0.0780945,0.7711144,-3.3714895,6.8513610,-6.9234631,-2.6106900,-0.2202196,-1.5477188,36.9023945,-11.9415553,-20.3529927,1.4500000,0.6255488,-0.0075449,-0.1964730,-0.7550034,5.0743184,-1.5862153,11.6012986,-2.0127637,-1.9956236,1.1777061,-10.3418010,-6.7446793,-50.2359607
4,1.4600000,0.5233965,0.3631022,0.6481832,-0.4172187,-15.8240835,-0.4484426,0.9017341,-0.6100577,-1.0090692,-1.0742658,47.1385796,13.4066742,7.5872564,1.4600000,0.7664210,0.3100992,0.2577832,-0.4999851,-0.5653301,-13.2082345,5.9966491,-8.7923542,-2.4084987,5.3415446,31.3420816,4.0047536,-26.7172407,1.4600000,0.4326373,-0.0970048,0.8480815,0.2901254,-38.3104185,-34.5569530,30.6631824,-7.8244638,-0.0990839,5.1448375,24.6798691,-22.4545331,28.8070601,1.4600000,0.6590108,0.2604837,0.3630524,-0.6050174,-9.7993674,5.6321443,-10.4345379,0.0428365,1.1863694,0.1954310,40.3526752,15.3056385,-28.9807057,1.4600000,0.6893663,-0.0618796,0.3672300,-0.6213591,5.5365884,-32.9548509,34.7433265,-4.0175341,-3.5823674,-0.8459602,25.2466318,32.3830614,-39.3716287,1.4600000,0.1082209,-0.4366637,0.1888599,0.8728946,-7.2832079,3.0210820,10.4489059,-0.2351182,-0.5190636,2.0034129,33.3187880,-16.8377221,-42.2559704,1.4600000,0.4724675,0.2716611,0.1157781,-0.8304036,17.6955153,63.0603627,14.4591808,5.8036075,-7.1561550,7.4204951,12.6573678,7.3695483,-33.3333221,1.4600000,0.0138740,0.4111161,0.1347794,-0.9014575,-35.2095773,-16.1588622,-4.2211664,1.0205541,-0.4238983,-4.5818907,18.4896169,8.4909049,-36.1050850,1.4600000,-0.1922136,-0.6010440,0.0667789,0.7728781,-8.4296268,4.1992405,-1.3257062,-1.7371023,0.1083480,-1.4962207,36.8605512,-10.9548160,-20.4493646,1.4600000,0.6284773,-0.0221724,-0.1936782,-0.7530029,11.0541003,2.1769999,17.1153527,-2.1739077,-1.7322515,1.2775617,-11.1070745,-5.6250199,-50.2637065
5,1.4700000,0.5291371,0.3536438,0.6453939,-0.4223940,-25.4268726,0.1921119,1.4984408,-0.5019938,-2.1972867,-1.0864016,47.0345109,13.9378545,6.9093904,1.4700000,0.7960571,0.2856263,0.2265050,-0.4831212,2.0917565,-4.5343310,6.1458277,-3.3546397,-7.7210589,6.2573591,29.2316403,1.5678231,-30.2300068,1.4700000,0.4316383,-0.0810469,0.8316835,0.3397387,11.5994510,-32.4374081,15.3361606,-8.0122756,-3.1422882,6.7401031,23.7465208,-26.0608044,26.7354903,1.4700000,0.6580402,0.2542210,0.3768541,-0.6002797,-24.2494770,20.8115220,13.4810389,-2.7837805,1.3759286,-0.6686645,40.3040238,16.1865990,-27.6283335,1.4700000,0.6886334,-0.0919578,0.3631746,-0.6208317,3.1502547,-41.7204548,40.4035025,-3.6858363,-4.2449310,-2.2833379,22.9499067,34.1489228,-39.0995560,1.4700000,0.0996876,-0.4309333,0.1906559,0.8763613,-10.8616548,0.2437037,16.9278044,-0.4354065,-0.9419227,1.9351493,32.3800354,-17.3089299,-42.6795770,1.4700000,0.4986773,0.2616707,0.0775426,-0.8227008,-25.9786060,13.3559675,10.3943293,3.8048520,-5.4629486,6.9291711,11.3151949,5.0286568,-33.9439651,1.4700000,-0.0057014,0.4038036,0.1318471,-0.9052770,-18.4192445,7.0268406,-6.2977211,2.2200846,-1.1100775,-3.4911303,18.0139028,8.2970173,-36.2016108,1.4700000,-0.1959663,-0.6000041,0.0574769,0.7734912,-26.3176405,-0.2564837,-4.4087626,-1.9376552,0.1786230,-0.5432095,36.8650799,-10.3387680,-20.3721838,1.4700000,0.6307174,-0.0340326,-0.1898703,-0.7516559,17.6445271,5.7535812,22.9282027,-2.0069599,-1.2118848,0.9890226,-11.5554184,-4.6337238,-50.0836444
6,1.4800000,0.5316511,0.3468527,0.6453390,-0.4249445,-33.4811591,-1.3712177,-0.6190725,-0.5613170,-1.0804051,-0.9303356,46.8423459,14.3375348,7.0157520,1.4800000,0.8260413,0.2735105,0.1668129,-0.4637039,10.5230454,35.7782193,29.9289643,1.2469714,-10.9335730,8.8625528,26.5349672,-1.1090851,-32.8942474,1.4800000,0.4326491,-0.0816463,0.8232369,0.3583708,-8.2302874,7.8477696,20.2982840,-3.7117519,-1.1615023,1.3004892,23.9044914,-26.9539471,25.9939762,1.4800000,0.6578743,0.2394909,0.3969563,-0.5935244,-39.5692294,36.9693067,36.3692104,-4.8479865,1.2305319,-1.2651785,40.2234128,17.6855745,-26.2219508,1.4800000,0.6834611,-0.1236244,0.3550620,-0.6257227,0.9331077,-45.2091657,43.8121354,-3.0888610,-4.5789833,-3.7712463,20.1193627,36.0150893,-39.0680086,1.4800000,0.0911427,-0.4252367,0.1913961,0.8799058,-18.1653102,-3.7534647,23.0430514,-0.6249909,-0.9632831,1.8464997,31.6158359,-17.6788113,-43.0360160,1.4800000,0.5173011,0.2488373,0.0483164,-0.8174014,-2.4674519,25.5997797,9.4966274,2.4721721,-5.0393318,4.9242844,9.3950011,3.4666584,-34.8497253,1.4800000,-0.0055910,0.4047523,0.1281680,-0.9053824,-27.9967069,-2.8668781,-4.3269719,0.6578990,0.1673357,0.3473026,18.0523187,8.0695306,-35.9509930,1.4800000,-0.2043010,-0.6036872,0.0513090,0.7688890,-41.3390612,-0.9072933,-11.4141074,-1.7576107,1.4649254,0.6918983,37.0412069,-10.2786331,-19.7499761,1.4800000,0.6323456,-0.0436766,-0.1862960,-0.7506831,22.1989982,9.2513932,28.4656207,-1.7106032,-0.9288790,0.7640349,-12.0709554,-3.7728847,-50.0103093
7,1.4900000,0.5275835,0.3451440,0.6499537,-0.4243719,-34.8631995,-2.9798845,-6.7938287,-0.3642837,0.9142142,-0.8255698,46.5923819,14.7524807,7.4402463,1.4900000,0.8407592,0.2547753,0.1417777,-0.4561936,20.7642775,10.8377942,32.8486805,-1.8293939,-5.9560328,3.3561678,25.3212956,-1.3061922,-33.7094064,1.4900000,0.4415670,-0.1006661,0.8236158,0.3413826,-108.8754480,-44.5758529,-2.2477980,1.3212718,0.2022446,-5.2379641,24.9174645,-25.1053372,26.4329585,1.4900000,0.6597691,0.2222988,0.4093071,-0.5897081,-75.2699380,3.8013876,61.3883726,-4.1169390,-0.3861226,-1.2314213,39.7621679,19.1187065,-26.0285830,1.4900000,0.6736532,-0.1535128,0.3436438,-0.6360300,-0.4475283,-41.8689505,47.5421470,-2.1619495,-4.3451477,-5.0476237,17.1882535,37.7240169,-39.0593738,1.4900000,0.0818705,-0.4219586,0.1920063,0.8822595,-30.1100975,-5.8796062,25.9706617,-0.7080798,-0.4109255,1.8491920,31.0372829,-17.9754416,-43.1934563,1.4900000,0.5288321,0.2365267,0.0278916,-0.8146249,4.5047454,1.1478011,23.6862986,1.4642865,-4.0995674,3.0700357,8.4463329,2.6079592,-35.2793961,1.4900000,-0.0061400,0.4098552,0.1356995,-0.9019793,-48.7265033,1.5513959,7.9340540,-1.4132677,1.2079638,-0.5770888,18.1173420,8.6592992,-35.6591458,1.4900000,-0.2092901,-0.6094833,0.0466853,0.7632485,-34.5876471,1.2797069,-27.6352750,-1.0192061,1.8177551,0.3846434,37.4987991,-10.1037842,-19.4269886,1.4900000,0.6348822,-0.0524179,-0.1834295,-0.7486859,20.1595547,13.2321466,32.1228482,-1.4440227,-0.8579931,0.9901534,-12.4250756,-2.9955113,-49.9434567
