,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist
,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer
,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,31.6900000,-0.7275050,-0.1133282,-0.6653234,0.1234424,-6.5997448,2.7841437,-4.5363710,0.5014413,1.2246157,0.2498287,49.9110325,3.6047681,-13.7211208,31.6900000,-0.0218066,-0.6543874,-0.1315695,0.7443058,-19.9011922,2.9432147,11.8916707,-1.6435634,6.9336465,-2.9969066,63.6854937,5.8912147,-44.2332631,31.6900000,-0.3895397,-0.1910121,-0.7813861,-0.4485632,-5.1301539,3.9761062,-2.4421765,0.7519779,1.0769573,2.9950803,44.4352254,-31.5839332,19.8487390,31.6900000,0.8607018,0.0155804,0.5037782,0.0718144,1.2824841,-0.1950804,0.1590661,-4.5447550,1.5989833,0.5233566,36.5000348,-0.5499044,-45.1432496,31.6900000,0.8172857,-0.3481186,-0.2679366,-0.3729175,-13.8064996,6.4446912,1.2660786,0.1687471,-1.1807953,-4.1120166,-39.4740126,18.6349371,-34.7596545,31.6900000,0.0948297,0.5918579,0.1827488,-0.7793038,-2.8620623,-5.6491981,-0.8099148,-1.9539366,-0.6082858,0.4884399,57.0141627,-2.0307625,-12.6317495,31.6900000,0.3219528,0.0197200,-0.3147899,-0.8926729,53.8066750,-25.1312840,12.1595941,-2.1033932,6.3641538,1.8099231,-17.8849303,-16.8717845,-30.3807705,31.6900000,0.6294755,0.6050492,0.3144047,-0.3725932,7.6755608,-8.1849367,-1.1604870,-6.9694996,-1.5193533,-3.1686800,29.5025104,-35.1267773,-10.5669529,31.6900000,0.5890328,0.7278655,0.3378815,-0.0953326,-2.0934872,-30.7771347,3.3001356,-3.7192503,0.2426788,-0.0079181,16.7740853,-47.0484460,6.9548486,31.6900000,-0.7800196,-0.1743268,-0.4821748,0.3587297,23.4346299,10.3510611,6.1352230,1.1673016,1.4709260,-1.9095395,44.6687107,-2.2235270,-34.0298508
1,31.7000000,-0.7274125,-0.1159176,-0.6648451,0.1241579,-9.4966116,2.5666468,-2.4443579,-0.2557977,0.0267388,0.2903246,49.5876922,3.5071089,-13.9152200,31.7000000,-0.0155685,-0.6733835,-0.1488075,0.7239949,-19.5334660,-0.6984002,10.3118180,-2.2058227,5.7625857,-2.6129733,64.2243575,8.1759913,-40.8176115,31.7000000,-0.3761556,-0.1984572,-0.7821672,-0.4553418,-12.5576569,10.8494801,-2.4371019,0.2552719,1.4216378,2.9982219,42.9215078,-32.3837319,20.5252453,31.7000000,0.8566621,-0.0016905,0.5086464,0.0860585,-4.2343137,-2.0258796,1.0129581,-4.3249967,1.5488294,0.7583144,36.8296359,0.8296896,-44.3375296,31.7000000,0.8069553,-0.3503716,-0.2760618,-0.3871083,-12.5302592,5.5969107,1.7989493,-1.2327832,-1.0732796,-3.5014872,-39.9884669,17.7324393,-34.0184337,31.7000000,0.1031607,0.5888708,0.1880455,-0.7792483,-8.2628411,-8.6400616,11.7899345,-1.6343085,-0.6578415,0.5085441,56.6257922,-2.3289550,-13.1267051,31.7000000,0.3355825,0.0705767,-0.3018670,-0.8895390,60.4823329,20.5290188,2.8553658,1.0873958,10.8138364,-0.6324289,-13.4361858,-16.9106669,-31.3669970,31.7000000,0.6498876,0.5753703,0.3320805,-0.3692124,-5.9234352,18.0921284,-18.3707557,-7.7973125,-0.8394187,-2.0881910,29.4293077,-33.4945376,-12.8596716,31.7000000,0.5953166,0.7219466,0.3404239,-0.0922105,0.8135428,-5.3952362,-7.0939063,-1.8893137,0.2414258,-0.3048598,16.9671770,-46.7560263,6.5697401,31.7000000,-0.7728921,-0.1728053,-0.4899061,0.3643736,19.1389281,11.3460252,9.5143349,-0.1216240,1.5724768,-1.7843255,44.5648359,-1.5921022,-33.2589758
2,31.7100000,-0.7318405,-0.1159328,-0.6598441,0.1247993,-11.2132351,3.0157706,0.0014965,-0.6453645,-1.2926529,0.1825404,49.1130674,3.5085573,-14.5591479,31.7100000,-0.0161715,-0.6867192,-0.1644639,0.7078890,-6.0379963,-5.4961051,12.3419586,-2.7902738,4.1678598,-1.5902961,64.1298268,10.1030426,-37.9336170,31.7100000,-0.3671241,-0.2167994,-0.7807514,-0.4567769,-13.7917825,14.5357000,-8.8697291,0.4590617,1.7318994,3.1561232,40.9512736,-33.2570538,21.2887105,31.7100000,0.8523038,-0.0147065,0.5133075,0.0993850,-12.5467166,-5.5411063,3.9543162,-3.5059070,1.4729986,1.0402914,37.3544949,2.0382739,-43.4342119,31.7100000,0.7953627,-0.3569130,-0.2806542,-0.4015526,-11.9418189,2.2040808,4.1331045,-2.3000068,-0.8871386,-3.1558692,-40.6464153,17.2498609,-33.0954130,31.7100000,0.1109692,0.5833129,0.1904277,-0.7817731,-10.9896518,-12.1331856,22.5379683,-1.0722510,-1.4029105,0.6177031,56.2084219,-2.6780309,-14.1782898,31.7100000,0.3068880,0.1539998,-0.2705140,-0.8994031,-12.1243537,15.7019483,-36.8786476,-0.1932473,15.1217164,-11.2799912,-5.3568869,-17.1583596,-32.8057815,31.7100000,0.6588189,0.5673297,0.3447279,-0.3539172,-107.4393731,66.4672379,8.0323334,-4.0802737,2.2391935,0.6288677,29.1926767,-32.8907592,-12.3792863,31.7100000,0.5896107,0.7213803,0.3501518,-0.0967646,-37.5739627,20.0338971,9.7180333,0.8697376,0.9030644,-2.1131215,17.5630444,-45.9896704,7.8056406,31.7100000,-0.7671777,-0.1675373,-0.4993338,0.3661084,14.5157498,11.4139223,11.2842120,-1.2573542,1.5559068,-1.5044487,44.8282389,-0.6651826,-32.6599616
3,31.7200000,-0.7372935,-0.1136427,-0.6543947,0.1234956,-10.2100206,1.5898117,0.8976446,-0.5052935,-1.5090508,0.1279413,48.7662593,3.6047779,-15.1380715,31.7200000,-0.0216897,-0.6949904,-0.1768976,0.6965810,-12.8208202,-1.4193597,20.9375914,-2.8672642,2.6198727,-0.6332186,63.3861319,11.1760830,-36.3697592,31.7200000,-0.3579724,-0.2396948,-0.7778701,-0.4575152,-8.4084631,13.3201445,-17.0553172,0.8489637,1.2412572,3.8573893,38.9490852,-34.1474805,21.8637463,31.7200000,0.8489427,-0.0229759,0.5167478,0.1083519,-35.2603736,-14.7193739,5.2243878,-2.2701848,1.0810832,0.7616730,37.3668596,2.6366196,-42.7261226,31.7200000,0.7836242,-0.3640233,-0.2839292,-0.4156975,-11.9859513,-1.8963468,5.6273884,-2.4893211,-0.7530237,-2.9943388,-41.1939710,16.8448394,-32.2212938,31.7200000,0.1169665,0.5757263,0.1888335,-0.7868926,-9.4512206,-15.9317037,19.0737221,-0.1874550,-2.0433759,0.6604413,55.7079183,-3.0195929,-15.2040535,31.7200000,0.2534039,0.2425846,-0.1707679,-0.9207483,-91.3595016,28.4150467,26.1909786,-12.0792828,18.5946606,-18.8812734,2.4243611,-12.5871167,-34.2457940,31.7200000,0.6588874,0.5742913,0.3415681,-0.3455259,-34.2626869,-0.9522355,24.6049505,0.4952854,1.0484267,1.9193407,28.4858784,-32.7847600,-13.1204609,31.7200000,0.5749920,0.7246663,0.3675224,-0.0957618,-50.3446284,50.3777370,-18.2357524,2.0728769,3.3049877,-2.4643990,18.6345819,-45.1113637,8.2982507,31.7200000,-0.7626715,-0.1599327,-0.5096464,0.3647112,9.5486271,9.8268985,11.7871350,-2.0356113,1.5025768,-1.1999768,44.7819853,0.4334025,-31.9947074
4,31.7300000,-0.7405072,-0.1130893,-0.6509515,0.1229717,-6.9665357,-2.4864210,-0.7407917,-0.1448729,-0.8947932,0.1398650,48.5131122,3.5401471,-15.3583394,31.7300000,-0.0274157,-0.6973717,-0.1879118,0.6910935,-12.4355738,-6.1882941,12.5045996,-2.5177851,0.9770477,-0.6399231,62.2626200,12.2059190,-35.3004502,31.7300000,-0.3492652,-0.2625800,-0.7709727,-0.4633214,-11.0010432,9.8638481,-10.5918889,-0.2181352,1.1150264,4.3707006,36.5702786,-35.6894301,21.5803883,31.7300000,0.8460786,-0.0250547,0.5212870,0.1085498,-43.1386024,-18.6883449,-2.7198668,-0.2868587,1.1226108,-0.0926725,37.5743243,2.9418926,-42.0302991,31.7300000,0.7736277,-0.3678988,-0.2887893,-0.4274943,-10.8587959,-4.1310605,5.3860307,-1.5899163,-0.8045140,-2.7809786,-41.5562087,16.1110843,-31.3869033,31.7300000,0.1197688,0.5692124,0.1846268,-0.7921904,-13.1914703,-20.8966374,31.5253330,0.6213208,-1.8370970,0.4912100,55.2635010,-3.2616815,-16.0710245,31.7300000,0.1649512,0.2522839,-0.0925851,-0.9489847,-113.0751361,-56.9247977,23.2883410,-10.6317183,1.3825696,-21.9167557,1.7530095,-6.6685460,-35.0865042,31.7300000,0.6740183,0.5629756,0.3291821,-0.3469827,-5.8392918,-2.8337777,-1.0040784,-2.3329884,-3.5901716,1.4741914,27.9994979,-32.3264456,-14.4097089,31.7300000,0.5771721,0.7231028,0.3694729,-0.0865126,-17.0618441,41.7145238,-39.9169140,-1.2296933,1.3985319,0.6837148,17.4147846,-44.9121507,7.5363513,31.7300000,-0.7589023,-0.1513544,-0.5200200,0.3615776,2.9914949,6.2928112,11.0686041,-2.3898375,1.4192609,-0.9847500,44.7880917,1.3855671,-31.3233061
5,31.7400000,-0.7424708,-0.1128861,-0.6486723,0.1233616,-7.0565921,-4.6416859,-2.5944316,0.0259500,-0.5716163,-0.0066282,48.4154606,3.5690497,-15.5192002,31.7400000,-0.0242059,-0.6993963,-0.1994344,0.6859190,-3.2952763,-6.6197526,4.0747922,-1.3320982,1.2229421,-1.9606238,60.9159978,13.7075855,-33.7188594,31.7400000,-0.3463298,-0.2801143,-0.7596130,-0.4738984,-14.6088360,10.9332456,-13.3046533,-1.9581390,0.7071239,3.5906868,34.8162213,-37.0137866,20.8846367,31.7400000,0.8465054,-0.0204547,0.5220793,0.1021929,-33.1583035,-18.7261452,4.0508253,1.4617698,0.0334394,-0.5958756,37.0740332,2.4416308,-42.0300903,31.7400000,0.7661069,-0.3671709,-0.2971300,-0.4358664,-7.5094635,-4.1648791,4.9949825,-0.1996780,-1.0581355,-2.5616701,-42.0663151,15.3054106,-30.8777230,31.7400000,0.1203948,0.5638614,0.1768700,-0.7976731,-18.6313461,-36.0753214,29.8346504,1.4688474,-1.6798988,0.5845148,54.9167612,-3.6813090,-16.8060806,31.7400000,0.1363668,0.2153817,-0.0777754,-0.9638287,-1.2060904,-40.7395298,11.7053320,-2.8925383,-7.7774861,-5.9978285,1.3557004,-5.0635763,-35.5285365,31.7400000,0.6760132,0.5476388,0.3485184,-0.3487591,-98.3147199,-3.7583155,-2.2412004,-3.5767538,1.2364372,-3.3166571,29.9163428,-30.5405593,-14.7984829,31.7400000,0.5792209,0.7270017,0.3612980,-0.0737256,-29.1310575,38.3377713,-0.8676169,-0.6655359,0.8458195,2.9578128,15.8175433,-44.8260630,8.2238929,31.7400000,-0.7553417,-0.1436286,-0.5289839,0.3591738,-4.0153458,2.5953679,10.1948191,-2.2899403,1.1869878,-0.8607603,44.8002999,2.2349290,-30.8218903
6,31.7500000,-0.7417610,-0.1108041,-0.6498461,0.1233418,-10.3212688,-4.3190722,-3.6525939,-0.3302179,0.2508788,-0.3333773,47.9625255,3.7577380,-14.8682046,31.7500000,-0.0123487,-0.7031925,-0.2161474,0.6772356,-15.0981949,-8.7822406,7.4896425,-0.9665867,2.3269694,-3.7853963,59.4218485,16.3365914,-32.0146679,31.7500000,-0.3530930,-0.2969636,-0.7481767,-0.4768329,-8.7015416,7.5180868,-17.1337599,-1.3449757,-1.0729718,2.0679124,33.9635047,-37.5664181,20.1643991,31.7500000,0.8496054,-0.0082537,0.5189482,0.0937827,-33.8753294,-15.0528306,6.4691989,2.7639760,-1.0453931,-0.1539460,36.7687912,1.8434973,-42.0300903,31.7500000,0.7602373,-0.3634176,-0.3082226,-0.4415493,-2.5034516,-2.7276619,4.2999397,0.7864452,-1.3151572,-2.3869417,-42.6758702,14.0182451,-30.1774566,31.7500000,0.1198554,0.5619810,0.1651947,-0.8015752,-9.0136561,-30.3137620,7.4428903,2.2530198,-1.0040061,0.9984855,54.8849690,-4.3864463,-17.0168784,31.7500000,0.1861517,0.2398544,-0.0813866,-0.9493122,-16.7950696,-16.4723312,24.9415057,-0.5857894,6.0424343,9.7571715,3.4550515,-5.4854902,-35.4731100,31.7500000,0.6608592,0.5200496,0.3929275,-0.3720504,-32.2679074,-55.9958448,-8.2697953,-3.6079123,2.6101720,-11.0284048,33.1853023,-26.2827349,-15.6406319,31.7500000,0.5744228,0.7335936,0.3599869,-0.0478370,-25.2427811,-15.0199113,-8.9622361,-0.4052074,4.0823754,3.5706429,14.1940944,-45.1047815,7.5601425,31.7500000,-0.7525540,-0.1384895,-0.5354711,0.3574269,-11.3296044,-0.1849517,11.0276798,-1.6942888,0.8899089,-0.5558070,44.5404459,2.9071295,-30.3449711
7,31.7600000,-0.7326080,-0.1092161,-0.6607374,0.1215871,-12.9628233,-4.0535757,-7.4481212,-0.5333051,2.8405143,-0.4360400,48.0833459,4.0822991,-12.7425582,31.7600000,0.0017794,-0.7046674,-0.2321268,0.6704908,-9.3003029,-6.7343066,5.1472663,-0.4706020,1.8360606,-4.0949489,57.6844133,18.8896774,-30.6786890,31.7600000,-0.3622922,-0.3144684,-0.7392932,-0.4725458,-1.9512777,6.7504034,-11.9828249,-0.0847593,-1.7616432,1.3050965,33.0786834,-37.7814836,19.6382616,31.7600000,0.8510838,0.0106428,0.5182746,0.0832735,-25.8820946,-3.9585277,0.5144981,4.1429317,-0.5769405,0.2295367,36.4391972,0.3544615,-41.9202562,31.7600000,0.7547111,-0.3596872,-0.3194652,-0.4460699,3.4121352,-1.9779412,3.6010668,0.8942200,-1.4027541,-2.1889048,-43.1480132,13.0277602,-29.5208803,31.7600000,0.1157764,0.5637686,0.1535737,-0.8032284,0.6277384,-6.1983053,4.1836079,2.6566600,-0.0482996,0.5987598,54.6142383,-4.8434352,-16.8192676,31.7600000,0.2162421,0.2700490,-0.0988897,-0.9330239,29.7668082,22.2249506,-7.5066488,3.2428670,6.3771092,6.6525288,4.5964146,-7.2056492,-35.1642779,31.7600000,0.6364710,0.5048399,0.4197472,-0.4047884,-2.3946983,-34.1772230,-1.9870085,1.0439528,0.9425371,-10.1609973,35.7272261,-22.9664473,-13.8820738,31.7600000,0.5806581,0.7380605,0.3426061,-0.0269044,-28.3523674,-67.3603616,7.1844182,-1.7558974,0.6942525,5.3117263,11.7207770,-45.5919158,7.7748854,31.7600000,-0.7510153,-0.1377505,-0.5394530,0.3549526,-21.3877446,-1.8862410,11.1872253,-0.9766569,0.7096872,0.1841967,44.3503452,2.9541917,-29.9482005
