,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist
,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer
,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,9.2400000,-0.3367028,-0.4687923,-0.2036808,0.7908092,-8.2975778,0.4856059,5.0321406,0.2156735,-0.0680742,0.0406820,37.0085210,0.6830360,-26.6853828,9.2400000,0.0983422,0.2399626,-0.1219205,-0.9580617,-3.8173161,3.1096236,8.0038937,-0.0729344,0.0049568,-0.0470280,6.4129372,-11.2838599,-41.2079751,9.2400000,0.6275614,0.3657900,0.5845948,-0.3614046,-9.8389713,0.2562578,0.6838979,-0.3194403,0.0021611,0.0010981,39.0636902,7.0315422,-0.7812738,9.2400000,0.2533575,0.1161221,-0.0758137,-0.9573808,-2.0880091,2.2303011,9.1802017,-0.0682459,-0.0339561,0.1206261,1.5329239,-5.4993181,-48.6342964,9.2400000,-0.0929365,-0.0253036,0.1141399,0.9887844,-0.6106668,2.5567486,9.2776260,-0.1897219,-0.0365438,-0.0263349,-5.9433039,-8.4963531,-51.0255416,9.2400000,0.3464549,-0.6021677,0.2830893,0.6612288,-9.6184537,-0.2101099,0.3967852,-0.0032590,0.0859898,-0.0034228,46.6705949,-1.5991699,-3.9185765,9.2400000,0.0013368,0.2599339,-0.2125130,-0.9419505,-4.9776984,4.2589227,7.4084328,0.1065591,-0.0594743,-0.0649007,9.9207102,-17.5044370,-35.0635702,9.2400000,0.3380650,-0.5263266,0.2702174,0.7318982,-9.2869032,-0.0897171,2.7926693,0.4491075,-0.0562947,-0.1266665,34.1420253,-8.0547535,-20.6584979,9.2400000,-0.1673619,-0.3408992,0.7744183,0.5060178,0.0977386,8.0522587,-3.9241352,0.0011730,-0.0251934,0.1375327,-4.0930173,-39.6089793,10.5634461,9.2400000,0.4686460,-0.0635720,0.0616080,-0.8789391,-0.3542295,-1.7333975,8.6310103,-0.2350466,-0.0672910,-0.0106838,-1.5867745,9.5335526,-46.1806068
1,9.2500000,-0.3363173,-0.4692214,-0.2027677,0.7909533,-8.6114068,0.5200178,4.8777740,0.2146224,0.0110099,0.0316407,37.0247666,0.5615405,-26.6484741,9.2500000,0.0983275,0.2400933,-0.1213717,-0.9581001,-4.0589818,2.8115339,8.2472199,-0.1011004,0.0323316,-0.0320540,6.4535006,-11.2186041,-41.2772822,9.2500000,0.6282916,0.3646974,0.5853669,-0.3599874,-9.5952281,0.1346989,1.0374095,-0.3995296,0.0331107,0.0384581,39.0637781,7.1290358,-0.7812738,9.2500000,0.2542089,0.1158802,-0.0755387,-0.9572061,-1.8947892,2.3653601,9.3607453,-0.0800020,-0.0137293,0.1693527,1.6295711,-5.4078798,-48.6405171,9.2500000,-0.0926934,-0.0249677,0.1134691,0.9888930,-0.6225775,2.5530490,9.2040868,-0.1390019,-0.0569872,-0.0482931,-5.7664088,-8.4123069,-50.9656132,9.2500000,0.3463658,-0.6024023,0.2831304,0.6610442,-9.7867772,-0.4122974,0.4367965,-0.0195308,0.0593006,-0.0113676,46.6427911,-1.5364371,-3.8558436,9.2500000,0.0009174,0.2597445,-0.2128234,-0.9419332,-4.7921152,4.2437376,7.2761057,0.0793019,-0.0515758,-0.0558889,9.9622274,-17.6020892,-35.0220544,9.2500000,0.3396850,-0.5257086,0.2713888,0.7311585,-9.4973071,-0.2175481,2.6633991,0.4213632,-0.0199915,-0.1234667,34.2043967,-8.1308238,-20.5917569,9.2500000,-0.1673683,-0.3405257,0.7748908,0.5055436,-0.2042881,8.2519923,-4.0589085,0.1063364,-0.0142040,0.1050059,-4.1708983,-39.5113318,10.6570635,9.2500000,0.4685333,-0.0643681,0.0625031,-0.8788780,-0.1347649,-1.6481874,8.3626619,-0.2285977,-0.0587669,-0.0021551,-1.5869625,9.6192454,-46.0831616
2,9.2600000,-0.3360152,-0.4694012,-0.2017534,0.7912344,-8.7866399,0.3963067,4.7256104,0.2115945,-0.0515078,0.0350135,36.9271056,0.5246290,-26.6246358,9.2600000,0.0983909,0.2403062,-0.1208009,-0.9581124,-4.9156935,3.0472088,8.5942808,-0.1068242,0.0516773,-0.0196187,6.5187535,-11.1861940,-41.3502575,9.2600000,0.6291204,0.3634673,0.5862042,-0.3584184,-9.8269157,0.5981408,0.7929978,-0.4464819,0.0309388,0.0438018,39.1611745,7.0313762,-0.7811859,9.2600000,0.2552421,0.1157486,-0.0754204,-0.9569564,-1.5452058,2.4830774,9.3225680,-0.0474748,0.0038643,0.2099693,1.5381328,-5.4078798,-48.7257320,9.2600000,-0.0923188,-0.0246058,0.1130104,0.9889896,-0.5070150,2.4883132,9.0450948,-0.0965997,-0.0690088,-0.0724138,-5.8215251,-8.3986931,-50.9537010,9.2600000,0.3464091,-0.6024432,0.2831800,0.6609630,-9.8705351,-0.6381835,0.4211945,0.0050938,0.0143662,-0.0096911,46.6078644,-1.5642469,-3.9463899,9.2600000,0.0008027,0.2598155,-0.2130478,-0.9418630,-4.9449848,4.3786346,7.3122042,0.0495663,0.0132360,-0.0140207,9.8909251,-17.6528909,-35.0728552,9.2600000,0.3409200,-0.5253811,0.2723409,0.7304647,-9.8555869,-0.2965496,2.7351517,0.3270674,0.0236767,-0.1030505,34.3034959,-8.0454249,-20.5063041,9.2600000,-0.1671820,-0.3404412,0.7754988,0.5047292,-0.7114874,8.8243575,-4.2028839,0.1955968,0.0037793,0.0613847,-4.0813156,-39.4177055,10.6611062,9.2600000,0.4684349,-0.0651045,0.0635507,-0.8788012,-0.0002954,-1.7089022,8.2159051,-0.2498996,-0.0342348,0.0031927,-1.4895181,9.7168786,-46.0829468
3,9.2700000,-0.3357391,-0.4693564,-0.2003938,0.7917235,-8.8026033,0.2498270,4.6415112,0.2570754,-0.1308605,0.0485199,36.8986510,0.3946837,-26.7222886,9.2700000,0.0985891,0.2402937,-0.1202825,-0.9581604,-4.7531233,3.1866938,8.4476354,-0.1085672,0.0089929,0.0134529,6.5187535,-11.1209440,-41.4483525,9.2700000,0.6300753,0.3621991,0.5868842,-0.3569087,-9.7780966,0.5733744,0.2557842,-0.4422132,-0.0106824,0.0523604,38.9661180,6.9338050,-0.6835157,9.2700000,0.2563218,0.1155633,-0.0752508,-0.9567035,-1.1085411,2.1802269,9.2638639,-0.0610749,-0.0030207,0.2186301,1.5443531,-5.4078798,-48.6342964,9.2700000,-0.0918803,-0.0242241,0.1128983,0.9890527,-0.1626197,2.4781029,8.9372253,-0.0273645,-0.0806095,-0.0822732,-5.8351388,-8.3986931,-50.9537010,9.2700000,0.3466655,-0.6022705,0.2833412,0.6609168,-9.8879967,-0.9432905,0.5082674,0.0583388,-0.0224174,-0.0099175,46.6078644,-1.5364336,-3.9534995,9.2700000,0.0011018,0.2601834,-0.2131962,-0.9417276,-4.7858172,3.5719418,7.6320407,0.0165778,0.0901919,0.0473368,9.9441365,-17.5786610,-35.0220568,9.2700000,0.3417769,-0.5252118,0.2729363,0.7299637,-9.5340868,-0.0359813,2.9620287,0.2284200,0.0222445,-0.0853305,34.3150101,-8.1186168,-20.4962292,9.2700000,-0.1669038,-0.3405666,0.7760996,0.5038123,-1.0732432,9.0816966,-4.2883278,0.2240370,0.0179285,0.0225287,-4.1708987,-39.4217389,10.7587559,9.2700000,0.4683012,-0.0657587,0.0648405,-0.8787295,0.2679453,-2.0135196,8.3130174,-0.2851144,0.0031185,0.0021388,-1.5867379,9.8145280,-46.1803822
4,9.2800000,-0.3354186,-0.4694329,-0.1988765,0.7921965,-8.6300603,0.1586962,4.4779098,0.2937155,-0.1189855,0.0622384,36.9518089,0.2807703,-26.7830429,9.2800000,0.0989860,0.2400070,-0.1197517,-0.9582578,-4.4522694,2.7556650,8.3743907,-0.1270801,-0.0408998,0.0565676,6.4863501,-11.0520871,-41.3466447,9.2800000,0.6310719,0.3609961,0.5875151,-0.3553252,-9.7415844,0.1584326,-0.3787261,-0.4421805,-0.0117371,0.0758395,39.0636902,6.9338050,-0.5738468,9.2800000,0.2574254,0.1151776,-0.0746068,-0.9565041,-1.1076363,1.9598253,9.2580846,-0.1634527,-0.0179244,0.2125426,1.6295809,-5.3946812,-48.6405074,9.2800000,-0.0913846,-0.0238558,0.1132620,0.9890660,0.3314165,2.6146905,8.9551317,0.0684083,-0.0877634,-0.0906702,-5.9296995,-8.4827477,-51.0272493,9.2800000,0.3470870,-0.6019933,0.2836247,0.6608265,-9.8017345,-1.1840400,0.7227466,0.1041273,-0.0317402,-0.0141124,46.6078644,-1.5015106,-3.9185765,9.2800000,0.0016064,0.2606556,-0.2134408,-0.9415408,-4.5255287,3.1412090,7.8928188,0.0262337,0.1212561,0.0866054,10.0598767,-17.6255373,-35.0728455,9.2800000,0.3425369,-0.5250192,0.2733723,0.7295827,-9.3559342,0.2692038,3.3676991,0.1904520,0.0006343,-0.0786045,34.2396319,-8.0547535,-20.4854613,9.2800000,-0.1666155,-0.3408388,0.7766905,0.5028121,-1.0210992,9.3468378,-4.3576461,0.2415873,0.0371646,0.0008823,-4.0808020,-39.5072989,10.8564150,9.2800000,0.4681230,-0.0661816,0.0661081,-0.8786982,0.3416462,-2.2821936,8.5690332,-0.2596163,0.0426390,-0.0063901,-1.5869625,9.9000157,-46.1806068
5,9.2900000,-0.3351639,-0.4695464,-0.1975552,0.7925675,-8.4670304,0.1586962,4.2967130,0.2548878,-0.0930464,0.0625913,36.9148934,0.2438551,-26.7830429,9.2900000,0.0994835,0.2396209,-0.1192352,-0.9583673,-4.0939236,2.2589311,8.3659532,-0.1314215,-0.0584035,0.0786738,6.4534974,-10.9458221,-41.3096854,9.2900000,0.6319607,0.3599337,0.5881205,-0.3538186,-9.8272562,-0.1344462,-0.7078426,-0.4057952,0.0021363,0.0768768,39.0636792,6.9337061,-0.6835267,9.2900000,0.2584727,0.1145552,-0.0736173,-0.9563731,-1.6449769,2.3953269,9.5095673,-0.2414505,-0.0478325,0.1938218,1.5381328,-5.2003536,-48.7319527,9.2900000,-0.0908897,-0.0235233,0.1140766,0.9890259,0.8230788,2.6998342,9.0022575,0.1594655,-0.0886563,-0.0881837,-5.9450054,-8.4963531,-51.0391541,9.2900000,0.3475103,-0.6017874,0.2839470,0.6606532,-9.6360849,-0.9785259,0.8605829,0.1092621,-0.0097048,-0.0194531,46.6078644,-1.4936686,-4.0440491,9.2900000,0.0021589,0.2612479,-0.2139240,-0.9412658,-4.6178165,3.5518662,7.7844170,0.0724631,0.1504379,0.1029694,10.0090940,-17.7505408,-34.9751883,9.2900000,0.3434861,-0.5246627,0.2739347,0.7291818,-9.2525180,0.5205481,3.7195812,0.2415742,-0.0228650,-0.0855125,34.3157030,-7.9585336,-20.4947900,9.2900000,-0.1664006,-0.3409882,0.7772671,0.5018901,-0.3404022,9.2416162,-4.0554862,0.2189450,0.0313386,0.0237893,-4.1667578,-39.3240788,10.9540741,9.2900000,0.4678910,-0.0661338,0.0669497,-0.8787617,0.2565520,-2.3071431,8.8010041,-0.1402025,0.0874850,-0.0245256,-1.4895278,9.9002037,-46.0831714
6,9.3000000,-0.3351053,-0.4695015,-0.1967245,0.7928255,-8.2833449,0.2094496,4.3005642,0.1436266,-0.0824575,0.0489412,36.8910607,0.1831111,-26.7830429,9.3000000,0.0999406,0.2393554,-0.1188705,-0.9584314,-3.9712920,2.0709329,8.4232183,-0.0969239,-0.0371028,0.0762314,6.4863468,-11.0110779,-41.3830986,9.3000000,0.6325869,0.3591270,0.5885850,-0.3527453,-10.1563353,-0.3172558,-0.5003668,-0.2936509,0.0021466,0.0437667,39.0514050,6.8239384,-0.5859554,9.3000000,0.2592931,0.1138263,-0.0727147,-0.9563071,-2.3543441,2.0426501,9.5041325,-0.2261077,-0.0775369,0.1506204,1.5319217,-5.1941425,-48.7381638,9.3000000,-0.0905192,-0.0232493,0.1150322,0.9889557,0.9121539,2.6890300,8.9565300,0.1885199,-0.0767048,-0.0636853,-6.0290593,-8.4963531,-50.9445930,9.3000000,0.3477451,-0.6018002,0.2842178,0.6604015,-9.6725507,-0.6183684,1.0087710,0.0689972,0.0357590,-0.0186182,46.6078644,-1.4893032,-4.0511587,9.3000000,0.0027004,0.2619584,-0.2145855,-0.9409164,-4.8570816,3.7061677,7.5705432,0.1098483,0.1760308,0.1051912,10.0598767,-17.7231960,-34.9244051,9.3000000,0.3448376,-0.5240146,0.2747367,0.7287081,-8.7887420,0.3770427,3.4799083,0.3430998,-0.0633241,-0.1081909,34.2303033,-8.0331647,-20.5716073,9.3000000,-0.1663517,-0.3408235,0.7778282,0.5011484,-0.0334907,8.9603405,-3.8351415,0.1675761,0.0138511,0.0822729,-4.2563499,-39.4177055,11.0476999,9.3000000,0.4676274,-0.0655051,0.0671827,-0.8789313,0.1467306,-2.1732133,8.8868016,0.0220739,0.1344832,-0.0405544,-1.4893032,9.9976489,-46.0829468
7,9.3100000,-0.3352524,-0.4692911,-0.1965113,0.7929407,-8.0658266,0.4360005,4.5222136,0.0096907,-0.0620202,0.0266284,36.9148995,0.1462019,-26.8199523,9.3100000,0.1002493,0.2393462,-0.1186986,-0.9584227,-4.0244964,2.2418480,8.3418656,-0.0459993,0.0081355,0.0523714,6.4210939,-10.9786648,-41.3466337,9.3100000,0.6329127,0.3585964,0.5889528,-0.3520863,-9.8754601,-0.1459725,-0.3291824,-0.1815457,0.0149685,0.0096047,38.9539220,6.8240372,-0.5859444,9.3100000,0.2598562,0.1130094,-0.0718482,-0.9563166,-2.8788329,1.5633240,9.4124693,-0.2190006,-0.1017270,0.0996022,1.4342624,-5.0902723,-48.8234016,9.3100000,-0.0903615,-0.0230805,0.1159343,0.9888687,0.5688271,2.6225873,8.9059986,0.1792468,-0.0499478,-0.0239614,-6.0426645,-8.5804083,-50.9292870,9.3100000,0.3476934,-0.6020332,0.2843547,0.6601574,-9.8155541,-0.2260597,1.0977753,0.0011071,0.0709422,-0.0088571,46.6784359,-1.4265732,-3.9456644,9.3100000,0.0030772,0.2625291,-0.2152453,-0.9406054,-4.9420454,4.1300089,7.3781544,0.1164281,0.1406537,0.0801111,10.0296025,-17.8716393,-34.9751883,9.3100000,0.3464756,-0.5232057,0.2756287,0.7281753,-8.8252063,0.1924924,3.2055885,0.3999772,-0.0900324,-0.1355849,34.2281178,-8.1200560,-20.4955363,9.3100000,-0.1663706,-0.3403717,0.7784295,0.5005152,-0.2643615,8.6713780,-3.8895342,0.1405906,-0.0131203,0.1328925,-4.1667672,-39.4136628,11.0517426,9.3100000,0.4673643,-0.0644383,0.0669726,-0.8791661,0.1586694,-1.9171263,8.9844339,0.1418005,0.1708238,-0.0459186,-1.3918589,9.8151554,-46.0829468
