,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,Chest,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftFoot,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftShank,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftThigh,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,LeftWrist,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,Pelvis,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightFoot,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightShank,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightThigh,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist,RightWrist
,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer,Time,Orientation,Orientation,Orientation,Orientation,Accelerometer,Accelerometer,Accelerometer,Gyroscope,Gyroscope,Gyroscope,Magnetometer,Magnetometer,Magnetometer
,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,S,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,4.3800000,0.7212661,0.2633474,0.5544233,-0.3209956,-10.4784379,1.3789776,3.9685535,-0.0319641,-0.0089377,-0.1007784,45.4263972,-0.3779705,-12.0853291,4.3800000,0.6416743,0.4055349,0.3642507,-0.5395526,2.5559958,2.0906460,12.6901059,1.2073955,-2.2399879,-0.5502525,40.6535233,5.1496003,-21.5644297,4.3800000,0.5332917,-0.0660869,0.7361737,0.4114375,-3.1750663,4.3828850,-1.0129764,-0.1590419,-0.1312268,0.1071331,32.4716423,-26.9417381,11.5848255,4.3800000,0.5316185,0.4855875,0.3356142,-0.6074122,-9.8203383,-0.2660823,0.9643849,-1.7845310,-2.1138456,0.3892581,44.1541786,1.7766948,-16.3637171,4.3800000,0.3665772,0.5334508,0.2932942,-0.7035836,-9.8844965,-0.4381774,2.4377036,-0.8527046,0.2300550,0.3295377,44.6518721,6.1891537,-17.6666463,4.3800000,0.1251442,-0.5880295,0.0540290,0.7972710,-11.5467228,-0.9021003,1.8915762,0.0456212,-0.0669342,-0.0653957,42.7880917,-1.0742515,-27.6398465,4.3800000,0.7094046,0.3034842,0.0938154,-0.6291591,-5.2087335,3.0098835,8.0202637,-0.0648241,-0.0615196,-0.0935967,21.4362011,-4.1669259,-35.0871335,4.3800000,0.0694347,0.6340639,0.1716521,-0.7507845,-10.3348652,-3.2771867,0.9257584,-0.3256774,0.0200138,-0.3575685,34.9958255,10.3294676,-18.4067601,4.3800000,0.1357142,0.7553534,0.1322979,-0.6273119,-10.6134437,-1.1019025,-3.0572831,-1.2260742,0.2513990,0.4533311,41.6888782,1.2697567,0.8066933,4.3800000,0.3899558,0.5080173,0.3854029,-0.6643173,-11.0749733,-0.1340532,1.9133664,0.2802047,-0.4786101,0.1253224,41.1773977,8.4247061,-11.6110668
1,4.3900000,0.7211626,0.2629113,0.5545167,-0.3214240,-10.7276572,1.2999737,4.1007694,-0.0173223,-0.0228547,-0.1240256,45.3875831,-0.2803113,-12.0853291,4.3900000,0.6434849,0.4016650,0.3521119,-0.5482788,6.9049090,4.9538608,8.6153531,1.3032323,-2.8188693,-0.2200265,40.0431527,5.1735255,-22.9170374,4.3900000,0.5363101,-0.0666614,0.7351964,0.4091625,-1.9903988,3.7113862,-0.9400067,0.2305250,-0.4762214,-0.5914046,32.8743370,-26.7465176,11.3896050,4.3900000,0.5398649,0.4757097,0.3353711,-0.6080891,-9.6986770,-0.9381097,0.9552806,-1.7782661,-1.8485648,0.2873134,44.1334869,1.8677326,-17.1561616,4.3900000,0.3696280,0.5334751,0.2959730,-0.7008420,-10.5997129,-0.8181731,2.7638489,-0.8599960,0.3110972,0.3485427,44.7488871,6.0188944,-17.4678730,4.3900000,0.1256233,-0.5879450,0.0537411,0.7972775,-11.1691320,-0.6402802,1.8592958,0.0122024,-0.0275367,-0.1110932,42.8346275,-1.0742515,-27.6608256,4.3900000,0.7092188,0.3031141,0.0939334,-0.6295292,-5.4078798,3.0728377,8.0145506,-0.0501713,-0.0473984,-0.0903243,21.4282027,-4.0894799,-34.9986267,4.3900000,0.0688699,0.6336113,0.1737838,-0.7507282,-9.7226309,-3.0646357,1.2890244,-0.2596423,-0.0099837,-0.3712253,34.9233721,10.4271320,-18.4501965,4.3900000,0.1408869,0.7554512,0.1344996,-0.6255831,-10.6538648,-1.6842969,-3.2221673,-1.1039389,0.1996835,0.3707927,41.7503325,1.1480831,0.9027606,4.3900000,0.3902885,0.5072756,0.3830654,-0.6660385,-11.8765532,-0.1220740,1.7422345,0.3558235,-0.4829826,0.0867492,41.2714053,8.5069622,-11.7123783
2,4.4000000,0.7209265,0.2624359,0.5547783,-0.3218905,-10.8317646,1.2724497,3.8028467,-0.0226319,0.0115268,-0.1512935,45.4354951,-0.1826520,-12.0635644,4.4000000,0.6469770,0.3965336,0.3398493,-0.5555937,10.5009894,6.3265125,4.8909375,0.9200126,-2.9782135,0.0671187,39.4674807,5.0289606,-24.1294179,4.4000000,0.5413406,-0.0684211,0.7344521,0.4035456,-2.0996183,2.9789727,-1.4768273,0.6406836,-0.6055752,-1.2857028,33.2771805,-26.3437779,11.4993185,4.4000000,0.5468382,0.4669664,0.3351373,-0.6087638,-9.2230004,-1.4624078,0.8234821,-1.5359594,-1.6240004,0.2079083,43.8423703,1.8735263,-17.7731536,4.4000000,0.3725778,0.5339379,0.2983375,-0.6979189,-11.3747901,-1.1647089,3.1376127,-0.7835008,0.3745907,0.4072925,44.8603300,5.9938350,-17.2741039,4.4000000,0.1261152,-0.5881282,0.0531930,0.7971014,-10.6962514,-0.5769438,1.8162834,-0.0325580,0.0299908,-0.1512232,42.7881015,-1.0021594,-27.6142987,4.4000000,0.7089997,0.3027689,0.0939991,-0.6299322,-5.3987389,3.0156486,7.9592271,-0.0374219,-0.0530707,-0.0955334,21.3587465,-4.0894799,-35.0077673,4.4000000,0.0684779,0.6331669,0.1756622,-0.7507019,-9.3674561,-2.9653932,1.2627460,-0.2423815,-0.0220291,-0.3132743,34.9103734,10.6658989,-18.4039523,4.4000000,0.1446457,0.7555224,0.1362991,-0.6242485,-10.7207126,-2.0230720,-3.1500960,-0.8301175,0.1634918,0.2428701,41.6766614,1.0504226,0.9155552,4.4000000,0.3903251,0.5065364,0.3806046,-0.6679875,-12.4538342,-0.1223023,1.5577537,0.4199124,-0.4927557,0.0422465,41.1737452,8.4212819,-12.0053557
3,4.4100000,0.7205290,0.2618607,0.5553335,-0.3222912,-10.9531499,1.2762474,3.2730868,-0.0547476,0.0687741,-0.1787130,45.3627090,-0.0849928,-11.9998770,4.4100000,0.6517351,0.3900711,0.3306834,-0.5601200,8.4168546,6.1158406,5.0931776,0.1137111,-2.5903018,0.2325776,38.9938045,4.9298671,-25.1117822,4.4100000,0.5480600,-0.0721942,0.7339530,0.3946279,-2.5023163,1.3680349,-0.0983489,0.9504967,-0.6195188,-2.0718137,33.8996483,-25.3430699,11.5115753,4.4100000,0.5525073,0.4594064,0.3347529,-0.6096080,-8.4156571,-2.1211925,0.7324442,-1.2550910,-1.4248179,0.1238868,43.7389201,1.9730484,-18.4604926,4.4100000,0.3753261,0.5349504,0.2999406,-0.6949777,-11.8367651,-1.3362291,3.4840901,-0.6158430,0.4084682,0.4946545,44.8956984,5.9087043,-17.0681575,4.4100000,0.1265910,-0.5885267,0.0524064,0.7967840,-10.2561769,-0.5557231,1.6624972,-0.0764056,0.0751080,-0.1825821,42.8346321,-0.8323937,-27.6608302,4.4100000,0.7087818,0.3024504,0.0939182,-0.6303424,-5.3090778,2.8049955,7.9546571,-0.0150910,-0.0709976,-0.0870253,21.4282035,-4.0894799,-35.0871432,4.4100000,0.0685012,0.6328360,0.1775193,-0.7505418,-9.6152434,-2.7096334,1.0702430,-0.2948985,-0.0029234,-0.2423798,34.7814896,10.8055562,-18.2996947,4.4100000,0.1466601,0.7557007,0.1375888,-0.6232789,-10.5605930,-1.9357651,-3.1585170,-0.4898561,0.1545134,0.0945132,41.7487261,0.9527719,1.0852700,4.4100000,0.3901457,0.5058072,0.3779542,-0.6701463,-12.5631258,-0.1351945,1.3023118,0.4838414,-0.5110540,0.0169905,41.0776831,8.3236229,-12.2965073
4,4.4200000,0.7201068,0.2612705,0.5559013,-0.3227345,-10.8036773,1.3952123,3.1020574,-0.0517349,0.0700961,-0.1887901,45.3875831,-0.0122074,-11.9998770,4.4200000,0.6572626,0.3828695,0.3250202,-0.5619419,2.0678665,4.2473706,8.1391287,-0.6138904,-2.0564513,0.3491300,38.5909729,4.9928279,-25.9355924,4.4200000,0.5563410,-0.0787526,0.7330402,0.3833208,-2.3194981,2.1603136,0.7808343,0.9858828,-0.6398104,-2.8718493,34.8272568,-24.2444515,11.5237823,4.4200000,0.5570112,0.4529621,0.3343794,-0.6105361,-7.5830703,-2.4162382,0.7307889,-1.0204787,-1.2172894,0.0462198,43.5673944,2.2527835,-18.8699575,4.4200000,0.3777908,0.5365247,0.3004451,-0.6922052,-11.7197519,-1.3230982,3.7514047,-0.3805302,0.4029940,0.5938259,44.9946016,5.7259166,-16.8819164,4.4200000,0.1270151,-0.5890131,0.0514502,0.7964192,-9.8830093,-0.5853805,1.4401526,-0.1112442,0.0909716,-0.1964386,42.9412981,-0.6370846,-27.6773784,4.4200000,0.7086205,0.3021986,0.0937106,-0.6306753,-5.2865981,2.9935399,7.9183881,0.0054712,-0.0769372,-0.0599855,21.3416161,-4.0894799,-35.0077585,4.4200000,0.0687683,0.6325290,0.1793826,-0.7503331,-10.2598834,-2.1100214,1.3170310,-0.3281159,-0.0017341,-0.2050470,34.7987102,10.9032206,-18.3591438,4.4200000,0.1470611,0.7559855,0.1384618,-0.6226453,-10.1425294,-1.2058925,-3.0768614,-0.1816933,0.1491727,-0.0505250,41.7615280,1.0248261,1.1108737,4.4200000,0.3898514,0.5050845,0.3750764,-0.6724754,-11.9941456,-0.1842465,1.0954872,0.5393003,-0.5365281,0.0118291,41.0657043,8.2277899,-12.4933963
5,4.4300000,0.7198746,0.2605936,0.5561991,-0.3232863,-10.1500076,1.4304575,3.3670520,-0.0446705,-0.0012087,-0.1877220,45.4386052,0.0313218,-11.9967678,4.4300000,0.6638967,0.3751146,0.3194831,-0.5625484,-0.5432197,3.0361081,10.2641017,-0.8645452,-2.0809655,0.5876590,38.1491306,4.9581394,-26.9618953,4.4300000,0.5656255,-0.0870846,0.7319798,0.3697157,-1.7093417,5.8943081,-1.3661550,1.1300283,-0.6312796,-3.4669104,35.7428207,-23.0481751,11.7434118,4.4300000,0.5604417,0.4476910,0.3340897,-0.6114425,-6.7171725,-2.3907881,0.7138230,-0.8042602,-0.9909869,-0.0115868,43.5427723,2.3372002,-19.3572184,4.4300000,0.3799370,0.5386018,0.2997582,-0.6897108,-11.0135881,-1.1906925,3.8694330,-0.1267281,0.3718253,0.6867910,44.9448426,5.3496630,-16.6775054,4.4300000,0.1273768,-0.5894836,0.0504174,0.7960793,-9.7633032,-0.6792663,1.3073446,-0.1306717,0.0842553,-0.1947330,42.8979686,-0.5859554,-27.6020916,4.4300000,0.7084751,0.3019654,0.0934119,-0.6309945,-5.1827947,2.7741471,8.0027048,0.0183901,-0.0869883,-0.0501713,21.2610881,-4.0803390,-35.0962830,4.4300000,0.0689991,0.6321591,0.1812462,-0.7501759,-10.6132441,-1.5863473,1.5261304,-0.3225627,-0.0163730,-0.2134901,34.7496701,10.9914686,-18.3749440,4.4300000,0.1459700,0.7564894,0.1388928,-0.6221939,-9.9241937,-0.3242769,-3.1064905,0.1104085,0.1772470,-0.1687477,41.6872704,1.1224938,1.1957383,4.4300000,0.3894675,0.5044067,0.3719769,-0.6749238,-11.0282963,-0.2452895,0.9243385,0.5905964,-0.5531408,0.0162619,41.0638781,8.2259637,-12.7744225
6,4.4400000,0.7196942,0.2598805,0.5564654,-0.3238033,-9.4861964,1.2318002,3.5004155,-0.0544354,-0.0120728,-0.1817568,45.4464318,0.1835701,-11.9876699,4.4400000,0.6716848,0.3667994,0.3116534,-0.5631784,-2.1396942,2.7483259,10.3720741,-0.7660654,-2.5240145,0.8505567,37.5670423,4.9298573,-28.2168558,4.4400000,0.5751957,-0.0964062,0.7308772,0.3545057,-2.2458936,8.6292671,-2.8435865,1.2550112,-0.5768270,-3.8152499,36.6827766,-21.4370068,11.6581133,4.4400000,0.5628208,0.4436765,0.3338004,-0.6123408,-5.8783797,-2.1691921,0.8001025,-0.5698833,-0.7663138,-0.0553627,43.3813866,2.2594048,-19.6549548,4.4400000,0.3817549,0.5410691,0.2980728,-0.6875027,-10.0514691,-0.9910078,3.8287474,0.0931577,0.3385782,0.7507113,45.0312241,4.8723589,-16.4806366,4.4400000,0.1276925,-0.5898055,0.0494517,0.7958509,-9.5103802,-0.9874140,1.2998022,-0.1227578,0.0496358,-0.1751973,42.8724022,-0.5138561,-27.5044249,4.4400000,0.7083451,0.3018104,0.0930710,-0.6312650,-5.2548962,2.6890565,8.0679510,0.0329759,-0.0804794,-0.0373219,21.3305428,-4.0009617,-35.1042814,4.4400000,0.0690645,0.6316940,0.1831870,-0.7500902,-10.0954589,-1.0067586,1.3650060,-0.3119684,-0.0326412,-0.2524719,34.6642154,11.1615856,-18.2968882,4.4400000,0.1436455,0.7572033,0.1387803,-0.6218916,-9.6986678,0.5243691,-3.0598520,0.3749357,0.1992196,-0.2384810,41.7609331,1.2201459,1.1236755,4.4400000,0.3889715,0.5038763,0.3686792,-0.6774109,-9.9929516,-0.3083807,0.7441951,0.6429954,-0.5442960,0.0290996,40.9698703,8.1285330,-13.0673993
7,4.4500000,0.7194653,0.2593296,0.5567526,-0.3242600,-9.0340631,0.9907614,3.5224096,-0.0366402,0.0099366,-0.1592855,45.7054363,0.2563555,-11.9876699,4.4500000,0.6802246,0.3574969,0.3018409,-0.5642540,-2.3742521,1.9328323,8.6604398,-0.7027422,-2.9812211,0.9592839,36.8590130,4.9884918,-29.5050400,4.4500000,0.5848834,-0.1074530,0.7285348,0.3400034,-4.0397531,8.9478680,-3.3323769,0.8675299,-0.6280453,-4.0182706,37.5251373,-19.9354412,11.6824724,4.4500000,0.5642930,0.4408488,0.3336218,-0.6131250,-5.2582894,-1.7624190,0.9043817,-0.3770386,-0.5378946,-0.0842025,43.6716752,2.4348600,-19.8510992,4.4500000,0.3833525,0.5438043,0.2957409,-0.6854597,-9.0733234,-0.7302786,3.7145053,0.2361577,0.3212948,0.7937669,45.1410898,4.5543284,-16.3810920,4.4500000,0.1279779,-0.5899229,0.0486991,0.7957644,-9.1357083,-1.4019043,1.3873067,-0.0885971,0.0061202,-0.1395887,42.8724022,-0.4882961,-27.5509671,4.4500000,0.7082530,0.3017599,0.0926450,-0.6314551,-5.3033646,2.7359623,8.0488874,0.0547387,-0.0752019,-0.0140226,21.2530899,-4.0894799,-35.1817360,4.4500000,0.0686816,0.6311142,0.1850507,-0.7501560,-9.4355025,-0.2647362,0.9017305,-0.2398051,-0.0536007,-0.3162615,34.7104519,11.2816447,-18.3591378,4.4500000,0.1406232,0.7578122,0.1381349,-0.6219844,-8.9363063,1.5895116,-2.5744875,0.5548290,0.1304080,-0.2588088,41.6888697,1.3072042,1.2806029,4.4500000,0.3883302,0.5035544,0.3651985,-0.6798990,-9.0802097,-0.4781325,0.7225076,0.6986927,-0.5197310,0.0431829,41.0657043,8.0446787,-13.3548994
