,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,45.7918600,-8.3820800,1.4944200,-9.4041200,-15.3688100,-2.9256100,-44.9340300,-97.3742100,24.8366600,-79.0419200,55.1188600,-13.0775600,-15.2380900,40.1243600,5.2550300,10.0414100,-5.9837200
1,45.8022200,-6.6279900,0.9833100,-9.0362800,-15.4680500,-2.5714800,-45.4946200,-97.6161800,24.8212400,-78.9904600,55.4952700,-11.9341600,-16.1206500,40.9721800,5.5848500,9.3557800,-7.4507100
2,46.0240800,-5.5895300,0.5961300,-8.7403000,-15.5720200,-2.3441900,-46.2426300,-97.8174700,24.7370500,-78.9949600,56.0589200,-10.9414200,-16.5738700,41.8124500,5.8783400,8.6225500,-9.0581000
3,46.4121600,-5.1091600,0.3483900,-8.4984600,-15.6892800,-2.2150000,-47.1410200,-97.9908200,24.6024800,-79.0340700,56.7896500,-10.0739900,-16.6410600,42.6522100,6.1330700,7.8197600,-10.7789400
4,46.9176400,-5.0094300,0.2292000,-8.2922700,-15.8244900,-2.1563200,-48.1447600,-98.1478400,24.4398500,-79.0908500,57.6594100,-9.3021400,-16.3960300,43.5037000,6.3500400,6.9413100,-12.5885100
5,47.5010900,-5.1334900,0.2172100,-8.1071700,-15.9770000,-2.1482600,-49.2141500,-98.2958700,24.2691700,-79.1563500,58.6386500,-8.6017200,-15.9204500,44.3786300,6.5327500,5.9977900,-14.4672600
6,48.1344100,-5.3628400,0.2896000,-7.9346100,-16.1418500,-2.1790400,-50.3194700,-98.4374500,24.1047600,-79.2289300,59.7002300,-7.9585300,-15.2900900,45.2852200,6.6865200,5.0137800,-16.4017600
7,48.7983700,-5.6184500,0.4189200,-7.7697300,-16.3112300,-2.2412100,-51.4417500,-98.5709300,23.9558500,-79.3114200,60.8220500,-7.3682000,-14.5679900,46.2286900,6.8168800,4.0222500,-18.3842300
8,49.4789700,-5.8533100,0.5671800,-7.6105900,-16.4761700,-2.3303700,-52.5709600,-98.6916800,23.8274200,-79.4098900,61.9873400,-6.8335600,-13.8032600,47.2109900,6.9296600,3.0592300,-20.4100500
9,50.1644900,-6.0446400,0.6953600,-7.4584000,-16.6292100,-2.4462500,-53.7028700,-98.7948500,23.7205200,-79.5322800,63.1827800,-6.3610700,-13.0336100,48.2300100,7.0323300,2.1593100,-22.4743000
10,50.8451600,-6.1880100,0.7815000,-7.3138200,-16.7663300,-2.5908400,-54.8378700,-98.8783300,23.6347100,-79.6852000,64.3970200,-5.9561600,-12.2873500,49.2818700,7.1333900,1.3498000,-24.5699400
11,51.5134400,-6.2904000,0.8241400,-7.1727100,-16.8869200,-2.7642700,-55.9808400,-98.9438900,23.5711200,-79.8715100,65.6206900,-5.6191500,-11.5834700,50.3647000,7.2405800,0.6451900,-26.6883700
12,52.1630200,-6.3632000,0.8316100,-7.0265100,-16.9925300,-2.9615700,-57.1392300,-98.9966400,23.5325600,-80.0897200,66.8468700,-5.3437400,-10.9334900,51.4791000,7.3593900,0.0457400,-28.8211500
13,52.7882100,-6.4174000,0.8158200,-6.8665500,-17.0864100,-3.1718900,-58.3202400,-99.0436000,23.5202300,-80.3336200,68.0705600,-5.1181400,-10.3456900,52.6246300,7.4916500,-0.4599700,-30.9606000
14,53.3838700,-6.4612900,0.7918800,-6.6879000,-17.1731100,-3.3811500,-59.5288200,-99.0917200,23.5312300,-80.5930600,69.2871600,-4.9281000,-9.8254700,53.7966700,7.6351300,-0.8908100,-33.0997400
15,53.9453000,-6.4998100,0.7691700,-6.4901100,-17.2560800,-3.5768000,-60.7663800,-99.1449900,23.5599700,-80.8581800,70.4918300,-4.7603000,-9.3713500,54.9878800,7.7846100,-1.2677900,-35.2330900
