,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,67.4449100,-10.4710400,-11.1780900,33.0390200,-10.0872000,2.2570100,-16.2707000,-116.2669300,-3.9553500,-0.0854700,65.8649200,-12.9114800,-15.1155900,32.3040000,-1.5894800,12.0447800,-11.9908600
1,67.7476400,-10.0042200,-11.8727000,34.6019100,-10.2040800,2.2674600,-18.3085000,-116.5150800,-3.9258700,-0.3428200,66.1281700,-11.8741200,-15.8192000,33.9952200,-1.3910700,11.8649600,-14.0778200
2,68.1805400,-9.5648400,-12.3223200,36.2314500,-10.3198100,2.2053300,-20.4075300,-116.7844500,-3.8895100,-0.5769600,66.5107500,-10.8604500,-16.2585700,35.7446600,-1.2271900,11.5014100,-16.2223000
3,68.7389000,-9.1640100,-12.5619700,37.9497600,-10.4374200,2.1022900,-22.5465700,-117.1101200,-3.8525800,-0.7871500,67.0083600,-9.8997700,-16.4574700,37.5707400,-1.0961600,10.9926700,-18.3992600
4,69.4100700,-8.8095400,-12.6301700,39.7736300,-10.5558100,1.9844800,-24.7022500,-117.5241100,-3.8164200,-0.9761900,67.6147200,-9.0103500,-16.4539700,39.4899400,-0.9968900,10.3833500,-20.5859900
5,70.1785000,-8.5052900,-12.5651300,41.7162300,-10.6726400,1.8714000,-26.8548500,-118.0532800,-3.7798700,-1.1490900,68.3246500,-8.2021800,-16.2885800,41.5162500,-0.9273800,9.7151900,-22.7646200
6,71.0275700,-8.2503200,-12.4047800,43.7874400,-10.7858700,1.7773800,-28.9921500,-118.7166100,-3.7412300,-1.3108100,69.1339300,-7.4797900,-15.9976500,43.6591200,-0.8842900,9.0214400,-24.9229100
7,71.9405200,-8.0393100,-12.1868000,45.9931000,-10.8939700,1.7122400,-31.1115400,-119.5233800,-3.6982200,-1.4659000,70.0376600,-6.8452000,-15.6107700,45.9221800,-0.8634400,8.3274800,-27.0545600
8,72.9022800,-7.8638900,-11.9464200,48.3362400,-10.9975200,1.6832800,-33.2220400,-120.4731400,-3.6499900,-1.6186000,71.0275700,-6.2997900,-15.1511600,48.3036600,-0.8583900,7.6527900,-29.1598400
9,73.9010500,-7.7147500,-11.7121000,50.8186300,-11.1003400,1.6968800,-35.3439100,-121.5574300,-3.5989100,-1.7729200,72.0902100,-5.8430300,-14.6375200,50.7988900,-0.8598500,7.0117700,-31.2468200
10,74.9280500,-7.5852400,-11.5017300,53.4397100,-11.2067700,1.7579000,-37.5030700,-122.7623800,-3.5485100,-1.9324100,73.2073600,-5.4691200,-14.0864200,53.4036500,-0.8585100,6.4148200,-33.3325200
11,75.9766900,-7.4736000,-11.3213500,56.1945500,-11.3184000,1.8687200,-39.7232100,-124.0712300,-3.5008200,-2.0991100,74.3585500,-5.1663600,-13.5151500,56.1159600,-0.8484700,5.8695400,-35.4419600
12,77.0428800,-7.3810900,-11.1663900,59.0743600,-11.4342300,2.0283400,-42.0200500,-125.4677000,-3.4561800,-2.2730000,75.5239100,-4.9204700,-12.9421900,58.9363500,-0.8272500,5.3813500,-37.6037700
13,78.1251000,-7.3083400,-11.0249900,62.0681500,-11.5520700,2.2315600,-44.3986000,-126.9387800,-3.4137300,-2.4518900,76.6877200,-4.7187600,-12.3828800,61.8667900,-0.7947500,4.9532100,-39.8440700
14,79.2223400,-7.2550600,-10.8818800,65.1618100,-11.6669300,2.4677100,-46.8515700,-128.4748500,-3.3692600,-2.6308900,77.8431200,-4.5518900,-11.8457900,64.9072100,-0.7551500,4.5857000,-42.1803100
15,80.3318600,-7.2227100,-10.7230500,68.3353100,-11.7682800,2.7203500,-49.3598900,-130.0679300,-3.3119300,-2.8029500,78.9952900,-4.4120100,-11.3339600,68.0511900,-0.7196000,4.2787800,-44.6164900
