,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,60.3349500,2.2694400,-9.0487200,49.1676500,-6.5970900,-0.8163200,-89.2653800,-124.1244500,0.7713700,6.2540500,76.8762500,-12.4639700,-3.3873100,47.3254100,5.4997000,10.7365100,-28.8499100
1,60.0693500,4.2348900,-9.8308700,48.6315500,-6.8841000,-1.5828900,-89.1121800,-124.2142200,0.7060400,6.0474000,77.0277600,-10.3383900,-4.6986800,47.6562400,5.6377500,9.5586100,-29.4332900
2,59.7438000,5.6128800,-10.3796800,48.0477900,-7.2736400,-2.1138700,-88.9499200,-124.3326600,0.6211300,5.8126600,77.3386800,-8.6871900,-5.4700800,48.0835500,5.7613700,8.5259300,-30.1198100
3,59.3609600,6.5022500,-10.7164600,47.4305400,-7.7324800,-2.4724300,-88.7769300,-124.4831900,0.5386100,5.5457100,77.7746700,-7.4687000,-5.7586100,48.6030900,5.8822200,7.6556000,-30.9001200
4,58.9303200,7.0246400,-10.8826300,46.7950600,-8.2267800,-2.7209300,-88.5909100,-124.6672400,0.4756600,5.2466200,78.3011700,-6.6209400,-5.6655100,49.2076900,6.0139500,6.9612800,-31.7643600
5,58.4659300,7.2933700,-10.9285800,46.1607400,-8.7323700,-2.9017100,-88.3915300,-124.8850900,0.4336900,4.9223600,78.8863400,-6.0785400,-5.3106300,49.8888900,6.1720400,6.4448500,-32.6995200
6,57.9844400,7.3968900,-10.9043000,45.5469100,-9.2360800,-3.0365100,-88.1795800,-125.1346800,0.4007300,4.5856400,79.5029900,-5.7778400,-4.8139700,50.6367400,6.3692400,6.0935000,-33.6910400
7,57.5034700,7.3950600,-10.8542700,44.9659000,-9.7287900,-3.1356700,-87.9534600,-125.4107900,0.3630200,4.2518600,80.1321800,-5.6568100,-4.2794800,51.4400500,6.6082100,5.8824400,-34.7277100
8,57.0400500,7.3243000,-10.8168200,44.4221700,-10.1994000,-3.2043000,-87.7076200,-125.7072400,0.3125500,3.9372300,80.7646600,-5.6548400,-3.7833700,52.2895400,6.8780900,5.7768800,-35.8047300
9,56.6089200,7.2060500,-10.8237600,43.9155400,-10.6341100,-3.2442200,-87.4333000,-126.0199000,0.2479100,3.6569200,81.3992500,-5.7148800,-3.3684900,53.1800000,7.1572700,5.7340700,-36.9221200
10,56.2204300,7.0542200,-10.8980800,43.4430700,-11.0198600,-3.2553100,-87.1200500,-126.3469500,0.1719700,3.4225500,82.0392000,-5.7881800,-3.0443000,54.1080500,7.4202800,5.7082900,-38.0794100
11,55.8780000,6.8817100,-11.0508800,42.9999200,-11.3497500,-3.2371800,-86.7574900,-126.6879800,0.0886500,3.2386200,82.6882700,-5.8402500,-2.7927800,55.0686600,7.6468400,5.6589500,-39.2702800
12,55.5766900,6.7055100,-11.2799400,42.5812700,-11.6262100,-3.1908800,-86.3369000,-127.0439800,0.0013100,3.0997700,83.3477300,-5.8543700,-2.5795200,56.0548900,7.8286500,5.5589800,-40.4811300
13,55.3054700,6.5461400,-11.5710400,42.1847500,-11.8608400,-3.1169500,-85.8529500,-127.4171800,-0.0896100,2.9920900,84.0152700,-5.8309100,-2.3663700,57.0586600,7.9715400,5.3971800,-41.6923900
14,55.0516400,6.4214100,-11.9002900,41.8119200,-12.0730900,-3.0102400,-85.3058600,-127.8088100,-0.1910200,2.8987600,84.6845600,-5.7838700,-2.1220600,58.0698200,8.0937900,5.1733100,-42.8802100
15,54.8039500,6.3404500,-12.2368200,41.4664400,-12.2861200,-2.8605100,-84.7012600,-128.2165400,-0.3163300,2.8045400,85.3456500,-5.7355300,-1.8292600,59.0752000,8.2210600,4.8947600,-44.0201000
