,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,43.9162500,-4.9706000,-7.8043800,20.8807000,-10.5878200,8.9847400,-42.5030400,-104.7227700,-1.5083700,-5.3595100,47.4016800,-11.7403600,-6.6846600,21.6305500,11.2422700,7.0114400,-17.5539800
1,43.6207300,-4.1825600,-8.6017300,20.9106600,-10.5846200,9.1922600,-42.7320800,-104.7348800,-1.5433600,-5.4424400,47.6359500,-10.3747600,-7.5194600,21.9842900,11.5177000,6.4666300,-18.2260600
2,43.4279800,-3.6840800,-9.1402900,20.8946400,-10.5592600,9.3260900,-43.0011400,-104.7052400,-1.5383300,-5.5032800,47.9492400,-9.5000200,-8.0226500,22.3207000,11.6807600,6.0867800,-18.9390600
3,43.3183200,-3.4188400,-9.4674000,20.8554500,-10.5259100,9.4032000,-43.3047200,-104.6544000,-1.5096200,-5.5455400,48.3237600,-9.0330200,-8.2355300,22.6555400,11.7654500,5.8397200,-19.6860300
4,43.2652200,-3.3220900,-9.6332200,20.8096700,-10.4969600,9.4417400,-43.6339600,-104.5982100,-1.4727200,-5.5737600,48.7395100,-8.8695900,-8.2309800,22.9969100,11.8063200,5.6928100,-20.4548400
5,43.2457200,-3.3341800,-9.6895400,20.7677100,-10.4800600,9.4579500,-43.9783900,-104.5473300,-1.4387300,-5.5920300,49.1794200,-8.9108000,-8.0879900,23.3474500,11.8309100,5.6178400,-21.2322700
6,43.2444500,-3.4072600,-9.6854100,20.7367200,-10.4769100,9.4653000,-44.3282200,-104.5092400,-1.4128800,-5.6029500,49.6318400,-9.0748800,-7.8755100,23.7094200,11.8564500,5.5907700,-22.0093300
7,43.2521300,-3.5064100,-9.6574500,20.7232900,-10.4852900,9.4734600,-44.6764300,-104.4900000,-1.3956700,-5.6082300,50.0901200,-9.3004800,-7.6450000,24.0887500,11.8913100,5.5916900,-22.7849000
8,43.2632800,-3.6074800,-9.6262700,20.7328700,-10.5020000,9.4873300,-45.0193600,-104.4938800,-1.3850600,-5.6095400,50.5517600,-9.5448500,-7.4299500,24.4941000,11.9380900,5.6053900,-23.5653900
9,43.2753900,-3.6947000,-9.5994800,20.7671800,-10.5245800,9.5084600,-45.3562500,-104.5208700,-1.3788500,-5.6073500,51.0181700,-9.7791600,-7.2489900,24.9318100,11.9956800,5.6186800,-24.3610100
10,43.2876100,-3.7598900,-9.5763600,20.8230900,-10.5509200,9.5377700,-45.6880400,-104.5658700,-1.3757200,-5.5994000,51.4940100,-9.9833900,-7.1099100,25.4025800,12.0595200,5.6163600,-25.1818400
11,43.2988300,-3.8019700,-9.5523500,20.8940900,-10.5786600,9.5758500,-46.0154600,-104.6209000,-1.3746500,-5.5818000,51.9858100,-10.1426400,-7.0124500,25.9020500,12.1218500,5.5807600,-26.0348500
12,43.3070400,-3.8252000,-9.5235800,20.9720000,-10.6060800,9.6216500,-46.3376200,-104.6778500,-1.3749600,-5.5510500,52.5001000,-10.2451400,-6.9499600,26.4223200,12.1736200,5.4938900,-26.9218100
13,43.3096900,-3.8361200,-9.4910800,21.0483200,-10.6330600,9.6727100,-46.6518900,-104.7296200,-1.3770500,-5.5046300,53.0413200,-10.2809200,-6.9113200,26.9527800,12.2062700,5.3391500,-27.8383300
14,43.3038700,-3.8404600,-9.4620100,21.1157600,-10.6605700,9.7266800,-46.9542500,-104.7708500,-1.3823900,-5.4405400,53.6106700,-10.2413300,-6.8819600,27.4819300,12.2122000,5.1019700,-28.7751800
15,43.2862400,-3.8426200,-9.4468900,21.1693700,-10.6898900,9.7825100,-47.2396400,-104.7984200,-1.3928600,-5.3566100,54.2063300,-10.1203000,-6.8446100,28.0001400,12.1850700,4.7706300,-29.7217800
