,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,70.4609500,-13.5825100,-0.5601000,18.6584500,0.4438400,4.3578600,-9.0844900,-109.8312400,-2.5874300,-4.0340500,68.0973100,-10.1995600,-14.9745400,26.0307400,-1.3327800,15.4498500,-16.7616300
1,70.1783400,-12.7221500,-1.3678300,18.7482200,0.5214700,4.3798200,-9.0428300,-109.9815800,-2.6058200,-4.1640700,67.5869800,-9.2396100,-15.8439700,26.5298100,-1.1754000,15.1385900,-17.0277200
2,69.9771000,-12.1977900,-1.8909000,18.7870400,0.5277600,4.3604400,-8.9467200,-110.1203900,-2.6562500,-4.3021300,67.0590200,-8.5814200,-16.4474400,27.0041000,-1.0143500,14.8622400,-17.1744600
3,69.8431500,-11.9259100,-2.1727300,18.7868200,0.4795600,4.2913000,-8.8019700,-110.2549100,-2.7273400,-4.4464300,66.4587600,-8.1847400,-16.8425000,27.4576300,-0.8559700,14.6373000,-17.1934900
4,69.7564400,-11.8161400,-2.2736900,18.7566700,0.3958000,4.1708100,-8.6162200,-110.3883000,-2.8076500,-4.5942500,65.7316800,-7.9870900,-17.1047500,27.8907500,-0.7067500,14.4716400,-17.0797700
5,69.6972300,-11.7922400,-2.2553700,18.7036800,0.2969400,4.0041300,-8.3986900,-110.5208900,-2.8851200,-4.7415900,64.8362600,-7.9193200,-17.3064900,28.3024700,-0.5755700,14.3653200,-16.8338300
6,69.6492200,-11.8009900,-2.1714600,18.6339200,0.2040400,3.8024900,-8.1600300,-110.6512800,-2.9474300,-4.8827200,63.7514600,-7.9170400,-17.5026500,28.6917200,-0.4739400,14.3127600,-16.4624200
7,69.6003500,-11.8121600,-2.0631600,18.5528100,0.1358000,3.5829700,-7.9120500,-110.7767300,-2.9845200,-5.0096500,62.4794500,-7.9273900,-17.7238900,29.0570400,-0.4137500,14.3028900,-15.9773600
8,69.5441500,-11.8120700,-1.9578100,18.4659600,0.1034000,3.3649400,-7.6671900,-110.8948400,-2.9922500,-5.1138600,61.0436100,-7.9133900,-17.9766200,29.3971600,-0.4020600,14.3209100,-15.3936500
9,69.4814000,-11.7960100,-1.8691900,18.3800900,0.1066600,3.1624200,-7.4372500,-111.0057300,-2.9740300,-5.1911000,59.4832700,-7.8579800,-18.2470600,29.7130800,-0.4356200,14.3561600,-14.7281400
10,69.4191700,-11.7641300,-1.7995000,18.3018400,0.1363900,2.9794600,-7.2318000,-111.1119500,-2.9379900,-5.2441600,57.8485800,-7.7631900,-18.5068600,30.0085600,-0.5014400,14.4078700,-13.9990200
11,69.3658800,-11.7204600,-1.7443700,18.2359300,0.1821100,2.8138300,-7.0568800,-111.2166100,-2.8914100,-5.2800300,56.1969300,-7.6434700,-18.7204800,30.2887100,-0.5846300,14.4820100,-13.2251000
12,69.3266900,-11.6728200,-1.6991600,18.1844500,0.2379200,2.6644800,-6.9143900,-111.3219300,-2.8371000,-5.3051400,54.5883500,-7.5187500,-18.8557500,30.5582000,-0.6754800,14.5846100,-12.4241900
13,69.3035000,-11.6308300,-1.6613600,18.1467000,0.3017100,2.5343700,-6.8026600,-111.4288100,-2.7750200,-5.3238300,53.0777100,-7.4093000,-18.8964300,30.8194500,-0.7694200,14.7189300,-11.6108000
14,69.2976900,-11.6024500,-1.6290000,18.1198700,0.3709500,2.4278800,-6.7184800,-111.5368600,-2.7060600,-5.3391300,51.7066400,-7.3317800,-18.8495600,31.0719900,-0.8630000,14.8854200,-10.7949000
15,69.3110400,-11.5928100,-1.6010600,18.1001700,0.4412600,2.3492100,-6.6589300,-111.6447600,-2.6335100,-5.3531100,50.5004600,-7.2971300,-18.7414400,31.3129600,-0.9521100,15.0808300,-9.9820100
