,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,68.9708100,-19.9304200,-5.3719900,21.1257800,-0.4616300,10.8138600,-11.8420400,-107.5834400,-7.0782800,0.7132600,69.7047000,-11.3387600,-16.1809600,26.0723700,5.9297000,4.9160700,-19.4729000
1,68.3891000,-20.0556000,-6.8939600,21.0391900,-0.3827100,10.6542700,-11.7582300,-107.5779400,-7.1556900,0.4756700,68.9378400,-10.7098100,-17.3548200,26.3841000,6.1643200,4.7686200,-19.2353100
2,67.9546400,-20.1786600,-7.9182800,20.8831100,-0.3801200,10.5207600,-11.6226200,-107.5253800,-7.2482500,0.2484400,68.0596300,-10.4415700,-18.1720300,26.6046400,6.3504900,4.8932600,-18.7573800
3,67.6458600,-20.2936200,-8.5115300,20.6857000,-0.4290300,10.4018600,-11.4446300,-107.4499500,-7.3477600,0.0370100,67.0516300,-10.4742100,-18.7268600,26.7625500,6.4865300,5.2380300,-18.0670200
4,67.4303900,-20.4003800,-8.7749200,20.4714200,-0.5049300,10.2966300,-11.2321700,-107.3726100,-7.4468000,-0.1538100,65.9336500,-10.7267500,-19.1243700,26.8835700,6.5746600,5.7439400,-17.1985800
5,67.2775700,-20.4972900,-8.8120400,20.2574700,-0.5915800,10.2047800,-10.9919300,-107.3075600,-7.5422800,-0.3217600,64.7668600,-11.1172400,-19.4469100,26.9871000,6.6224700,6.3561100,-16.1907500
6,67.1644800,-20.5816100,-8.7132900,20.0548600,-0.6790500,10.1266200,-10.7312500,-107.2622200,-7.6337900,-0.4650500,63.6388200,-11.5736300,-19.7355100,27.0866200,6.6384700,7.0243800,-15.0847600
7,67.0751400,-20.6538400,-8.5500600,19.8712000,-0.7577200,10.0630300,-10.4580600,-107.2402600,-7.7182100,-0.5835400,62.6313600,-12.0400900,-19.9932900,27.1931700,6.6266800,7.7074300,-13.9215400
8,66.9989800,-20.7168700,-8.3720400,19.7092900,-0.8187400,10.0116000,-10.1795100,-107.2414200,-7.7894600,-0.6812700,61.7831400,-12.4809700,-20.2042100,27.3139500,6.5880600,8.3785000,-12.7359500
9,66.9302500,-20.7706300,-8.2083800,19.5651900,-0.8583600,9.9661900,-9.9022300,-107.2595100,-7.8436700,-0.7634200,61.0695300,-12.8799500,-20.3546600,27.4479900,6.5247900,9.0228000,-11.5512400
10,66.8663400,-20.8104700,-8.0727800,19.4320900,-0.8783400,9.9221800,-9.6338200,-107.2845800,-7.8822700,-0.8306300,60.4126400,-13.2335500,-20.4490100,27.5878100,6.4406000,9.6298900,-10.3793600
11,66.8071700,-20.8299300,-7.9689100,19.3060900,-0.8839100,9.8770200,-9.3825900,-107.3086600,-7.9103700,-0.8809800,59.7131200,-13.5437200,-20.5113200,27.7267700,6.3403800,10.1926600,-9.2274000
12,66.7552100,-20.8251800,-7.8946600,19.1881400,-0.8801800,9.8274400,-9.1561100,-107.3290300,-7.9322400,-0.9155100,58.8875700,-13.8131100,-20.5728100,27.8642300,6.2291400,10.7090100,-8.1048000
13,66.7135800,-20.7984400,-7.8459400,19.0813200,-0.8679300,9.7741100,-8.9611300,-107.3454400,-7.9488100,-0.9352700,57.8974400,-14.0413800,-20.6574000,28.0028400,6.1085300,11.1753900,-7.0259900
14,66.6843100,-20.7557700,-7.8189200,18.9876600,-0.8436000,9.7249100,-8.8045400,-107.3560200,-7.9593500,-0.9359900,56.7606600,-14.2226200,-20.7769700,28.1435100,5.9762200,11.5805600,-6.0094400
15,66.6681300,-20.7006300,-7.8097300,18.9087500,-0.8021000,9.6860100,-8.6927500,-107.3583400,-7.9620900,-0.9116400,55.5469400,-14.3460700,-20.9335300,28.2870200,5.8286500,11.9113400,-5.0776100
