,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,70.7510500,-14.9095100,0.0256000,14.4484200,2.8217000,2.6458800,-8.4598500,-106.0869500,-1.8337900,-3.5190600,71.3353300,-11.4773000,-14.8581900,20.6222500,-3.2605500,11.3585600,-16.0260900
1,70.4601300,-14.0208900,-0.8990500,14.4735100,2.9768800,2.4981400,-8.4745600,-106.1504200,-1.7348900,-3.7231400,71.1131500,-10.4690400,-15.5088100,20.9336500,-3.1677000,11.3356700,-16.1216000
2,70.2702900,-13.5081700,-1.5264300,14.4744800,3.0536700,2.3759700,-8.4951800,-106.1953000,-1.6783800,-3.9432100,70.9219400,-9.7108400,-15.9254700,21.2457600,-3.0390700,11.3599700,-16.1835100
3,70.1689900,-13.2968000,-1.9091700,14.4623600,3.0669200,2.2754100,-8.5271400,-106.2290600,-1.6574200,-4.1727500,70.7317000,-9.1891100,-16.1632700,21.5653500,-2.8792200,11.4368700,-16.2181900
4,70.1397800,-13.2992200,-2.1126100,14.4464300,3.0312700,2.1922700,-8.5746300,-106.2578800,-1.6659300,-4.4055500,70.5120100,-8.8701000,-16.2866100,21.8973700,-2.6916100,11.5663200,-16.2324000
5,70.1671100,-13.4353300,-2.1976000,14.4341700,2.9594400,2.1228200,-8.6406800,-106.2869200,-1.6988500,-4.6361800,70.2383300,-8.7120400,-16.3516800,22.2455400,-2.4793600,11.7440500,-16.2330200
6,70.2383400,-13.6414500,-2.2113300,14.4312200,2.8614900,2.0646100,-8.7262100,-106.3207200,-1.7524000,-4.8593700,69.8944200,-8.6729000,-16.3987800,22.6125400,-2.2457000,11.9619200,-16.2260900
7,70.3436700,-13.8726000,-2.1867200,14.4412200,2.7451400,2.0174500,-8.8299500,-106.3630100,-1.8236600,-5.0696700,69.4725000,-8.7155600,-16.4510000,22.9997300,-1.9943900,12.2093400,-16.2161200
8,70.4751600,-14.1003100,-2.1448500,14.4659200,2.6169700,1.9823600,-8.9487400,-106.4165200,-1.9092400,-5.2622100,68.9716500,-8.8096700,-16.5170100,23.4073400,-1.7304600,12.4752800,-16.2060900
9,70.6255500,-14.3080200,-2.0966200,14.5055800,2.4833400,1.9592000,-9.0773500,-106.4834100,-2.0044700,-5.4333200,68.3939200,-8.9306000,-16.5986500,23.8352900,-1.4604500,12.7496800,-16.1973000
10,70.7874300,-14.4870900,-2.0456200,14.5593900,2.3506200,1.9461300,-9.2090900,-106.5651800,-2.1036400,-5.5802200,67.7394600,-9.0570200,-16.6984700,24.2831800,-1.1920500,13.0240400,-16.1890000
11,70.9531900,-14.6341800,-1.9916100,14.6248200,2.2252900,1.9401900,-9.3369400,-106.6616700,-2.2004800,-5.7008900,67.0037000,-9.1684100,-16.8208200,24.7489900,-0.9336600,13.2911800,-16.1782000
12,71.1161300,-14.7483600,-1.9326100,14.6972800,2.1131100,1.9366100,-9.4546100,-106.7705200,-2.2890400,-5.7943400,66.1782500,-9.2438800,-16.9697200,25.2282500,-0.6932600,13.5454000,-16.1598900
13,71.2720900,-14.8292000,-1.8654200,14.7712500,2.0172200,1.9295100,-9.5570800,-106.8883600,-2.3655500,-5.8605000,65.2545400,-9.2622600,-17.1487400,25.7148800,-0.4763400,13.7828900,-16.1277700
14,71.4196400,-14.8785000,-1.7862200,14.8418700,1.9375100,1.9170900,-9.6406700,-107.0124200,-2.4295600,-5.8988700,64.2275800,-9.2026100,-17.3610700,26.2025200,-0.2853000,14.0005700,-16.0750100
15,71.5598800,-14.9017900,-1.6913900,14.9056900,1.8713800,1.9049400,-9.7036700,-107.1407200,-2.4838600,-5.9073500,63.0979700,-9.0468100,-17.6073100,26.6847500,-0.1200900,14.1947500,-15.9948600
