,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,65.8879200,-18.9531500,-2.4929000,10.6750400,2.1302500,12.8769900,-4.7729400,-101.4794300,-3.5271400,-1.5471800,65.8826400,-12.7206400,-14.1093700,21.1457700,2.5895100,10.7725000,-21.1039800
1,65.3137500,-19.0445200,-3.8037800,10.5582100,2.3858900,12.8654300,-4.6058500,-101.4592800,-3.4427800,-1.5976000,64.8721800,-12.3983100,-15.4849800,21.5184200,2.6436500,9.9313300,-21.4081000
2,64.8667400,-19.1434100,-4.6483000,10.3899400,2.5420900,12.8941000,-4.4114100,-101.3966800,-3.4115500,-1.6316500,63.9940100,-12.4500000,-16.4862000,21.8008000,2.6785200,9.2391000,-21.5203800
3,64.5337500,-19.2297600,-5.0957200,10.2037900,2.6194100,12.9341600,-4.2084700,-101.3170000,-3.4246600,-1.6460200,63.2385600,-12.8062500,-17.1840100,22.0118000,2.6959200,8.6806500,-21.4332000
4,64.2923000,-19.2940800,-5.2426200,10.0248000,2.6397200,12.9654100,-4.0126700,-101.2395100,-3.4718300,-1.6446300,62.5791400,-13.3803300,-17.6749300,22.1660800,2.7016300,8.2394700,-21.1448700
5,64.1181300,-19.3347800,-5.1839800,9.8686200,2.6226000,12.9761700,-3.8349400,-101.1763500,-3.5430100,-1.6347300,61.9833100,-14.0845100,-18.0548900,22.2739100,2.7018800,7.9013400,-20.6603100
6,63.9884900,-19.3558300,-5.0014300,9.7434500,2.5844800,12.9669100,-3.6823900,-101.1330600,-3.6293500,-1.6199900,61.4196500,-14.8400100,-18.4024600,22.3414400,2.7001100,7.6530100,-19.9905000
7,63.8842200,-19.3646100,-4.7612800,9.6516400,2.5386500,12.9503200,-3.5599900,-101.1093100,-3.7236600,-1.5972900,60.8602900,-15.5825400,-18.7703800,22.3707800,2.6956900,7.4815200,-19.1508600
8,63.7927200,-19.3686200,-4.5135200,9.5911600,2.4948100,12.9414000,-3.4714400,-101.1004900,-3.8201000,-1.5623600,60.2831000,-16.2635100,-19.1837600,22.3617200,2.6859800,7.3779300,-18.1603700
9,63.7096100,-19.3729000,-4.2897700,9.5575600,2.4586000,12.9464800,-3.4193600,-101.1005300,-3.9138400,-1.5167000,59.6749700,-16.8487800,-19.6415400,22.3147700,2.6693100,7.3408100,-17.0415900
10,63.6362800,-19.3803400,-4.1036700,9.5466300,2.4331300,12.9638200,-3.4053900,-101.1046200,-4.0007100,-1.4667000,59.0334900,-17.3181400,-20.1173500,22.2333300,2.6448400,7.3732700,-15.8205000
11,63.5748600,-19.3940800,-3.9565500,9.5565200,2.4220000,12.9918300,-3.4295800,-101.1109200,-4.0760100,-1.4179400,58.3688000,-17.6657600,-20.5652000,22.1247400,2.6097900,7.4762800,-14.5258700
12,63.5253900,-19.4192900,-3.8452000,9.5868100,2.4298100,13.0332100,-3.4886900,-101.1202000,-4.1346100,-1.3729300,57.7090700,-17.8985700,-20.9383600,21.9991800,2.5591200,7.6457400,-13.1876000
13,63.4864400,-19.4627900,-3.7658700,9.6353900,2.4596600,13.0923600,-3.5749600,-101.1337800,-4.1728900,-1.3334400,57.0970600,-18.0333200,-21.2059700,21.8665900,2.4888100,7.8750600,-11.8337000
14,63.4570200,-19.5294000,-3.7144400,9.6976500,2.5107300,13.1702400,-3.6773500,-101.1524500,-4.1902300,-1.3025000,56.5691000,-18.0946800,-21.3515100,21.7348500,2.3990300,8.1586400,-10.4876600
15,63.4376200,-19.6172100,-3.6869300,9.7685900,2.5787600,13.2608300,-3.7847700,-101.1768600,-4.1885400,-1.2841800,56.1358900,-18.1117200,-21.3668100,21.6101300,2.2937200,8.4923500,-9.1676900
