,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,63.7650800,0.8000800,-9.5344500,30.9248700,4.1064200,2.2429600,-98.3497200,-79.5321100,25.4666700,-89.6606800,67.7348900,-14.6117600,-10.5960400,35.3589100,-5.5654600,6.0863800,-9.8097300
1,64.2337600,2.0215300,-9.8729000,31.8909100,3.8324200,1.2711500,-100.0628000,-80.3532200,25.3495400,-89.6509800,67.8888400,-14.4971700,-10.1057700,36.1768200,-4.3206000,5.6828000,-12.3332600
2,64.8194300,2.4832600,-9.6532200,33.2785300,3.2538600,0.8437800,-101.8987600,-81.4118500,25.2773600,-89.7327600,68.7719800,-14.7576800,-9.0999800,37.2896000,-2.7471100,5.4152200,-15.6372600
3,65.4991700,2.2677000,-8.9856300,35.1147800,2.5140900,0.8274400,-103.7617300,-82.5976100,25.2786400,-89.9398900,70.3169300,-15.2612800,-7.8665900,38.7149000,-0.9666000,5.3035400,-19.6096100
4,66.2454500,1.5042800,-8.0378500,37.3696900,1.7732700,1.0709600,-105.5339200,-83.7805300,25.3527900,-90.2966800,72.3498800,-15.8512800,-6.6474500,40.3728600,0.8698000,5.3350400,-24.0180400
5,67.0229900,0.3509400,-6.9923000,39.9627900,1.1626600,1.4392300,-107.0883300,-84.8419200,25.4748500,-90.8091800,74.6759700,-16.3979100,-5.5419500,42.0971800,2.6166500,5.4624200,-28.5383100
6,67.7897000,-1.0180000,-6.0059300,42.7805600,0.7569300,1.8296600,-108.3013200,-85.6976900,25.6049400,-91.4628400,77.1302900,-16.8285500,-4.5224100,43.6824700,4.1623900,5.6271500,-32.8277500
7,68.5073500,-2.4230600,-5.1819400,45.6927600,0.5806200,2.1748800,-109.0632600,-86.2993900,25.6966600,-92.2256200,79.5841900,-17.1204200,-3.5276400,44.9403500,5.4321500,5.7878200,-36.6078800
8,69.1507800,-3.6882700,-4.5603500,48.5711800,0.6279200,2.4377900,-109.2899200,-86.6236800,25.7077200,-93.0544100,81.9313700,-17.2738300,-2.5381900,45.7421200,6.3772700,5.9290800,-39.7150700
9,69.7080500,-4.6548300,-4.1301800,51.3107500,0.8764000,2.6019800,-108.9344300,-86.6642000,25.6125300,-93.9043800,84.0775100,-17.2892900,-1.5836500,46.0375500,6.9668100,6.0477300,-42.1027100
10,70.1779900,-5.2041600,-3.8582000,53.8411000,1.2959600,2.6630900,-107.9965200,-86.4288300,25.4068900,-94.7366600,85.9447500,-17.1576300,-0.7139500,45.8446000,7.1838900,6.1348300,-43.8062700
11,70.5669300,-5.2853400,-3.7121700,56.1252400,1.8537400,2.6243400,-106.5261800,-85.9414400,25.1035700,-95.5205800,87.4794500,-16.8637800,0.0248500,45.2201500,7.0275300,6.1707900,-44.8959500
12,70.8805700,-4.9329400,-3.6659200,58.1539000,2.5132200,2.4948400,-104.6192500,-85.2452900,24.7269400,-96.2310600,88.6496400,-16.3999600,0.5977100,44.2311100,6.5192600,6.1339400,-45.4367400
13,71.1168400,-4.2556800,-3.6982900,59.9406400,3.2312700,2.2897600,-102.4057600,-84.4037200,24.3099400,-96.8436400,89.4334500,-15.7817500,0.9764100,42.9361500,5.7092600,6.0142200,-45.4658900
14,71.2685100,-3.3957200,-3.7990500,61.5149600,3.9582700,2.0310800,-100.0329100,-83.4958900,23.8902000,-97.3308600,89.8047900,-15.0600900,1.1343000,41.3762300,4.6770700,5.8253300,-44.9866000
15,71.3302900,-2.4851300,-3.9749300,62.9116600,4.6447000,1.7441700,-97.6442000,-82.6043100,23.5040400,-97.6634100,89.7211500,-14.3219900,1.0400600,39.5724900,3.5221200,5.6124200,-43.9754600
