,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,69.3045600,-12.1635900,-9.6546800,37.7352400,-8.3074400,-0.1646900,-90.0927200,-77.2758700,26.7279600,-101.9161400,66.3258400,-9.2729300,-9.0552400,43.5102000,1.8322600,23.7025800,-19.2164900
1,69.5954600,-11.2431000,-10.6512800,38.2871300,-8.2741100,-1.0778000,-92.4020900,-77.6542100,26.1876600,-101.6230200,67.0126400,-7.7009000,-8.9002300,43.2737200,2.3007300,23.2574300,-20.3146900
2,70.0795700,-10.5311300,-11.0573800,39.1954700,-8.4979100,-1.4186700,-94.8664600,-78.2819700,25.5835500,-100.9436200,68.6813900,-6.7064700,-7.8618400,42.9205700,2.8160600,22.0882100,-22.5037400
3,70.7166100,-9.9596700,-10.9756000,40.4748200,-8.9208000,-1.3137100,-97.3262800,-79.0971800,24.9713900,-99.9545100,71.1052500,-6.1680500,-6.2249800,42.4798400,3.3363400,20.3360600,-25.4212400
4,71.4300900,-9.4314000,-10.5767800,42.1004100,-9.4681400,-0.9346300,-99.6073300,-80.0129500,24.3981500,-98.7562700,73.9198200,-5.9577700,-4.3371200,41.9354200,3.8144000,18.2410500,-28.6195800
5,72.1308100,-8.8511000,-10.0673500,44.0211600,-10.0559500,-0.4473300,-101.5480800,-80.9370900,23.9070400,-97.4376600,76.7508700,-5.9680200,-2.5041800,41.2388800,4.2019300,16.0541300,-31.6517200
6,72.7487300,-8.1470600,-9.6476500,46.1597000,-10.6021700,0.0188700,-103.0218700,-81.7927200,23.5299900,-96.0513000,79.2755000,-6.1300800,-0.9620500,40.3216200,4.4610300,13.9888900,-34.1377200
7,73.2384500,-7.2900400,-9.4556900,48.4010100,-11.0406200,0.3665000,-103.9443800,-82.5226800,23.2715700,-94.6199200,81.2329400,-6.4155000,0.1085500,39.1065700,4.5739700,12.2179800,-35.8115400
8,73.5645000,-6.3070500,-9.5284300,50.5926500,-11.3242700,0.5123600,-104.2763700,-83.0801700,23.1012800,-93.1572100,82.4242700,-6.8091000,0.5776700,37.5291100,4.5375000,10.8682700,-36.5505800
9,73.6907800,-5.2706800,-9.8170100,52.5709100,-11.4227900,0.3934000,-104.0279200,-83.4305900,22.9652800,-91.6781300,82.7072800,-7.2740000,0.3803400,35.5640800,4.3543000,9.9970400,-36.3772700
10,73.5871000,-4.2710500,-10.2336900,54.1968500,-11.3242400,-0.0058800,-103.2579000,-83.5679900,22.8093300,-90.1954600,81.9880400,-7.7383300,-0.4788800,33.2427300,4.0363200,9.5768600,-35.4281900
11,73.2506000,-3.3903700,-10.6920700,55.3748000,-11.0398700,-0.6383400,-102.0626200,-83.5240400,22.5946400,-88.7197700,80.2198900,-8.1068600,-1.9383600,30.6503600,3.6126600,9.5118900,-33.9098100
12,72.7207700,-2.6883300,-11.1245200,56.0519300,-10.6046200,-1.4033400,-100.5592000,-83.3586600,22.3018500,-87.2666500,77.4200700,-8.2829700,-3.8920100,27.9130200,3.1288200,9.6724500,-32.0642800
13,72.0690200,-2.2059300,-11.4713000,56.2117800,-10.0700100,-2.1661500,-98.8715100,-83.1422000,21.9274100,-85.8608500,73.7001400,-8.1933700,-6.1941300,25.1799800,2.6356600,9.9259400,-30.1473900
14,71.3740400,-1.9795000,-11.6704900,55.8651300,-9.4932200,-2.7766800,-97.1189900,-82.9369000,21.4768700,-84.5367600,69.2917700,-7.8160200,-8.6579800,22.6037600,2.1744700,10.1616900,-28.4105500
15,70.7022200,-2.0502300,-11.6711000,55.0397100,-8.9295900,-3.0853600,-95.4062300,-82.7821400,20.9601400,-83.3387600,64.5485400,-7.2110500,-11.0529500,20.3226400,1.7661600,10.3152300,-27.0825100
16,70.0989100,-2.4715600,-11.4376200,53.7740400,-8.4303700,-2.9554400,-93.8156200,-82.6903700,20.3911100,-82.3183400,59.9108900,-6.5453700,-13.1187400,18.4488700,1.4113900,10.3881300,-26.3478300
17,69.5911100,-3.3110400,-10.9330500,52.1177400,-8.0407200,-2.2734600,-92.4046400,-82.6545500,19.7909000,-81.5250700,55.8315000,-6.0902100,-14.6125300,17.0638900,1.0989100,10.4512400,-26.3227000
18,69.1966900,-4.6296800,-10.1142400,50.1329100,-7.7949400,-0.9666800,-91.2053500,-82.6575600,19.1909300,-80.9980100,52.6793700,-6.1729800,-15.3729400,16.2188200,0.8140000,10.6249400,-27.0348400
