,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,76.3187900,-4.8785600,-3.6719200,55.6053900,-12.9039700,2.7876500,-39.6818500,-96.3746300,24.1650700,-87.6978500,74.3163300,-4.4647200,-11.3007500,54.7064600,-0.4012100,0.9109800,-37.2213600
1,76.6187100,-3.5987600,-4.1836800,56.9765200,-12.9466000,2.6483800,-44.2037600,-96.2158400,23.8054600,-87.9887800,75.1252900,-3.4091100,-10.5563200,56.2013700,0.1607800,0.5034400,-41.3580600
2,77.6536100,-2.9076400,-4.5260500,58.4484700,-13.0285700,2.6525500,-49.0140700,-96.0195800,23.5805800,-88.2524300,76.5526900,-3.1188300,-9.4264700,57.7120900,0.6536100,0.4383900,-45.6980300
3,79.3221700,-2.6600200,-4.7120900,59.8841000,-13.1513900,2.7260500,-53.8331600,-95.7987500,23.4747500,-88.4986800,78.5294200,-3.4223600,-8.1451800,59.1685000,1.0763000,0.6374200,-50.1096300
4,81.4684100,-2.6990200,-4.7403400,61.1341800,-13.3058700,2.7925500,-58.3745800,-95.5638000,23.4610000,-88.7288700,80.8818900,-4.0933900,-6.9033700,60.4844800,1.4212700,0.9999000,-54.4099900
5,83.9215400,-2.8938000,-4.6288800,62.0777400,-13.4730500,2.8001200,-62.4107400,-95.3232400,23.5074100,-88.9329600,83.4241700,-4.9237200,-5.8053200,61.5733900,1.6749500,1.4252200,-58.4122500
6,86.5093000,-3.1467900,-4.4313000,62.6445400,-13.6263000,2.7311000,-65.8115100,-95.0819900,23.5796700,-89.0955300,86.0068100,-5.7580400,-4.8851700,62.3652300,1.8234400,1.8355700,-61.9722600
7,89.0660900,-3.3948200,-4.2255300,62.8179800,-13.7399800,2.5930200,-68.5472000,-94.8405900,23.6453600,-89.2062400,88.5190400,-6.5044300,-4.1463700,62.8191600,1.8633700,2.1900600,-65.0104800
8,91.4447300,-3.6070900,-4.0872000,62.6255500,-13.7995600,2.3983400,-70.6602700,-94.5948300,23.6845000,-89.2692600,90.8748800,-7.1291900,-3.5855800,62.9310500,1.8083500,2.4837400,-67.5062900
9,93.5331600,-3.7799300,-4.0640600,62.1204700,-13.8062200,2.1486600,-72.2248200,-94.3369600,23.6972800,-89.3062900,93.0040400,-7.6371700,-3.1973100,62.7309700,1.6861200,2.7341800,-69.4778400
10,95.2681800,-3.9255200,-4.1663500,61.3572900,-13.7781400,1.8335200,-73.3143500,-94.0635100,23.6981100,-89.3501000,94.8530400,-8.0501000,-2.9730200,62.2636200,1.5331600,2.9630700,-70.9590000
11,96.6343800,-4.0580300,-4.3734700,60.3730400,-13.7469500,1.4329600,-73.9832800,-93.7790000,23.7049200,-89.4363300,96.3873500,-8.3912800,-2.8978700,61.5676600,1.3879500,3.1858600,-71.9814300
12,97.6446700,-4.1854200,-4.6478300,59.1814200,-13.7458700,0.9165700,-74.2591600,-93.4886600,23.7340000,-89.5990400,97.5882600,-8.6748600,-2.9460000,60.6677600,1.2789100,3.4120500,-72.5649700
13,98.3129600,-4.3061000,-4.9511200,57.7756800,-13.7966700,0.2519100,-74.1452200,-93.1943300,23.7946300,-89.8621300,98.4465500,-8.9012100,-3.0805100,59.5709000,1.2144900,3.6427600,-72.7159900
14,98.6328400,-4.4081100,-5.2560000,56.1363400,-13.9021700,-0.5786800,-73.6312500,-92.8979500,23.8829000,-90.2294400,98.9537700,-9.0590700,-3.2596100,58.2651800,1.1818300,3.8657600,-72.4321100
15,98.5688500,-4.4716100,-5.5486300,54.2414100,-14.0450400,-1.5695600,-72.7052700,-92.6021400,23.9820000,-90.6851300,99.0908300,-9.1292100,-3.4454800,56.7269100,1.1524400,4.0590500,-71.7097800
