,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,65.7087900,6.7068900,-13.3419000,31.3483700,-9.0090900,9.2099300,-30.5706800,-91.6593700,17.9161300,-89.8372600,66.6959200,-5.3331800,-11.0934000,31.8147300,0.7372200,12.5690400,-27.1051600
1,67.8734200,7.3234000,-12.3573400,31.8729300,-9.0994200,7.8664000,-35.2691500,-91.8719700,17.2518200,-89.9979400,70.3666800,-4.6152300,-10.1153200,31.8627300,1.5576200,12.0051700,-30.9113200
2,70.6477000,7.2990600,-11.1792600,32.2786800,-9.2276900,6.7480500,-39.9480300,-92.0934400,16.6001400,-90.1320200,74.6022200,-4.5673600,-8.7583600,31.7982800,2.3313400,11.3505300,-34.6794000
3,73.6961600,6.7897500,-9.9651600,32.5175200,-9.3750400,5.8842900,-44.3166000,-92.3172600,16.0064800,-90.2262300,78.9298400,-4.9797400,-7.2325400,31.6457700,3.0283000,10.6548800,-38.2584000
4,76.6214100,5.9948100,-8.8393400,32.5225100,-9.5023400,5.2744900,-48.0984000,-92.5169900,15.4929000,-90.2748900,82.8711600,-5.6096700,-5.7822100,31.4079900,3.6058600,9.9762300,-41.5143700
5,79.0372300,5.1124900,-7.8906100,32.2226200,-9.5589700,4.8797000,-51.0856200,-92.6457100,15.0541400,-90.2851200,86.0323300,-6.2329300,-4.6159700,31.0573600,4.0095600,9.3604800,-44.3382500
6,80.6153300,4.3133200,-7.1670500,31.5635900,-9.5052900,4.6273900,-53.1773300,-92.6556800,14.6570900,-90.2705400,88.1411400,-6.6716600,-3.8520200,30.5346500,4.1895600,8.8236700,-46.6423600
7,81.1060100,3.7311600,-6.6636100,30.5301600,-9.3370100,4.4334300,-54.3888900,-92.5276300,14.2491200,-90.2348400,89.0399700,-6.8011400,-3.5076300,29.7625000,4.1230300,8.3434300,-48.3564200
8,80.3441500,3.4609300,-6.3205800,29.1595900,-9.0916400,4.2245000,-54.8272700,-92.2836000,13.7790100,-90.1637500,88.6567000,-6.5435000,-3.5352200,28.6760100,3.8253500,7.8717200,-49.4323500
9,78.2605500,3.5530000,-6.0502900,27.5416100,-8.8314400,3.9501500,-54.6466900,-91.9740600,13.2221400,-90.0317500,86.9807400,-5.8616500,-3.8726700,27.2569200,3.3435100,7.3623600,-49.8557500
10,74.8966200,4.0061100,-5.7753500,25.8026400,-8.6168800,3.5877100,-54.0070700,-91.6554600,12.5923500,-89.8124800,84.0565500,-4.7622800,-4.4666300,25.5469300,2.7404100,6.7914300,-49.6508800
11,70.4098500,4.7651200,-5.4565200,24.0778800,-8.4878300,3.1431100,-53.0480000,-91.3743700,11.9333500,-89.4862700,79.9905200,-3.3033000,-5.2604900,23.6318400,2.0816200,6.1621900,-48.8729800
12,65.0684400,5.7265000,-5.1076300,22.4840900,-8.4583000,2.6480200,-51.8810900,-91.1618200,11.2992100,-89.0440700,74.9631700,-1.5954400,-6.1772900,21.6125400,1.4287800,5.5022100,-47.5968500
13,59.2383000,6.7513400,-4.7947200,21.1014500,-8.5227300,2.1534600,-50.5938400,-91.0356400,10.7350800,-88.4883400,69.2369800,0.2044700,-7.1247900,19.5795600,0.8383900,4.8602800,-45.9101800
14,53.3636600,7.6823500,-4.6131600,19.9658400,-8.6664600,1.7205900,-49.2552300,-91.0049300,10.2645100,-87.8315400,63.1520100,1.9048400,-8.0196000,17.5994200,0.3608900,4.3024800,-43.9131400
15,47.9347600,8.3596200,-4.6470200,19.0734400,-8.8729700,1.4098200,-47.9173500,-91.0713700,9.8889600,-87.0943300,57.1075800,3.2932200,-8.8126400,15.7174100,0.0351400,3.9049400,-41.7216800
16,43.4322100,8.6358800,-4.9285700,18.3959700,-9.1257400,1.2712300,-46.6114400,-91.2272400,9.5985500,-86.3038600,51.5334200,4.1526700,-9.4990100,13.9722700,-0.1214400,3.7407900,-39.4682300
17,40.2478200,8.3948500,-5.4182100,17.8980600,-9.4069000,1.3380700,-45.3384000,-91.4523800,9.3855700,-85.4916200,46.8473700,4.2795000,-10.1030100,12.4101100,-0.1226100,3.8632700,-37.2928400
18,38.6003600,7.5712800,-6.0126700,17.5494500,-9.6957000,1.6241200,-44.0601200,-91.7142600,9.2525600,-84.6897800,43.3958200,3.5042100,-10.6478500,11.0881700,-0.0156600,4.2918100,-35.3224600
19,38.4820600,6.1679400,-6.5725000,17.3307700,-9.9701300,2.1248900,-42.7019400,-91.9750300,9.2132600,-83.9258100,41.3857500,1.7244900,-11.1304100,10.0675300,0.1297500,5.0056800,-33.6423800
