,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,66.0828900,-7.6344700,-6.3392400,13.2262900,-9.5768300,0.6489700,-0.4810800,-108.5251700,-3.3389400,0.7197600,67.2003700,-14.5573300,-10.9454000,12.9243500,-2.9929000,9.5171100,-0.9497400
1,65.9680100,-7.2209300,-6.5097300,13.2891200,-9.5448900,0.7273800,-0.7010600,-108.5736800,-3.3324500,0.7073800,66.9032100,-14.3529100,-11.2609500,12.8839000,-2.9694300,9.8608400,-0.9365000
2,65.8588900,-6.9711100,-6.6100600,13.3121600,-9.5151700,0.7480900,-0.9039300,-108.5924800,-3.3240500,0.6966800,66.6282000,-14.2686600,-11.4714400,12.8124800,-2.9493200,10.1016100,-0.9242600
3,65.7347300,-6.8381400,-6.6644100,13.3001200,-9.4860600,0.7144400,-1.0775400,-108.5907700,-3.3109800,0.6844600,66.3644700,-14.2590800,-11.5996300,12.7264300,-2.9354600,10.2451700,-0.9219500
4,65.5693700,-6.7743200,-6.6909100,13.2572500,-9.4549700,0.6302300,-1.2093000,-108.5769700,-3.2903100,0.6670100,66.0987200,-14.2749400,-11.6674500,12.6401500,-2.9302200,10.3019400,-0.9358500
5,65.3350000,-6.7384200,-6.7027200,13.1832900,-9.4196600,0.4969900,-1.2865000,-108.5554700,-3.2595400,0.6395100,65.8167800,-14.2715600,-11.6912800,12.5621900,-2.9352300,10.2833300,-0.9690500
6,65.0057400,-6.7002900,-6.7088300,13.0762600,-9.3790600,0.3163400,-1.2987900,-108.5277600,-3.2177100,0.5978500,65.5017200,-14.2154200,-11.6813100,12.4955900,-2.9509900,10.2003700,-1.0201800
7,64.5592900,-6.6445400,-6.7140800,12.9377500,-9.3326600,0.0956000,-1.2407600,-108.4952400,-3.1656400,0.5417200,65.1333900,-14.0881400,-11.6464600,12.4404500,-2.9775600,10.0638700,-1.0825100
8,63.9782600,-6.5699300,-6.7206700,12.7739000,-9.2806100,-0.1492500,-1.1124800,-108.4599200,-3.1061400,0.4755600,64.6878400,-13.8886500,-11.6005500,12.3934200,-3.0146800,9.8879100,-1.1416500
9,63.2522000,-6.4829800,-6.7314300,12.5917400,-9.2253600,-0.3977100,-0.9184700,-108.4228800,-3.0441600,0.4056400,64.1357200,-13.6330300,-11.5663300,12.3453700,-3.0606800,9.6959900,-1.1735300
10,62.3789700,-6.3905500,-6.7507100,12.3961800,-9.1712900,-0.6323300,-0.6669700,-108.3829500,-2.9850600,0.3362800,63.4463700,-13.3481500,-11.5757400,12.2830900,-3.1129900,9.5217900,-1.1503500
11,61.3649900,-6.2957200,-6.7828100,12.1912300,-9.1227400,-0.8414300,-0.3704800,-108.3375500,-2.9325300,0.2690700,62.5966900,-13.0596100,-11.6616200,12.1954700,-3.1695700,9.3995200,-1.0521600
12,60.2243900,-6.1967300,-6.8317800,11.9833500,-9.0838400,-1.0174000,-0.0467600,-108.2846500,-2.8889300,0.2041300,61.5762300,-12.7820000,-11.8439700,12.0785200,-3.2286200,9.3520100,-0.8732400
13,58.9775500,-6.0881700,-6.9014300,11.7842600,-9.0585900,-1.1551400,0.2807400,-108.2251900,-2.8559900,0.1410500,60.3888300,-12.5155200,-12.1249000,11.9376200,-3.2880200,9.3840500,-0.6217800
14,57.6488000,-5.9635900,-6.9931500,11.6123000,-9.0504200,-1.2521900,0.5838500,-108.1645100,-2.8348900,0.0789600,59.0538300,-12.2476000,-12.4932500,11.7889500,-3.3448200,9.4815000,-0.3194800
15,56.2636600,-5.8187800,-7.1036100,11.4892700,-9.0614400,-1.3107500,0.8335000,-108.1113000,-2.8257400,0.0152700,57.6055100,-11.9559100,-12.9275600,11.6589200,-3.3950700,9.6158900,-0.0022100
