,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,69.4241000,-4.1984400,-6.3206500,51.9909600,-4.0666700,7.1554800,-104.3714200,-117.0361000,20.2334400,-21.0379000,40.1070600,-15.4250100,-13.8876300,47.1803800,-11.9308900,21.8898800,-11.1175300
1,69.6779700,-2.6304700,-7.1483400,52.1420300,-3.4952700,5.8300200,-104.3421000,-117.3552600,19.4005000,-20.8520900,43.3305400,-14.5788900,-15.4837900,47.4218900,-10.9970000,22.9119500,-12.7722200
2,69.9634200,-1.6939900,-7.6071500,52.4561300,-3.1372400,5.1918100,-104.4854900,-117.7555400,18.4828900,-20.8052100,47.7973300,-14.0768800,-16.3976000,47.9258700,-9.6936200,23.2849400,-15.1166000
3,70.2720700,-1.3232700,-7.7625200,52.9579500,-2.9354600,5.0540800,-104.7359800,-118.2319900,17.5115200,-20.8870300,52.9851300,-13.8290000,-16.5920400,48.7116200,-8.1076100,23.0865700,-17.9629700
4,70.5948200,-1.4104800,-7.7017500,53.6622200,-2.8400300,5.2131100,-105.0192600,-118.7768800,16.5022100,-21.0849200,58.3168800,-13.7214300,-16.1895500,49.7808400,-6.3209200,22.4426400,-21.1261900
5,70.9184400,-1.8280900,-7.5112900,54.5697700,-2.8093900,5.4866400,-105.2603600,-119.3786500,15.4643900,-21.3821700,63.3037200,-13.6338000,-15.4169100,51.1239800,-4.4120100,21.4758600,-24.4665800
6,71.2236400,-2.4412800,-7.2667700,55.6651300,-2.8031500,5.7251000,-105.3900000,-120.0189600,14.4154300,-21.7571800,67.6289600,-13.4540900,-14.5169700,52.7182400,-2.4665700,20.2771200,-27.8921900
7,71.4860400,-3.1160800,-7.0298000,56.9186300,-2.7784300,5.8094200,-105.3494800,-120.6728200,13.3910100,-22.1840000,71.1706300,-13.0896800,-13.6660500,54.5185500,-0.5862500,18.9018500,-31.3271100
8,71.6821300,-3.7278100,-6.8453000,58.2906300,-2.6966300,5.6475700,-105.0940600,-121.3119400,12.4432400,-22.6352100,73.9698900,-12.4755300,-12.9362200,56.4501400,1.1171500,17.3817500,-34.6765900
9,71.7974900,-4.1706900,-6.7374100,59.7334200,-2.5374900,5.1757000,-104.5947600,-121.9066500,11.6262400,-23.0868700,76.1622300,-11.5822200,-12.3185700,58.4121100,2.5440600,15.7446300,-37.8217000
10,71.8311300,-4.3697000,-6.7055100,61.1921000,-2.3078600,4.3629500,-103.8401600,-122.4260900,10.9794100,-23.5221900,77.9040300,-10.4219300,-11.7810600,60.2944100,3.6330100,14.0339100,-40.6480300
11,71.7952700,-4.2940400,-6.7247500,62.6109400,-2.0399300,3.2157800,-102.8404400,-122.8412900,10.5170200,-23.9327600,79.3228500,-9.0472900,-11.3157100,62.0004600,4.3752900,12.3162500,-43.0783200
12,71.7130600,-3.9644400,-6.7555400,63.9464600,-1.7854400,1.7791000,-101.6326300,-123.1343300,10.2255400,-24.3192200,80.4982500,-7.5420800,-10.9503000,63.4641500,4.8157100,10.6731800,-45.0819500
13,71.6144000,-3.4465500,-6.7601700,65.1802700,-1.6084900,0.1321900,-100.2825800,-123.3072900,10.0681600,-24.6910400,81.4652900,-6.0059400,-10.7310900,64.6565400,5.0409300,9.1839300,-46.6634100
14,71.5291600,-2.8348700,-6.7181200,66.3233600,-1.5728400,-1.6210500,-98.8793300,-123.3836800,9.9957000,-25.0624100,82.2310700,-4.5366400,-10.6970000,65.5832000,5.1565500,7.9086600,-47.8473900
15,71.4792300,-2.2331100,-6.6320100,67.4087100,-1.7230600,-3.3657900,-97.5220000,-123.3991000,9.9604600,-25.4433600,82.7957500,-3.2130400,-10.8606100,66.2749600,5.2571600,6.8768200,-48.6723000
