,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,69.8940600,-7.8111000,-4.8223800,46.1416600,-3.0115900,-1.2702900,-99.0219900,-119.1039300,9.1505000,27.1194700,49.4484200,-15.9673600,-14.3608400,35.1553000,-3.1499800,-0.3434300,-22.3491300
1,69.7992900,-6.4388200,-6.1029600,45.8698300,-2.4812900,-2.5939000,-98.4888300,-119.2416300,9.5151700,28.0328300,50.9249500,-17.6505100,-14.0717400,34.0879100,-3.1005500,0.2624000,-21.0917600
2,69.7324200,-5.5430200,-6.8902900,45.8624900,-2.3010600,-3.1890000,-98.0913200,-119.3456000,9.6982300,28.8343000,53.8427500,-19.7437600,-13.0127300,33.2707400,-2.9832900,1.1277800,-20.4984600
3,69.6937000,-4.9800100,-7.2487400,46.1167300,-2.4718600,-3.2116200,-97.8111900,-119.4152700,9.7029500,29.4497600,57.9342000,-22.0068400,-11.2224500,32.7677800,-2.7517500,2.1528500,-20.5609900
4,69.6893100,-4.6172500,-7.2730500,46.6136400,-2.9770100,-2.8443300,-97.6173600,-119.4525900,9.5471800,29.8050400,62.7598600,-24.2166400,-8.8238400,32.6279000,-2.3638900,3.2481900,-21.2265100
5,69.7272000,-4.3686200,-7.0659100,47.3220900,-3.7904900,-2.2598300,-97.4723600,-119.4638000,9.2576500,29.8351400,67.8166400,-26.2091800,-5.9980400,32.8854400,-1.7835400,4.3383700,-22.4256500
6,69.8121100,-4.2013600,-6.7291100,48.2039400,-4.8769600,-1.6003900,-97.3369900,-119.4609500,8.8660900,29.4947200,72.6299400,-27.8893100,-2.9756900,33.5642000,-0.9867100,5.3705700,-24.0987800
7,69.9419800,-4.1225900,-6.3581900,49.2169600,-6.1859800,-0.9706000,-97.1732200,-119.4619400,8.4098800,28.7685800,76.8310100,-29.2137400,-0.0368800,34.6750800,0.0264200,6.3246700,-26.2083100
8,70.1058900,-4.1552700,-6.0377800,50.3122300,-7.6423200,-0.4380800,-96.9457100,-119.4860800,7.9366400,27.6826500,80.2159800,-30.1610500,2.5197000,36.1962500,1.2162100,7.2102400,-28.7221400
9,70.2829100,-4.3141400,-5.8345900,51.4304300,-9.1411600,-0.0396100,-96.6214600,-119.5479600,7.5075800,26.3088900,82.7631200,-30.7129700,4.4677300,38.0464800,2.4943500,8.0435300,-31.5689300
10,70.4418100,-4.5902700,-5.7866700,52.5061600,-10.5611900,0.2134000,-96.1703500,-119.6521100,7.1881700,24.7565300,84.5957300,-30.8630900,5.7537700,40.0774900,3.7360100,8.8185500,-34.5971300
11,70.5448700,-4.9448400,-5.9006400,53.4807400,-11.7953100,0.3387800,-95.5691200,-119.7857700,7.0236000,23.1527700,85.9073100,-30.6388100,6.5091500,42.0977200,4.8160200,9.4953100,-37.5812900
12,70.5581700,-5.3102000,-6.1623800,54.3097500,-12.7789200,0.3845000,-94.8046000,-119.9150800,7.0204300,21.6199600,86.8860500,-30.1054800,6.9518700,43.9165000,5.6461800,10.0155400,-40.2843000
13,70.4632300,-5.6010500,-6.5447400,54.9619800,-13.5022000,0.4099100,-93.8732300,-119.9942900,7.1508100,20.2517700,87.6667800,-29.3435300,7.2590700,45.3897900,6.1923700,10.3324300,-42.5340900
14,70.2607300,-5.7340100,-7.0081900,55.4228300,-14.0053900,0.4592000,-92.7815300,-119.9875300,7.3693400,19.0960000,88.3172800,-28.4184600,7.4964900,46.4536100,6.4704400,10.4303000,-44.2660000
15,69.9666600,-5.6485700,-7.5052400,55.7059100,-14.3589600,0.5489700,-91.5492000,-119.8905400,7.6283700,18.1539200,88.8520100,-27.3657600,7.6303700,47.1358300,6.5273900,10.3224600,-45.5167700
