,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,70.6945700,0.8403300,-9.7260800,56.1232200,-6.9200700,8.8809000,-46.0214700,-125.0365900,-9.5298800,0.6842900,42.7960600,-14.6246600,-21.8667900,32.3946000,-14.6575800,7.5254500,-13.6171200
1,74.2489400,-0.4730700,-10.5540300,58.2757800,-7.1750800,9.0584800,-49.6221500,-125.5868800,-10.3173000,0.2301000,46.3828200,-13.1870300,-23.6047200,33.0017700,-13.9740800,8.3233600,-14.6843300
2,77.9182100,-2.2424800,-11.3897400,60.7687700,-7.7137300,9.7003300,-53.6177000,-126.1752200,-11.2636300,-0.2642200,51.3829700,-11.9884100,-24.8463900,33.7882700,-13.0052500,8.8293800,-16.2715400
3,81.3961000,-4.1436300,-12.1468100,63.5537900,-8.4734700,10.7681100,-57.8320400,-126.7965900,-12.3462000,-0.7920700,57.4335500,-11.1187600,-25.5354700,34.7623800,-11.7875400,9.0154600,-18.3042400
4,84.4505500,-5.9083500,-12.7842100,66.5281700,-9.3556300,12.2242300,-62.0806500,-127.4247200,-13.5332200,-1.3319800,64.0187800,-10.6025000,-25.6797000,35.9051600,-10.3823500,8.8927600,-20.6783400
5,86.9361600,-7.3682400,-13.3102100,69.5501000,-10.2357200,14.0279200,-66.1899400,-128.0201000,-14.7811300,-1.8475600,70.5894400,-10.3937100,-25.3700800,37.1837900,-8.8786000,8.5064600,-23.3032000
6,88.7911500,-8.4647800,-13.7635000,72.4551500,-10.9798000,16.1205800,-70.0082900,-128.5371100,-16.0352700,-2.2909100,76.6548500,-10.3872700,-24.7791000,38.5642400,-7.3877900,7.9194000,-26.1279300
7,90.0266800,-9.2340500,-14.1880400,75.0727200,-11.4627400,18.4124200,-73.4125500,-128.9275700,-17.2338900,-2.6041400,81.8460500,-10.4522600,-24.1115200,40.0094800,-6.0336800,7.1843700,-29.1362800
8,90.7129800,-9.7738800,-14.6102700,77.2466100,-11.5874300,20.7733300,-76.3140900,-129.1456300,-18.3112200,-2.7242000,85.9521100,-10.4769900,-23.5200700,41.4649500,-4.9392600,6.3270200,-32.3073400
9,90.9625900,-10.2026600,-15.0266500,78.8566300,-11.3029100,23.0359600,-78.6618800,-129.1544200,-19.2014000,-2.5930800,88.9260600,-10.4002000,-23.0562100,42.8409700,-4.2113100,5.3579700,-35.5623100
10,90.9096800,-10.6196500,-15.4032800,79.8332200,-10.6203100,25.0201900,-80.4397000,-128.9304000,-19.8508900,-2.1727200,90.8574100,-10.2153500,-22.7018000,44.0067600,-3.9166300,4.3057600,-38.7357700
11,90.6884000,-11.0749000,-15.6887200,80.1645100,-9.6202700,26.5716900,-81.6587100,-128.4686400,-20.2355300,-1.4625500,91.9135700,-9.9611200,-22.4335000,44.8123900,-4.0546900,3.2430400,-41.5974500
12,90.4124700,-11.5585200,-15.8377000,79.8930500,-8.4388700,27.5917800,-82.3491100,-127.7895300,-20.3650200,-0.5103900,92.2692000,-9.7129000,-22.2491900,45.1318400,-4.5506900,2.2852600,-43.9095300
13,90.1578100,-12.0152900,-15.8317200,79.0971800,-7.2302500,28.0443400,-82.5523300,-126.9367800,-20.2698400,0.5943700,92.0499700,-9.5689700,-22.1537200,44.8967400,-5.2827100,1.5647500,-45.4817400
14,89.9526700,-12.3742300,-15.6841700,77.8653400,-6.1268400,27.9473100,-82.3143400,-125.9649400,-19.9864200,1.7414400,91.3048900,-9.6246200,-22.1465500,44.1033700,-6.1221400,1.1992600,-46.2008700
15,89.7790800,-12.5757000,-15.4312700,76.2766700,-5.2160300,27.3591500,-81.6798800,-124.9251300,-19.5518600,2.8242500,90.0099900,-9.9456900,-22.2309200,42.7973000,-6.9629100,1.2699200,-46.0334400
