,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,62.5888600,1.9136400,-3.6578300,63.8819200,-6.6409200,-6.0903300,-65.8142200,-119.9771800,-14.2596300,0.4184800,47.7896900,-9.4450700,-19.8319400,36.8456400,-13.8114600,2.3672800,-23.4737400
1,64.9591400,1.1959600,-3.2506600,63.6419100,-5.9308600,-6.7771000,-65.4280500,-120.0544500,-15.1177400,0.3847300,49.1866100,-7.8408100,-21.4343400,36.0417000,-13.1515000,2.9330500,-22.8776100
2,68.8541300,-0.6228500,-2.7590500,63.3464300,-5.5217800,-6.9850000,-65.4782000,-120.1180900,-16.0728900,0.3242200,51.7621600,-6.6195000,-22.9430000,35.3715700,-12.3242300,3.4162500,-22.8185900
3,73.9981200,-3.1706500,-2.2300000,63.0808000,-5.3544400,-6.7452400,-65.9523800,-120.1778500,-17.0923400,0.2795000,55.4432300,-5.8659500,-24.3465300,34.8641300,-11.3850000,3.7221900,-23.2851600
4,79.8421700,-6.0302500,-1.6671300,62.9352300,-5.3450800,-6.1065800,-66.7815900,-120.2387600,-18.1390800,0.2969400,59.9453900,-5.5911600,-25.5777800,34.5408100,-10.3969600,3.7842100,-24.2136000
5,85.7132000,-8.8485300,-1.0697300,62.9717800,-5.4014600,-5.1308300,-67.8809600,-120.2837000,-19.1752300,0.4215600,64.8307700,-5.7320300,-26.5643500,34.3890500,-9.4243700,3.5832000,-25.4907300
6,90.9530100,-11.3809900,-0.4935200,63.1993300,-5.4351400,-3.9019700,-69.1686900,-120.2708100,-20.1558700,0.6892300,69.6054400,-6.1659300,-27.2815200,34.3504500,-8.5347300,3.1580600,-26.9665700
7,95.0248600,-13.4889900,-0.0610900,63.5624900,-5.3756900,-2.5356400,-70.5572700,-120.1415100,-21.0263900,1.1184900,73.8057600,-6.7343900,-27.7685900,34.3285500,-7.7968700,2.5961600,-28.4738200
8,97.6000500,-15.1071900,0.0914000,63.9438700,-5.1882700,-1.1763700,-71.9353400,-119.8340000,-21.7308800,1.7031600,77.0548000,-7.2783100,-28.1036600,34.2074700,-7.2684100,2.0049000,-29.8452000
9,98.6035000,-16.2025700,-0.1134200,64.1856700,-4.8820000,0.0107400,-73.1576200,-119.3067900,-22.2187300,2.4053300,79.0925500,-7.6758100,-28.3520800,33.8798200,-6.9862900,1.4828500,-30.9220800
10,98.1853000,-16.7462200,-0.6598800,64.1270700,-4.4990200,0.8532600,-74.0541700,-118.5592400,-22.4438500,3.1577500,79.7850600,-7.8640200,-28.5309500,33.2734900,-6.9699600,1.1082700,-31.5605500
11,96.6290400,-16.7031100,-1.4617600,63.6427300,-4.0919400,1.1959900,-74.4593000,-117.6333500,-22.3663200,3.8801200,79.1161500,-7.8386800,-28.6198300,32.3658900,-7.2279500,0.9433400,-31.6461600
12,94.2445100,-16.0326200,-2.4142000,62.6727700,-3.7055500,0.9286700,-74.2475700,-116.6032600,-21.9593600,4.4966900,77.1674800,-7.6414700,-28.5928700,31.1905700,-7.7587600,1.0390000,-31.1182800
13,91.2867100,-14.6924600,-3.4393700,61.2368900,-3.3708000,0.0058300,-73.3638200,-115.5609600,-21.2171400,4.9462900,74.0975200,-7.3468900,-28.4340700,29.8371300,-8.5467300,1.4274600,-29.9918600
14,87.9223000,-12.6452500,-4.5056300,59.4271400,-3.1100700,-1.5446100,-71.8383900,-114.5977900,-20.1591900,5.1864600,70.1275400,-7.0517500,-28.1310100,28.4371900,-9.5565300,2.1073300,-28.3634000
15,84.2438600,-9.8727000,-5.6194000,57.3841800,-2.9479000,-3.6236000,-69.7823200,-113.7880600,-18.8297500,5.1935200,65.5352200,-6.8627900,-27.6657300,27.1407200,-10.7302200,3.0360200,-26.3987700
16,80.3133700,-6.4022900,-6.8064400,55.2667000,-2.9182200,-6.0696800,-67.3655800,-113.1805300,-17.2929400,4.9616000,60.6509000,-6.8766700,-27.0155000,26.0916800,-11.9913100,4.1322600,-24.3113400
17,76.2146100,-2.3453300,-8.0895200,53.2184800,-3.0647200,-8.6683800,-64.7872300,-112.7922600,-15.6274300,4.5044900,55.8471900,-7.1570900,-26.1640900,25.4038800,-13.2535700,5.2886000,-22.3377800
18,72.0971900,2.0611100,-9.4572600,51.3408500,-3.4363100,-11.1621000,-62.2459800,-112.6036400,-13.9218600,3.8584000,51.5105900,-7.7204500,-25.1151200,25.1403400,-14.4300800,6.3948000,-20.7123000
19,68.1897400,6.4241200,-10.8411700,49.6829700,-4.0771200,-13.2670200,-59.9162600,-112.5636100,-12.2673800,3.0812200,47.9943400,-8.5359900,-23.8930200,25.3077600,-15.4449200,7.3624100,-19.6421200
20,64.7671200,10.2027000,-12.1206300,48.2529000,-5.0127400,-14.7036100,-57.9327500,-112.6071500,-10.7450600,2.2455200,45.5653600,-9.5404900,-22.5291400,25.8710700,-16.2475900,8.1396600,-19.2885100
21,62.0842200,12.7813100,-13.1444100,47.0434700,-6.2414000,-15.2425700,-56.3842200,-112.6792900,-9.4131800,1.4241100,44.3623000,-10.6660500,-21.0458100,26.7794900,-16.8209900,8.7167800,-19.7504800
