,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,73.5585900,-12.9770500,0.3783300,8.7093200,1.6884600,6.3042600,-5.1849000,-92.5893600,17.9392100,-88.9566600,71.3716600,-10.0057600,-13.1067800,26.5081700,-0.0607300,7.0869300,-36.3423000
1,73.4008400,-11.8489800,-0.4962700,8.4493200,1.8754600,6.2281500,-5.3087000,-92.5313500,17.6691500,-88.9671200,69.9191600,-8.7528800,-13.9652800,27.9783100,-0.0036300,6.0649400,-39.4124900
2,73.3626700,-11.0818700,-1.0768000,8.1808800,1.9979400,6.1463800,-5.4428800,-92.5013400,17.3983100,-88.9738100,68.6115400,-7.9278000,-14.3313200,29.4368300,0.0420300,5.2274300,-42.3528300
3,73.4153700,-10.6015300,-1.4167300,7.9230800,2.0633500,6.0643200,-5.5985200,-92.5003700,17.1383800,-88.9626500,67.5385300,-7.4638700,-14.2917900,30.8709500,0.0780700,4.5423200,-45.1136600
4,73.5299000,-10.3193100,-1.5817600,7.6890400,2.0782700,5.9863700,-5.7849900,-92.5309100,16.8961000,-88.9208500,66.7727800,-7.2601800,-13.9679400,32.2663200,0.1087600,3.9609300,-47.6493700
5,73.6818700,-10.1540500,-1.6335300,7.4884000,2.0467200,5.9139600,-6.0096000,-92.5965900,16.6761600,-88.8404100,66.3494600,-7.2068900,-13.4856400,33.6117100,0.1401500,3.4365900,-49.9182500
6,73.8522300,-10.0420300,-1.6217200,7.3288900,1.9713300,5.8462800,-6.2774700,-92.7004900,16.4826700,-88.7182500,66.2513300,-7.2031000,-12.9504100,34.9009200,0.1772500,2.9316500,-51.8830100
7,74.0283100,-9.9389700,-1.5823900,7.2142600,1.8532300,5.7810500,-6.5914200,-92.8451600,16.3171600,-88.5555100,66.4102300,-7.1700600,-12.4353900,36.1297800,0.2243400,2.4203600,-53.5111000
8,74.2046400,-9.8213300,-1.5404300,7.1424300,1.6946100,5.7171900,-6.9521000,-93.0304300,16.1769100,-88.3579600,66.7298300,-7.0591800,-11.9829400,37.2935300,0.2849900,1.8915000,-54.7769400
9,74.3814100,-9.6856300,-1.5100300,7.1063100,1.5020600,5.6567900,-7.3579700,-93.2506900,16.0559000,-88.1363100,67.1175400,-6.8534400,-11.6175600,38.3870000,0.3611000,1.3492800,-55.6645900
10,74.5615600,-9.5427600,-1.4941300,7.0955500,1.2860300,5.6035000,-7.8056500,-93.4956600,15.9464600,-87.9055800,67.5053200,-6.5629800,-11.3607000,39.4051100,0.4544100,0.8111400,-56.1678100
11,74.7480500,-9.4115700,-1.4877500,7.0990400,1.0594300,5.5628600,-8.2913100,-93.7524900,15.8408400,-87.6816500,67.8538400,-6.2177200,-11.2285300,40.3434100,0.5660100,0.3008100,-56.2882500
12,74.9429600,-9.3133700,-1.4823200,7.1072600,0.8360700,5.5436300,-8.8118700,-94.0081300,15.7325000,-87.4759000,68.1472800,-5.8587700,-11.2178400,41.1981100,0.6935800,-0.1618500,-56.0330900
13,75.1483700,-9.2653000,-1.4689900,7.1126200,0.6272300,5.5546000,-9.3643200,-94.2524600,15.6164100,-87.2928200,68.3836700,-5.5294800,-11.3061800,41.9651900,0.8323200,-0.5648100,-55.4115600
14,75.3663600,-9.2760300,-1.4416500,7.1076600,0.4393600,5.6003000,-9.9438700,-94.4795500,15.4880900,-87.1322800,68.5651100,-5.2676100,-11.4674800,42.6388200,0.9786500,-0.8979500,-54.4319500
15,75.5980100,-9.3470300,-1.3980100,7.0842400,0.2748300,5.6828900,-10.5436400,-94.6867100,15.3431100,-86.9913300,68.6925800,-5.1008400,-11.6831200,43.2108000,1.1310600,-1.1476900,-53.1003400
