,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,67.5576800,3.3027400,-11.6698100,37.8513600,-1.0989200,9.6403200,-104.7536800,-81.6775200,28.4435700,-75.3583800,60.2197800,-13.2080000,-14.9383600,53.3501700,-11.1259200,14.2837700,-13.7648300
1,67.7619900,4.5229000,-12.2365500,37.4776600,-2.6530900,9.1714500,-105.9718300,-82.8045300,28.2637200,-74.9800200,57.8723500,-13.0802300,-15.1424500,54.5742300,-9.6584500,15.4338500,-16.1356900
2,67.9442900,5.2117700,-12.4175800,37.6469000,-4.3943300,8.6928600,-107.2099300,-84.0326600,28.3933200,-74.9493500,56.4517800,-13.2143100,-14.5761300,56.6524200,-7.7522800,15.9592500,-19.6396100
3,68.0905200,5.4859500,-12.2921000,38.2887600,-6.1527200,8.1390900,-108.4011100,-85.2490300,28.8190400,-75.3021100,56.1717400,-13.4025500,-13.3557100,59.4955800,-5.5418900,15.8857700,-24.1818400
4,68.2116900,5.4707600,-11.9517100,39.2642300,-7.7574200,7.4681200,-109.4728900,-86.3367800,29.4803800,-76.0373900,56.9603000,-13.4980400,-11.6850500,62.8229200,-3.2044500,15.3454800,-29.3645800
5,68.3270600,5.2739200,-11.4898500,40.4151300,-9.0828100,6.6803600,-110.3607300,-87.2137100,30.2909300,-77.1095500,58.5589000,-13.4624800,-9.7661400,66.2622900,-0.8978800,14.5287400,-34.6458300
6,68.4456200,4.9752300,-10.9889400,41.6189100,-10.0624400,5.8159800,-111.0175900,-87.8466800,31.1709700,-78.4316900,60.6645200,-13.3520700,-7.7778300,69.4863400,1.2757300,13.6461400,-39.5516500
7,68.5614600,4.6268000,-10.5112200,42.8153200,-10.6717000,4.9377800,-111.4143100,-88.2393200,32.0724200,-79.8906100,63.0070700,-13.2572700,-5.8937500,72.3000600,3.2632200,12.8944600,-43.7983200
8,68.6618000,4.2633000,-10.0957000,43.9977000,-10.9121200,4.1119000,-111.5385100,-88.4161000,32.9808000,-81.3675800,65.3723100,-13.2427000,-4.2812900,74.6501300,5.0369400,12.4169700,-47.2994000
9,68.7333100,3.9217800,-9.7616800,45.1859500,-10.8149900,3.3951700,-111.3975400,-88.4177700,33.8981700,-82.7570800,67.6056400,-13.3228700,-3.0722500,76.5815100,6.5820200,12.2710700,-50.1087000
10,68.7643000,3.6594300,-9.5220900,46.4008800,-10.4500700,2.8315500,-111.0196200,-88.3040000,34.8256200,-83.9795600,69.6055100,-13.4728000,-2.3289200,78.1811400,7.8973200,12.4207900,-52.3452900
11,68.7491700,3.5504500,-9.3920400,47.6486900,-9.9236600,2.4497000,-110.4492600,-88.1519000,35.7560000,-84.9888000,71.3124700,-13.6512100,-2.0274000,79.5351600,9.0002500,12.7569900,-54.1305700
12,68.6921900,3.6621200,-9.3807300,48.9135500,-9.3635400,2.2558600,-109.7400400,-88.0422600,36.6728700,-85.7768400,72.7014600,-13.8176100,-2.0697700,80.7065300,9.9275300,13.1366200,-55.5569100
13,68.6037400,4.0274400,-9.4800800,50.1561800,-8.8920600,2.2291300,-108.9473800,-88.0358700,37.5509000,-86.3748800,73.7784700,-13.9385000,-2.3190100,81.7294900,10.7278800,13.4261300,-56.6881800
14,68.4943200,4.6296600,-9.6623800,51.3221500,-8.5947000,2.3250200,-108.1217300,-88.1528900,38.3609100,-86.8446700,74.5780900,-13.9880600,-2.6356400,82.6173200,11.4471800,13.5339700,-57.5745000
15,68.3729600,5.4055900,-9.8886500,52.3599800,-8.4999800,2.4851400,-107.3030400,-88.3678300,39.0817000,-87.2613000,75.1572900,-13.9496000,-2.9031200,83.3773600,12.1146900,13.4248600,-58.2633500
