,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,60.8979000,0.8182000,-4.4793300,86.7420100,-15.9064800,-5.2109200,-37.6184900,-89.6484500,37.5393800,-95.4635000,57.5447000,-2.7156600,-13.6690700,85.4476200,-1.7714000,7.2918000,-30.2031000
1,59.1736800,1.9553100,-3.9942400,88.0670500,-15.7456000,-4.2508900,-43.2992700,-89.6181100,35.8966400,-95.5893900,56.1794600,-0.6477100,-13.2308700,86.6933100,-1.1579800,6.9017200,-35.4119100
2,58.4687200,2.3330300,-3.6566600,89.7730600,-15.5118900,-2.9624300,-49.5738800,-89.4605300,34.3817300,-95.7410300,55.7258300,0.7779100,-12.3228000,88.3974800,-0.6940600,6.7255900,-41.5767100
3,58.7946500,2.1565900,-3.5870600,91.6656800,-15.2013400,-1.5113800,-56.0346100,-89.1628100,33.0456100,-95.9257400,56.3070800,1.5956400,-11.1196700,90.4460000,-0.3912300,6.7317000,-48.3655000
4,60.0099800,1.6361500,-3.7368900,93.5521400,-14.8247900,-0.0838200,-62.2549400,-88.7305100,31.9505400,-96.1452600,57.8290600,1.9311300,-9.7943800,92.6664700,-0.2476800,6.8744100,-55.3044700
5,61.9207600,0.9511900,-3.9974800,95.3068700,-14.4199700,1.1799100,-67.9333700,-88.1911800,31.1581000,-96.4048700,60.0977200,1.9306400,-8.4888300,94.8862400,-0.2295900,7.1140500,-61.9260300
6,64.3156200,0.2427700,-4.2879400,96.8824800,-14.0396800,2.2152500,-72.9433400,-87.5906800,30.7014500,-96.7096300,62.8899500,1.7299300,-7.3214900,96.9733400,-0.2751000,7.4268200,-67.8968800
7,66.9596300,-0.3904600,-4.5753600,98.2914400,-13.7232900,3.0228600,-77.2890900,-86.9807800,30.5759500,-97.0516200,65.9629100,1.4461800,-6.3982000,98.8578900,-0.3225200,7.8023800,-73.0589400
8,69.5969800,-0.8930200,-4.8638000,99.5844700,-13.4738300,3.6403000,-81.0316000,-86.4041600,30.7547900,-97.4017700,69.0598200,1.1700600,-5.8034100,100.5374800,-0.3391900,8.2349600,-77.4001200
9,71.9789000,-1.2463400,-5.1721700,100.8266100,-13.2596800,4.1135400,-84.2383300,-85.8860700,31.2040300,-97.7148400,71.9350100,0.9552100,-5.5790900,102.0592600,-0.3280700,8.7162300,-80.9975700
10,73.9070200,-1.4565500,-5.5081700,102.0702100,-13.0374300,4.4793400,-86.9658600,-85.4367000,31.8830400,-97.9446200,74.3881900,0.8133300,-5.7105700,103.4836300,-0.3121900,9.2311500,-83.9645200
11,75.2712200,-1.5423900,-5.8577300,103.3364800,-12.7736400,4.7643200,-89.2599600,-85.0587200,32.7411600,-98.0581100,76.2937600,0.7246700,-6.1324500,104.8533700,-0.3149500,9.7581900,-86.4152200
12,76.0636600,-1.5279200,-6.1954300,104.6136300,-12.4531900,4.9909500,-91.1587500,-84.7514300,33.7225100,-98.0432900,77.6146900,0.6607900,-6.7524500,106.1828500,-0.3487400,10.2757200,-88.4467500
13,76.3673100,-1.4413100,-6.4982300,105.8646900,-12.0796100,5.1789700,-92.6945800,-84.5113800,34.7741100,-97.9102200,78.3964200,0.6028000,-7.4750400,107.4612100,-0.4121800,10.7680200,-90.1319700
14,76.3296400,-1.3162700,-6.7504500,107.0376700,-11.6722100,5.3425300,-93.8965800,-84.3347200,35.8495000,-97.6852600,78.7435400,0.5461700,-8.2169900,108.6592400,-0.4935000,11.2246200,-91.5206600
15,76.1298200,-1.1907700,-6.9436700,108.0771300,-11.2596300,5.4877600,-94.7933600,-84.2199600,36.9096600,-97.4011000,78.7891800,0.4974600,-8.9181300,109.7383900,-0.5779700,11.6358900,-92.6450300
