,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,62.2051000,-6.8471300,-9.5874400,10.0850600,-11.7908300,0.0822300,0.7865700,-102.3514100,-3.4142400,0.6249200,60.6142000,-11.1287700,-13.5948300,7.5793400,-4.3551700,7.1871000,7.1148000
1,62.4677200,-6.9195000,-8.5353500,10.1155100,-11.6876500,-0.4778800,0.7293100,-102.3610200,-3.4123700,0.6058800,60.7862200,-11.5506800,-12.7989300,7.6882600,-4.2576700,7.2578700,6.8787700
2,62.6962700,-6.9816100,-7.6171000,10.1371700,-11.5996700,-0.9708300,0.6806500,-102.3666500,-3.4117700,0.5857800,60.9269300,-11.9292400,-12.1061100,7.7751500,-4.1718600,7.3321900,6.6852600
3,62.8708000,-7.0283300,-6.9102900,10.1469500,-11.5337900,-1.3583900,0.6457800,-102.3681600,-3.4115000,0.5634500,61.0258100,-12.2322300,-11.5748700,7.8339100,-4.1055200,7.4064800,6.5493100
4,62.9892200,-7.0582800,-6.4261900,10.1449900,-11.4920100,-1.6367700,0.6250800,-102.3663100,-3.4121000,0.5372900,61.0819900,-12.4523600,-11.2121000,7.8659700,-4.0585200,7.4788800,6.4704500
5,63.0605300,-7.0729900,-6.1349700,10.1337200,-11.4723400,-1.8221300,0.6157100,-102.3622400,-3.4143800,0.5065900,61.1029900,-12.5960300,-10.9928300,7.8779500,-4.0265500,7.5461700,6.4365000
6,63.0969400,-7.0763300,-5.9905100,10.1169100,-11.4691100,-1.9370400,0.6140800,-102.3575700,-3.4175700,0.4720200,61.1026300,-12.6740000,-10.8808500,7.8795000,-4.0056600,7.6035500,6.4290200
7,63.1093900,-7.0733400,-5.9453100,10.0989800,-11.4744400,-2.0028800,0.6173600,-102.3546100,-3.4191900,0.4353900,61.0946000,-12.7007800,-10.8418000,7.8795800,-3.9941700,7.6486800,6.4320400
8,63.1063700,-7.0694100,-5.9584000,10.0842300,-11.4811200,-2.0346600,0.6234700,-102.3552600,-3.4172100,0.4003500,61.0861300,-12.6956300,-10.8475200,7.8824700,-3.9916300,7.6834000,6.4386300
9,63.0941400,-7.0694900,-5.9992500,10.0764400,-11.4847300,-2.0397300,0.6307200,-102.3606300,-3.4116400,0.3723900,61.0797000,-12.6769900,-10.8747500,7.8886000,-3.9968700,7.7087800,6.4475000
10,63.0773900,-7.0752500,-6.0479400,10.0783800,-11.4840200,-2.0223500,0.6375500,-102.3709500,-3.4042600,0.3565400,61.0779900,-12.6548600,-10.9051400,7.8984100,-4.0071000,7.7208700,6.4556400
11,63.0600600,-7.0835300,-6.0925800,10.0898900,-11.4801400,-1.9894800,0.6425200,-102.3848500,-3.3974500,0.3545500,61.0840700,-12.6299400,-10.9275300,7.9124900,-4.0185200,7.7135600,6.4572600
12,63.0454700,-7.0895500,-6.1273100,10.1061100,-11.4750600,-1.9521100,0.6452000,-102.3987500,-3.3926800,0.3632400,61.0985400,-12.6007300,-10.9386600,7.9290600,-4.0280500,7.6867900,6.4487700
13,63.0356100,-7.0909000,-6.1509100,10.1200200,-11.4702700,-1.9214200,0.6465400,-102.4088400,-3.3898800,0.3759000,61.1185000,-12.5694100,-10.9416700,7.9444800,-4.0344000,7.6496300,6.4317700
14,63.0308800,-7.0880100,-6.1649900,10.1271100,-11.4665300,-1.9038900,0.6476300,-102.4134500,-3.3882800,0.3865300,61.1400500,-12.5394500,-10.9425200,7.9562500,-4.0376500,7.6126000,6.4101300
15,63.0302300,-7.0821100,-6.1726200,10.1262400,-11.4641500,-1.9004700,0.6490700,-102.4128500,-3.3872600,0.3921200,61.1597600,-12.5128500,-10.9458800,7.9635100,-4.0384000,7.5819500,6.3874500
