,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,44.8647100,-3.6649000,-9.2195100,1.4047400,-1.1029400,-3.1296000,-54.6261500,-85.3646100,-19.4130600,86.3708300,68.7791900,-14.7217900,-15.4406800,41.2441900,9.3976800,21.3882300,-10.0386600
1,45.6681800,-3.5318500,-9.9755100,3.1304700,-2.1463100,-4.8987500,-60.2369100,-85.0272300,-19.1338600,86.2388600,67.4575000,-12.6686100,-16.5007300,41.0868600,10.2116900,20.4980500,-12.9024000
2,46.8174500,-4.0526400,-10.3776400,5.0544700,-3.4609500,-6.6406600,-65.8580600,-84.5899800,-18.8985800,85.9836000,66.6599100,-10.7191300,-16.6510900,41.0819100,11.1974100,19.2099600,-16.3529800
3,48.2606700,-5.0447000,-10.4741600,7.2403900,-4.9881100,-8.2567600,-71.3995500,-84.0733900,-18.7606500,85.6171300,66.6307000,-9.0288500,-15.8484400,41.2602000,12.3261500,17.5832100,-20.2850700
4,49.9112200,-6.2876000,-10.3126700,9.7400100,-6.6314000,-9.6569200,-76.7482000,-83.5204800,-18.7621900,85.1638500,67.4878100,-7.6980300,-14.2167600,41.6093600,13.5341900,15.7492000,-24.5491000
5,51.6765400,-7.5615400,-9.9292300,12.5715000,-8.2736300,-10.7607100,-81.7713300,-82.9843100,-18.9197700,84.6679800,69.1647700,-6.7636200,-12.0177800,42.0448200,14.7277800,13.8870200,-28.9100200
6,53.4764600,-8.6726100,-9.3589300,15.7108200,-9.7948700,-11.5044900,-86.3273700,-82.5163200,-19.2193500,84.1906000,71.4550300,-6.2040700,-9.5761900,42.4138000,15.7998500,12.1799200,-33.0592000
7,55.2479700,-9.4684700,-8.6547500,19.0918000,-11.0898500,-11.8477000,-90.2801600,-82.1553100,-19.6166200,83.8012400,74.0983000,-5.9616600,-7.1936200,42.5274300,16.6537700,10.7720600,-36.6764500
8,56.9392600,-9.8518300,-7.8942900,22.6158500,-12.0782900,-11.7742700,-93.5123100,-81.9206200,-20.0447300,83.5691100,76.8340100,-5.9712900,-5.0925100,42.2065200,17.2216200,9.7438000,-39.5024300
9,58.5022100,-9.7929500,-7.1683400,26.1748700,-12.7042700,-11.2961500,-95.9352900,-81.8159100,-20.4347500,83.5492400,79.4197500,-6.1711600,-3.4113300,41.3295700,17.4691900,9.1116200,-41.3874000
10,59.8907100,-9.3328000,-6.5620000,29.6762600,-12.9343900,-10.4577100,-97.4941300,-81.8374300,-20.7404400,83.7688000,81.6388900,-6.4954000,-2.2299900,39.8631900,17.3915900,8.8426700,-42.3005100
11,61.0656700,-8.5705700,-6.1387800,33.0545300,-12.7606800,-9.3344600,-98.1649900,-81.9787400,-20.9521500,84.2215700,83.3067200,-6.8675000,-1.5916600,37.8604900,17.0062300,8.8739800,-42.3043900
12,62.0023800,-7.6402800,-5.9331000,36.2696400,-12.2023200,-8.0274100,-97.9471700,-82.2352900,-21.0969300,84.8677100,84.2749500,-7.2013300,-1.5093200,35.4377400,16.3446100,9.1333300,-41.5160400
13,62.6953500,-6.6865200,-5.9515200,39.2982100,-11.3021900,-6.6550200,-96.8544600,-82.6098300,-21.2279800,85.6361100,84.4357800,-7.4086300,-1.9646600,32.7445300,15.4435900,9.5568200,-40.0737500
14,63.1577200,-5.8452200,-6.1775300,42.1171200,-10.1196600,-5.3354800,-94.9087800,-83.1109100,-21.4030300,86.4391000,83.7249200,-7.4129400,-2.9072100,29.9294000,14.3396400,10.0920600,-38.1155700
15,63.4180600,-5.2281200,-6.5783000,44.6834000,-8.7206300,-4.1543700,-92.1359900,-83.7391900,-21.6558500,87.2046500,82.1216700,-7.1652900,-4.2524600,27.1027000,13.0675200,10.6812200,-35.7645100
