,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,52.3180600,-3.9565900,-5.4703700,7.4877300,2.1382600,-8.1367900,-55.0859300,-102.3729800,35.1064400,-98.8877100,72.0144800,-7.2857600,-17.2004500,69.7581500,11.8794900,18.0310500,-28.9072300
1,52.9230600,-3.7519800,-6.9022000,9.9327100,1.3559300,-9.8943300,-64.6140000,-102.3672000,34.3320200,-99.1564300,71.3868600,-5.9161600,-18.8053300,67.4276100,12.0096800,18.6140400,-29.4595700
2,54.1499200,-4.6394000,-7.9592100,12.8680600,0.2481000,-11.8309200,-74.3571200,-102.2679600,33.5950200,-99.3940400,71.6353900,-5.0491400,-19.6632000,65.4106900,12.0431400,19.1212800,-31.4369500
3,55.8500400,-6.2821700,-8.6219900,16.3043400,-1.1712000,-13.7427900,-83.9679700,-102.1045700,32.9606700,-99.6554200,72.7966200,-4.5893300,-19.6970400,63.7435000,12.0240100,19.3728600,-34.4951300
4,57.8634700,-8.2376300,-8.8722300,20.2472300,-2.8381200,-15.4352600,-93.1308300,-101.8861800,32.4649000,-99.9771700,74.7477000,-4.4352300,-18.9880900,62.3531600,11.9458000,19.3331500,-38.1702000
5,60.0463000,-10.0678900,-8.7187900,24.6991100,-4.6627500,-16.7467200,-101.5683100,-101.6107900,32.1278200,-100.3723500,77.2804200,-4.4850800,-17.7621700,61.0938000,11.7633400,19.0855800,-41.9509700
6,62.2772800,-11.4344000,-8.2270900,29.6647100,-6.5430000,-17.5635200,-109.0464000,-101.2685900,31.9691700,-100.8307100,80.1659400,-4.6482800,-16.2926600,59.8169000,11.4142000,18.7586400,-45.3859900
7,64.4495500,-12.1582200,-7.5139600,35.1424300,-8.3638200,-17.8245900,-115.3742300,-100.8414000,32.0092700,-101.3195600,83.1736900,-4.8583600,-14.8136900,58.4225600,10.8352500,18.4629700,-48.1669100
8,66.4672600,-12.2337400,-6.7013800,41.0999300,-9.9985400,-17.5201000,-120.4048900,-100.3119600,32.2548600,-101.7810100,86.0745700,-5.0734300,-13.4963800,56.8590600,9.9727200,18.2615900,-50.1424900
9,68.2557600,-11.8000000,-5.8730200,47.4542200,-11.3201200,-16.6866200,-124.0418200,-99.6818000,32.6867600,-102.1275100,88.6470600,-5.2636900,-12.4557800,55.0953700,8.7883800,18.1569000,-51.2816800
10,69.7787900,-11.0887600,-5.0909300,54.0714200,-12.2147900,-15.4009500,-126.2412900,-98.9811200,33.2621400,-102.2456700,90.6834800,-5.3998600,-11.7559000,53.1024500,7.2647100,18.0907200,-51.6273700
11,71.0467500,-10.3685400,-4.4379000,60.7807700,-12.5945400,-13.7761700,-127.0039700,-98.2639500,33.9274100,-102.0138200,91.9945100,-5.4512900,-11.4151900,50.8479600,5.4119200,17.9645700,-51.2542600
12,72.1057900,-9.8875900,-3.9991800,67.3898200,-12.4098900,-11.9574600,-126.3631800,-97.5967000,34.6304600,-101.3254300,92.4123500,-5.3915400,-11.4171200,48.2940300,3.2749900,17.6700100,-50.2328300
13,73.0179600,-9.8148100,-3.8076700,73.6943200,-11.6597600,-10.1104800,-124.3761800,-97.0461600,35.3244900,-100.1087600,91.7946900,-5.2049800,-11.7219300,45.3974300,0.9347200,17.1145200,-48.6102700
14,73.8456300,-10.1977000,-3.8322800,79.4877900,-10.3954800,-8.4018400,-121.1168800,-96.6670800,35.9660900,-98.3413700,90.0336200,-4.8916400,-12.2766100,42.1185600,-1.4978400,16.2418300,-46.4158500
15,74.6403700,-10.9603100,-4.0043300,84.5771900,-8.7207400,-6.9757600,-116.6701000,-96.4964300,36.5135200,-96.0572100,87.0740100,-4.4736800,-13.0221000,38.4372900,-3.8868400,15.0498300,-43.6818700
16,75.4365100,-11.9386300,-4.2396500,88.8018100,-6.7866900,-5.9311700,-111.1301100,-96.5586400,36.9265300,-93.3427400,82.9428600,-4.0022700,-13.8972600,34.3672800,-6.0756800,13.6026600,-40.4681700
17,76.2510500,-12.9315100,-4.4514600,92.0483100,-4.7778400,-5.3073800,-104.6027500,-96.8708000,37.1677900,-90.3262600,77.7818800,-3.5544900,-14.8393000,29.9677500,-7.9005900,12.0303500,-36.8875300
18,77.0854600,-13.7524600,-4.5617100,94.2560300,-2.8897900,-5.0838600,-97.2087200,-97.4388400,37.2046900,-87.1662700,71.8685600,-3.2197200,-15.7798800,25.3505800,-9.2166300,10.5148700,-33.1272500
19,77.9286700,-14.2807900,-4.5103300,95.4128300,-1.3024900,-5.1900100,-89.0875900,-98.2528300,37.0098900,-84.0336700,65.6115300,-3.0871100,-16.6396900,20.6729300,-9.9233700,9.2622200,-29.4543300
20,78.7643000,-14.5050800,-4.2557900,95.5466900,-0.1492300,-5.5208100,-80.4027900,-99.2875500,36.5616600,-81.0838000,59.5129100,-3.2372200,-17.3287600,16.1148900,-9.9824600,8.4600800,-26.1978200
21,79.5806600,-14.5355400,-3.7677100,94.7200800,0.5104000,-5.9619800,-71.3488800,-100.5020100,35.8494600,-78.4314000,54.0978200,-3.7261100,-17.7591400,11.8564200,-9.4283000,8.2283300,-23.7141500
