,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,68.7435900,3.1632900,-2.2844400,37.5568700,-1.2266600,3.9078800,-91.4027500,-91.4399000,7.8339800,-75.1930100,56.1014600,-16.9411300,-17.6085800,52.4688800,-4.4133800,10.6145300,-10.1320000
1,67.7414600,6.0728100,-3.3131900,37.6229400,-1.5530500,4.4938500,-93.3188700,-91.7767700,8.0625300,-74.2852000,51.5395100,-15.7615800,-19.2439100,52.7240400,-4.3772000,10.9255200,-11.6908600
2,67.0875500,8.3879600,-4.0607700,37.9728900,-2.2082900,5.0945300,-95.2175400,-92.2667700,8.4879400,-73.7624500,46.9294400,-14.6455200,-20.3301300,53.5233800,-3.9749700,11.0126900,-13.6539300
3,66.6971700,10.2807700,-4.6324000,38.5880800,-3.1031200,5.6229500,-97.0766800,-92.8393900,9.0891200,-73.6564700,42.9763700,-13.6283400,-20.6824700,54.9137000,-3.2291600,10.7818200,-16.2372200
4,66.4442200,11.9164600,-5.1129200,39.4154800,-4.1211200,5.9987900,-98.8683700,-93.4078100,9.8251900,-73.9731700,40.3601000,-12.7432700,-20.2051500,56.8705300,-2.1950500,10.1842900,-19.6276000
5,66.2026500,13.4048100,-5.5482400,40.3709700,-5.1453700,6.1594200,-100.5673100,-93.8856200,10.6366000,-74.6929900,39.4449600,-12.0019500,-18.9630600,59.2661100,-0.9519000,9.2567000,-23.8418700
6,65.8856400,14.7889200,-5.9565500,41.3523900,-6.0859500,6.0720300,-102.1540700,-94.2078700,11.4495300,-75.7713000,40.1649900,-11.3893600,-17.1660900,61.8709600,0.4165300,8.1214100,-28.6654200
7,65.4613000,16.0538400,-6.3397900,42.2663300,-6.8931300,5.7406400,-103.6159000,-94.3455500,12.1926300,-77.1375900,42.1429300,-10.8926000,-15.0712700,64.4053300,1.8400300,6.9432100,-33.7133600
8,64.9419500,17.1434900,-6.6842900,43.0629300,-7.5471000,5.2012000,-104.9467600,-94.3037800,12.8263300,-78.6968400,44.9054800,-10.5221900,-12.8911400,66.6266200,3.2635800,5.8761300,-38.5710200
9,64.3635000,17.9865300,-6.9661600,43.7534000,-8.0388100,4.5098700,-106.1450800,-94.1093100,13.3610100,-80.3379800,48.0394800,-10.2986400,-10.7736500,68.4002100,4.6385400,5.0320000,-42.9243200
10,63.7700000,18.5277300,-7.1670600,44.3940700,-8.3624300,3.7315500,-107.2112300,-93.7992600,13.8449400,-81.9505300,51.2415600,-10.2250200,-8.8304400,69.7127700,5.9188900,4.4704900,-46.6177600
11,63.2047800,18.7528500,-7.2895500,45.0521500,-8.5207400,2.9317700,-108.1466700,-93.4150100,14.3340900,-83.4421400,54.3027800,-10.2724300,-7.1603400,70.6362100,7.0650000,4.1976800,-49.6391000
12,62.7071400,18.6955500,-7.3618300,45.7787200,-8.5313500,2.1706600,-108.9539600,-92.9984800,14.8695900,-84.7491600,57.0834500,-10.3855300,-5.8464100,71.2788300,8.0479200,4.1714200,-52.0665800
13,62.3135900,18.4250700,-7.4301500,46.5969400,-8.4251000,1.4957600,-109.6373100,-92.5864000,15.4710700,-85.8390700,59.5011100,-10.5015700,-4.9337700,71.7466100,8.8502100,4.3162900,-54.0135200
14,62.0575400,18.0267300,-7.5450000,47.4990100,-8.2398800,0.9372500,-110.2030200,-92.2049800,16.1373700,-86.7072800,61.5277600,-10.5709000,-4.4078700,72.1177400,9.4655000,4.5436000,-55.5881200
15,61.9609700,17.5854000,-7.7472500,48.4488200,-8.0148400,0.5086600,-110.6585700,-91.8685500,16.8503300,-87.3708000,63.1863600,-10.5685200,-4.1918100,72.4317400,9.8980500,4.7692800,-56.8736500
