,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,69.5735500,2.0193400,-7.4599300,80.0721300,-9.4804700,7.7580800,-81.5667100,-90.2617600,3.1658600,-96.5997500,68.9830600,-0.2233300,-11.0940200,80.3920600,3.9918800,7.7514100,-78.7654600
1,69.6095200,3.9167500,-7.6248700,80.5273900,-9.6521400,7.7877200,-81.5640600,-90.2697600,3.4754300,-96.8702600,69.4508400,1.4869400,-11.1361900,80.8943900,4.3993300,7.1520600,-78.9900200
2,69.6261600,5.1350800,-7.7329800,80.8935900,-9.7812000,7.8170000,-81.5813900,-90.2733000,3.7158600,-97.0606000,69.7638900,2.5435900,-11.1697000,81.2798000,4.6935400,6.7903700,-79.1366200
3,69.6262000,5.8119500,-7.7930500,81.1816700,-9.8661000,7.8466900,-81.6199600,-90.2743500,3.8923500,-97.1770700,69.9543400,3.0860400,-11.1963900,81.5682000,4.8850700,6.6127400,-79.2356800
4,69.6127900,6.1054300,-7.8133000,81.4104000,-9.9132400,7.8765400,-81.6772500,-90.2747100,4.0180700,-97.2347100,70.0585500,3.2730400,-11.2237300,81.7857700,4.9952700,6.5610300,-79.3108700
5,69.5900100,6.1585800,-7.8031900,81.6000700,-9.9321100,7.9050800,-81.7494100,-90.2749900,4.1088000,-97.2507700,70.1092700,3.2466000,-11.2586200,81.9585900,5.0470900,6.5842100,-79.3787700
6,69.5629900,6.0837800,-7.7736500,81.7685200,-9.9324600,7.9303400,-81.8331000,-90.2749200,4.1791200,-97.2410200,70.1318900,3.1159000,-11.3034900,82.1086400,5.0603900,6.6428600,-79.4498200
7,69.5370500,5.9592100,-7.7339100,81.9279500,-9.9231000,7.9505500,-81.9258800,-90.2744800,4.2393100,-97.2179600,70.1434800,2.9555400,-11.3568000,82.2504800,5.0504000,6.7094600,-79.5293300
8,69.5161100,5.8322400,-7.6898100,82.0843100,-9.9109400,7.9640200,-82.0258500,-90.2737600,4.2948500,-97.1903600,70.1533900,2.8111700,-11.4153000,82.3912000,5.0274800,6.7675500,-79.6188500
9,69.5021800,5.7265100,-7.6447300,82.2404400,-9.9002800,7.9686300,-82.1312500,-90.2715000,4.3493800,-97.1638000,70.1649200,2.7062400,-11.4736600,82.5345500,4.9977500,6.8105000,-79.7177200
10,69.4962300,5.6494900,-7.6004600,82.3979200,-9.8933200,7.9620800,-82.2403800,-90.2653000,4.4061300,-97.1416000,70.1772600,2.6473500,-11.5222900,82.6830100,4.9646100,6.8385000,-79.8239800
11,69.4988300,5.5989000,-7.5576100,82.5548600,-9.8909100,7.9430000,-82.3514700,-90.2534000,4.4653600,-97.1252700,70.1883300,2.6289400,-11.5494500,82.8352800,4.9296300,6.8541900,-79.9349800
12,69.5099900,5.5682700,-7.5164100,82.7036200,-9.8926200,7.9116100,-82.4623100,-90.2358600,4.5219200,-97.1144600,70.1978000,2.6383400,-11.5489900,82.9838500,4.8928800,6.8601000,-80.0478800
13,69.5287200,5.5511400,-7.4770500,82.8331800,-9.8968400,7.8703300,-82.5703400,-90.2145700,4.5670100,-97.1072300,70.2076400,2.6615800,-11.5246100,83.1172300,4.8535600,6.8581100,-80.1600600
14,69.5531800,5.5426800,-7.4391400,82.9344600,-9.9015800,7.8238900,-82.6732300,-90.1931500,4.5930000,-97.1010300,70.2204700,2.6884400,-11.4861800,83.2249700,4.8113800,6.8493600,-80.2689800
15,69.5814700,5.5394700,-7.4020100,83.0035200,-9.9058900,7.7777100,-82.7690700,-90.1755100,4.5965400,-97.0943500,70.2374800,2.7143400,-11.4438600,83.3012500,4.7678900,6.8352300,-80.3717700
