,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,68.4623600,-3.3963800,-9.2500100,64.2099000,-2.4612400,12.5804600,-32.1949700,-86.2368000,26.6706100,-101.3063700,42.9907400,-3.6118300,-8.3505800,-0.7667700,-5.0043400,9.4417700,-21.7569800
1,67.7105600,-1.9610900,-9.8954600,66.8747400,-1.7187100,11.4902900,-35.3958400,-85.6340500,27.2952300,-101.7908600,45.0480400,-2.6009400,-8.2959600,-0.0779200,-5.4753300,8.9881800,-23.3166600
2,67.0272600,-1.1141500,-10.2077900,69.6955600,-0.8286900,10.9857900,-38.7511400,-85.1634600,27.8596600,-101.9681000,47.9847500,-1.9210800,-8.1449700,0.7854300,-5.8466400,8.3626600,-25.6135800
3,66.4877900,-0.7389900,-10.3208300,72.6728800,0.2012700,10.9900500,-42.3601400,-84.8691200,28.3395800,-101.8243300,51.6587100,-1.5212300,-7.9368700,1.7527700,-6.0785000,7.6134400,-28.5622300
4,66.1386900,-0.6779500,-10.3202700,75.7282700,1.3474500,11.3728500,-46.2307500,-84.7876000,28.6939200,-101.3661500,55.7991900,-1.3193600,-7.7115400,2.7252700,-6.1445500,6.7950700,-32.0149700
5,65.9944600,-0.7922400,-10.2255600,78.7200600,2.5774300,11.9812900,-50.2566100,-84.9300800,28.8782200,-100.6204800,60.0758500,-1.2205900,-7.4972800,3.5996000,-6.0487000,5.9398000,-35.7906800
6,66.0547100,-0.9899500,-10.0158700,81.4972300,3.8578400,12.6666400,-54.2607500,-85.2723100,28.8683400,-99.6330400,64.1750200,-1.1322600,-7.3016100,4.3054000,-5.8304500,5.0466900,-39.7131600
7,66.3138500,-1.2153500,-9.6648400,83.9494500,5.1539900,13.3028000,-58.0647400,-85.7604300,28.6722200,-98.4666300,67.8516600,-0.9762100,-7.1142600,4.8233800,-5.5548800,4.0951900,-43.6361500
8,66.7565800,-1.4267800,-9.1682600,86.0337100,6.4230700,13.7977200,-61.5411600,-86.3284500,28.3293000,-97.1984600,70.9469800,-0.6983500,-6.9209700,5.1816300,-5.2915600,3.0719500,-47.4489400
9,67.3511000,-1.5861500,-8.5540700,87.7766400,7.6119000,14.0991500,-64.6339600,-86.9170800,27.9033600,-95.9127300,73.3842300,-0.2743700,-6.7133400,5.4402900,-5.0925800,1.9900200,-51.0697700
10,68.0487700,-1.6612600,-7.8715200,89.2539900,8.6640600,14.1915000,-67.3505600,-87.4842100,27.4680100,-94.6890900,75.1591000,0.2898100,-6.4883300,5.6685900,-4.9817700,0.8899100,-54.4370800
11,68.7922700,-1.6345900,-7.1726900,90.5549600,9.5331000,14.0868700,-69.7391300,-88.0053100,27.0852100,-93.5920900,76.3301000,0.9614800,-6.2432700,5.9183800,-4.9575100,-0.1736100,-57.5043400
12,69.5281800,-1.5101000,-6.4999200,91.7494800,10.1934900,13.8179200,-71.8637900,-88.4702400,26.7878200,-92.6643400,77.0052800,1.6845500,-5.9755500,6.2057800,-4.9997100,-1.1460900,-60.2386900
13,70.2171200,-1.3122500,-5.8807700,92.8724200,10.6450700,13.4324500,-73.7840000,-88.8796900,26.5765600,-91.9239700,77.3236500,2.3875300,-5.6889300,6.5098700,-5.0757300,-1.9836900,-62.6194900
14,70.8373800,-1.0782100,-5.3264200,93.9250600,10.9128900,12.9848400,-75.5405800,-89.2399700,26.4295800,-91.3648500,77.4333800,2.9986300,-5.3960700,6.7841500,-5.1493800,-2.6624500,-64.6347200
15,71.3813500,-0.8483400,-4.8339600,94.8862200,11.0438400,12.5258600,-77.1501500,-89.5562500,26.3164000,-90.9601100,77.4716900,3.4572400,-5.1128200,6.9730900,-5.1921000,-3.1843700,-66.2773700
