,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,68.3894300,2.4588600,-4.4231500,58.9011500,-19.9526600,-9.8957200,-44.2071500,-98.4775300,18.8354700,-83.6876800,57.8687900,-2.9612600,-16.5946200,55.0273300,-6.5477800,3.7423100,-20.4951600
1,68.6577500,2.9463300,-4.6782800,63.6265300,-20.0861300,-7.2746800,-50.2192200,-98.5009000,19.9537400,-83.7080100,55.6931200,-1.5723500,-17.3899200,58.2030400,-6.0677300,5.0425900,-22.7055700
2,69.7502900,2.9402700,-5.1188600,68.3312100,-20.3439900,-4.8083800,-56.3973500,-98.3978400,21.2055200,-84.0055100,54.2720800,-0.3903300,-17.8425800,62.0612600,-5.5471400,6.3881000,-26.1498200
3,71.5746300,2.5499800,-5.6353600,72.6620200,-20.6874100,-2.7246200,-62.3000300,-98.1161000,22.5207700,-84.6190900,53.8475100,0.7195400,-17.8278100,66.4635200,-5.0573400,7.4888000,-30.7711900
4,73.9951600,1.8583300,-6.1212900,76.3712700,-21.0522600,-1.1261000,-67.6506100,-97.6364000,23.8112000,-85.5242500,54.4109400,1.8685800,-17.2920600,71.1113400,-4.6867800,8.1448300,-36.1846000
5,76.8101500,0.9430300,-6.5208100,79.3630100,-21.3906900,0.0196200,-72.3529400,-96.9994200,24.9856500,-86.6435400,55.7825700,3.0881000,-16.2845300,75.6282100,-4.4863800,8.2961300,-41.8310900
6,79.7634700,-0.1089600,-6.8375000,81.6800400,-21.6799800,0.8285000,-76.4311700,-96.2821000,25.9823000,-87.8751800,57.7349900,4.3231500,-14.9405200,79.6950800,-4.4465700,8.0173500,-47.2006200
7,82.5973500,-1.2099600,-7.1170500,83.4609500,-21.9099100,1.4318200,-79.9617500,-95.5547000,26.7975800,-89.1238600,60.0459100,5.4718100,-13.4426300,83.1538300,-4.5088600,7.4795600,-51.9725300
8,85.1154900,-2.2915700,-7.4090900,84.8836800,-22.0709600,1.9309600,-83.0288700,-94.8591200,27.4830900,-90.3163900,62.4991900,6.4346800,-11.9867000,86.0203600,-4.5952300,6.8931300,-56.0357700
9,87.2226100,-3.3160100,-7.7306200,86.1059300,-22.1511200,2.3840700,-85.7043700,-94.2132200,28.1089500,-91.4008300,64.8964300,7.1483200,-10.7502500,88.4168300,-4.6385500,6.4464400,-59.4354300
10,88.9223200,-4.2704500,-8.0585700,87.2247100,-22.1398800,2.8136900,-88.0426900,-93.6248500,28.7247700,-92.3399400,67.0895100,7.5959000,-9.8631700,90.4812200,-4.6008500,6.2628600,-62.2956700
11,90.2832200,-5.1515500,-8.3502800,88.2715100,-22.0343100,3.2232400,-90.0825000,-93.1037800,29.3442900,-93.1060600,69.0064300,7.8001400,-9.3898500,92.3067900,-4.4761400,6.3856200,-64.7506200
12,91.3979000,-5.9524800,-8.5707400,89.2351800,-21.8421800,3.6124000,-91.8504800,-92.6669500,29.9544500,-93.6793400,70.6489000,7.8078000,-9.3261200,93.9288800,-4.2831000,6.7864900,-66.9027300
13,92.3526000,-6.6589800,-8.7088400,90.0913700,-21.5821800,3.9848100,-93.3661600,-92.3356600,30.5340300,-94.0501300,72.0656600,7.6745500,-9.6125200,95.3442400,-4.0526000,7.3892500,-68.8123900
14,93.2110100,-7.2530700,-8.7765400,90.8234300,-21.2825900,4.3484700,-94.6468100,-92.1289800,31.0678400,-94.2234600,73.3207300,7.4527100,-10.1572900,96.5379200,-3.8146800,8.0974300,-70.5072200
15,94.0090500,-7.7204400,-8.7983400,91.4293500,-20.9759700,4.7119700,-95.7111200,-92.0577100,31.5508400,-94.2196700,74.4697300,7.1830000,-10.8573700,97.5011300,-3.5912400,8.8174800,-71.9964900
