,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,67.9864900,-9.1350500,-11.4833400,32.9556900,-13.4770100,0.9809200,-18.5829700,-113.4814100,-3.9576200,-1.5805600,68.2776400,-14.5368200,-16.4981800,31.1305500,-1.8805400,10.4011800,-15.6541500
1,68.3504000,-8.1812000,-11.8572200,34.5061000,-13.5260000,0.9781500,-20.0080900,-114.0717800,-3.9646400,-1.5900900,68.7265400,-13.4074300,-17.1340400,32.6499400,-1.8755900,9.5955400,-17.1764600
2,68.8788800,-7.3140600,-12.0261200,36.0760900,-13.5888200,0.8703500,-21.5350600,-114.6289500,-3.9744000,-1.5640400,69.3856700,-12.3039400,-17.4027900,34.1827300,-1.9350100,8.6382800,-18.7923000
3,69.5572400,-6.5163200,-12.0370900,37.7029800,-13.6744100,0.6960800,-23.1736800,-115.1793600,-3.9968500,-1.5042500,70.2362400,-11.2376500,-17.3549100,35.7525400,-2.0497000,7.5578400,-20.4976800
4,70.3588600,-5.7697600,-11.9389200,39.4121400,-13.7871500,0.4974500,-24.9274300,-115.7410100,-4.0406600,-1.4122200,71.2447600,-10.2148100,-17.0613400,37.3719900,-2.2095600,6.3849100,-22.2846800
5,71.2551600,-5.0592400,-11.7701500,41.2148700,-13.9285000,0.3011400,-26.7916400,-116.3260700,-4.1075200,-1.2952900,72.3731600,-9.2416600,-16.5941000,39.0491600,-2.4046900,5.1586700,-24.1461000
6,72.2206300,-4.3753600,-11.5556200,43.1082500,-14.0971100,0.1120100,-28.7523700,-116.9425900,-4.1894000,-1.1683300,73.5857600,-8.3256800,-16.0138500,40.7910300,-2.6270000,3.9265900,-26.0771400
7,73.2343300,-3.7152800,-11.3075900,45.0802800,-14.2893700,-0.0806000,-30.7888800,-117.5961600,-4.2713000,-1.0497000,74.8529400,-7.4759700,-15.3647400,42.6051600,-2.8705600,2.7374800,-28.0755500
8,74.2795800,-3.0804300,-11.0282500,47.1179300,-14.5009100,-0.2929400,-32.8786800,-118.2917600,-4.3371800,-0.9554400,76.1517700,-6.7022700,-14.6760500,44.5004500,-3.1305700,1.6331900,-30.1407600
9,75.3427700,-2.4745100,-10.7170500,49.2110300,-14.7264300,-0.5366100,-35.0015000,-119.0334200,-4.3745100,-0.8947000,77.4649000,-6.0128300,-13.9672000,46.4847100,-3.4035000,0.6435000,-32.2720800
10,76.4111300,-1.9037100,-10.3810600,51.3523600,-14.9570300,-0.8086700,-37.1411600,-119.8224500,-4.3759700,-0.8669000,78.7794900,-5.4127800,-13.2540000,48.5608300,-3.6887000,-0.2145400,-34.4675800
11,77.4723900,-1.3761300,-10.0390800,53.5381000,-15.1810500,-1.0879700,-39.2879800,-120.6566100,-4.3408900,-0.8632700,80.0862700,-4.9038200,-12.5518800,50.7251100,-3.9868700,-0.9352700,-36.7231100
12,78.5174200,-0.8976000,-9.7142100,55.7689400,-15.3917400,-1.3435700,-41.4410400,-121.5313800,-4.2767000,-0.8738000,81.3775600,-4.4850100,-11.8734500,52.9683500,-4.2940900,-1.5227200,-39.0305100
13,79.5423300,-0.4688300,-9.4221000,58.0499200,-15.5928600,-1.5483900,-43.6069200,-122.4424400,-4.1972500,-0.8940100,82.6458100,-4.1537200,-11.2257500,55.2793400,-4.5982100,-1.9876700,-41.3770900
14,80.5472100,-0.0865300,-9.1667900,60.3876400,-15.7946700,-1.6857300,-45.7942900,-123.3869500,-4.1174900,-0.9249400,83.8838900,-3.9055300,-10.6122200,57.6478800,-4.8830500,-2.3437200,-43.7485200
