,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,69.2523700,-6.9699600,-7.7903500,25.6583800,-9.2350300,0.7163700,-16.7255800,-108.7135500,-3.0477800,-2.2905500,68.4611100,-12.3522700,-12.6668200,25.1261700,0.9245800,12.2756700,-13.4407800
1,69.4823200,-5.8426800,-8.3293700,27.1230700,-9.2933400,0.7362000,-18.1301400,-109.2671900,-3.0488800,-2.2630400,68.8216900,-11.1876500,-13.4898400,26.5461800,1.0193900,11.9463800,-14.8866300
2,69.8877000,-4.8424200,-8.6282500,28.5601000,-9.3859500,0.5996500,-19.6343100,-109.7525300,-3.0624500,-2.2089000,69.3452600,-10.1707500,-13.9965200,27.9122200,1.0789500,11.4413200,-16.3686700
3,70.4476200,-3.9440600,-8.7283200,29.9830100,-9.5222300,0.3374900,-21.2189000,-110.1917300,-3.0959100,-2.1363600,70.0163300,-9.2716600,-14.2107400,29.2409900,1.1125700,10.7744800,-17.8758300
4,71.1272400,-3.1230500,-8.6812100,31.3975000,-9.7026800,-0.0101800,-22.8604100,-110.6003900,-3.1517300,-2.0534300,70.8084200,-8.4561600,-14.1813900,30.5422700,1.1265400,9.9727100,-19.3958100
5,71.8901800,-2.3584600,-8.5359500,32.8066200,-9.9224700,-0.4066600,-24.5373500,-110.9903900,-3.2277300,-1.9686400,71.6916900,-7.6990800,-13.9668300,31.8238300,1.1253600,9.0746600,-20.9185200
6,72.7052400,-1.6367300,-8.3309900,34.2147100,-10.1749500,-0.8212700,-26.2324400,-111.3728300,-3.3202100,-1.8902600,72.6354200,-6.9879100,-13.6236100,33.0950100,1.1140100,8.1237500,-22.4377200
7,73.5481900,-0.9557200,-8.0894200,35.6274900,-10.4529800,-1.2281400,-27.9321200,-111.7585900,-3.4263000,-1.8248100,73.6090400,-6.3197900,-13.2005500,34.3664600,1.0982700,7.1593000,-23.9499300
8,74.4007500,-0.3242800,-7.8213900,37.0486900,-10.7473900,-1.6060800,-29.6244700,-112.1562600,-3.5431700,-1.7759800,74.5850000,-5.6963300,-12.7359500,35.6470900,1.0821100,6.2118300,-25.4532400
9,75.2489000,0.2421600,-7.5336900,38.4774300,-11.0457500,-1.9375800,-31.2973100,-112.5708500,-3.6664100,-1.7446100,75.5429300,-5.1202500,-12.2566100,36.9420400,1.0658200,5.3035300,-26.9469000
10,76.0817000,0.7274300,-7.2367100,39.9103100,-11.3334500,-2.2074900,-32.9385200,-113.0051300,-3.7901400,-1.7290500,76.4715000,-4.5943500,-11.7797200,38.2540600,1.0465200,4.4500900,-28.4312100
11,76.8904900,1.1199300,-6.9427900,41.3444000,-11.5961500,-2.4040900,-34.5374200,-113.4613600,-3.9080700,-1.7255200,77.3662600,-4.1224500,-11.3165600,39.5849300,1.0201500,3.6628700,-29.9062100
12,77.6688500,1.4162900,-6.6622700,42.7772800,-11.8230800,-2.5219800,-36.0856100,-113.9410700,-4.0147000,-1.7298100,78.2250800,-3.7103000,-10.8746200,40.9342800,0.9843500,2.9515000,-31.3692200
13,78.4128700,1.6213200,-6.4029800,44.2052600,-12.0093500,-2.5628900,-37.5773800,-114.4438900,-4.1065500,-1.7392100,79.0456100,-3.3641700,-10.4587000,42.2976700,0.9405500,2.3251300,-32.8133000
14,79.1205100,1.7448200,-6.1704800,45.6216200,-12.1546900,-2.5347900,-39.0088700,-114.9666100,-4.1815300,-1.7531800,79.8257100,-3.0877900,-10.0723800,43.6659700,0.8925200,1.7914100,-34.2278200
15,79.7908200,1.7989700,-5.9658900,47.0164800,-12.2610200,-2.4508400,-40.3766500,-115.5038100,-4.2375200,-1.7727700,80.5642900,-2.8803100,-9.7182800,45.0268700,0.8435600,1.3543800,-35.6004100
