,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,60.7257100,-7.0967400,-9.4781600,31.6574000,-5.5008000,7.5778100,-55.6841600,-111.3742200,4.6113700,-3.0294800,67.3449600,-15.8829200,-3.4542000,25.1474600,5.6327100,13.7548400,-11.3447100
1,60.5112200,-6.1294400,-10.3931800,31.9618800,-5.3060200,7.3908200,-55.8794100,-111.4605300,4.6333700,-3.0335600,67.2059900,-14.7665100,-4.6395100,25.6599800,5.8195500,13.5989400,-12.0626000
2,60.3883900,-5.4430100,-10.9747800,32.2884700,-5.1859900,7.3321700,-56.1592000,-111.5425600,4.6079900,-3.0086100,67.2836500,-14.0488500,-5.4114100,26.2329000,6.0084800,13.4196600,-12.9074400
3,60.3410800,-4.9870700,-11.2911000,32.6500500,-5.1193700,7.3780600,-56.5189100,-111.6321800,4.5492400,-2.9593700,67.5545400,-13.6338100,-5.8221900,26.8769300,6.1944100,13.2016400,-13.8758000
4,60.3497500,-4.7008900,-11.4219700,33.0500100,-5.0840100,7.4972700,-56.9493300,-111.7338200,4.4702500,-2.8918600,67.9824700,-13.4196100,-5.9598700,27.5867700,6.3727700,12.9421100,-14.9484800
5,60.3970800,-4.5276900,-11.4372400,33.4880900,-5.0626600,7.6591100,-57.4402800,-111.8487200,4.3804400,-2.8108500,68.5257000,-13.3233300,-5.9224400,28.3451800,6.5399000,12.6527100,-16.0885300
6,60.4692300,-4.4203800,-11.3896800,33.9649800,-5.0436600,7.8368200,-57.9821500,-111.9787400,4.2862100,-2.7194500,69.1470000,-13.2826600,-5.7921600,29.1344900,6.6924400,12.3458300,-17.2560000
7,60.5549200,-4.3430100,-11.3165600,34.4833300,-5.0201000,8.0096200,-58.5666000,-112.1270100,4.1918800,-2.6195000,69.8203400,-13.2501400,-5.6205700,29.9455300,6.8273800,12.0216000,-18.4245000
8,60.6452000,-4.2682800,-11.2435900,35.0480400,-4.9922900,8.1656900,-59.1887700,-112.2968100,4.0967600,-2.5106600,70.5282700,-13.1950200,-5.4338800,30.7763900,6.9456300,11.6712700,-19.5812400
9,60.7341400,-4.1750300,-11.1875900,35.6649100,-4.9684600,8.3021800,-59.8475800,-112.4905900,3.9940500,-2.3908100,71.2562800,-13.1052400,-5.2459300,31.6273000,7.0537700,11.2879300,-20.7195800
10,60.8191300,-4.0490800,-11.1567400,36.3380800,-4.9604500,8.4205600,-60.5430300,-112.7095300,3.8751200,-2.2582100,71.9916200,-12.9829300,-5.0652300,32.4995100,7.1610900,10.8712000,-21.8378900
11,60.9005200,-3.8853300,-11.1504500,37.0681700,-4.9790100,8.5218700,-61.2738800,-112.9532100,3.7339100,-2.1127700,72.7242400,-12.8381200,-4.8974100,33.3954500,7.2762100,10.4264900,-22.9405400
12,60.9808200,-3.6874700,-11.1624500,37.8501100,-5.0317500,8.6046100,-62.0364700,-113.2182800,3.5685400,-1.9570400,73.4466500,-12.6839200,-4.7459500,34.3164200,7.4055200,9.9634600,-24.0358500
13,61.0637800,-3.4657800,-11.1842100,38.6716400,-5.1224500,8.6646800,-62.8236700,-113.4981200,3.3816100,-1.7970600,74.1537600,-12.5339200,-4.6109300,35.2596100,7.5528700,9.4958400,-25.1318300
14,61.1526400,-3.2348100,-11.2057100,39.5151000,-5.2512400,8.6957900,-63.6249000,-113.7845200,3.1799000,-1.6424500,74.8431500,-12.4021300,-4.4875300,36.2178200,7.7200300,9.0419300,-26.2331300
15,61.2487000,-3.0113500,-11.2147700,40.3615700,-5.4154000,8.6914300,-64.4278100,-114.0697200,2.9724100,-1.5040800,75.5146900,-12.3032700,-4.3659500,37.1810200,7.9074100,8.6222400,-27.3397000
