,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,62.9097600,-3.4706800,-5.4612800,28.3570900,-7.3697000,1.6610800,-60.8810300,-105.8120200,-1.5643200,4.1145400,72.5676000,-13.6066300,-3.5443600,22.1835100,8.7829800,5.1965200,-17.7820700
1,62.5683100,-1.9521100,-6.1792200,29.2608500,-6.8658700,1.6805100,-61.5503300,-106.3315000,-1.3237600,4.2234600,72.7808100,-12.0666100,-4.7133700,23.4873100,8.5777700,4.2727200,-19.1778000
2,62.3444600,-0.8151700,-6.5404200,30.1707800,-6.4212800,1.8130100,-62.3440300,-106.8446400,-1.0902300,4.3575000,73.2199600,-11.0147100,-5.3924400,24.8242700,8.3217600,3.5207500,-20.6424400
3,62.2249300,0.0148500,-6.6278200,31.1042700,-6.0413000,2.0255400,-63.2663900,-107.3622500,-0.8713900,4.5064500,73.8539000,-10.4049300,-5.6512100,26.1964300,8.0449200,2.9492700,-22.1592200
4,62.1903000,0.6262200,-6.5358900,32.0727700,-5.7290500,2.2835000,-64.3142400,-107.8913700,-0.6737400,4.6588900,74.6420100,-10.1638200,-5.5860400,27.6021500,7.7781600,2.5537300,-23.7116100
5,62.2201400,1.0967900,-6.3450700,33.0801400,-5.4885700,2.5573100,-65.4783900,-108.4342200,-0.5042800,4.8041800,75.5432600,-10.2117200,-5.2897900,29.0360700,7.5498800,2.3191400,-25.2842700
6,62.2945100,1.4839400,-6.1129100,34.1228200,-5.3223300,2.8257600,-66.7445100,-108.9883600,-0.3684900,4.9342300,76.5211900,-10.4733400,-4.8385900,30.4909900,7.3811100,2.2224500,-26.8664900
7,62.3937200,1.8233100,-5.8748200,35.1919300,-5.2279100,3.0762500,-68.0946100,-109.5484200,-0.2678600,5.0441400,77.5454000,-10.8834800,-4.2925900,31.9608200,7.2824600,2.2378100,-28.4550100
8,62.4986900,2.1338400,-5.6492400,36.2764900,-5.1998800,3.3043100,-69.5094800,-110.1078900,-0.2017600,5.1318600,78.5905900,-11.3885600,-3.7018000,33.4419300,7.2561800,2.3398900,-30.0529900
9,62.5923500,2.4254400,-5.4447700,37.3664900,-5.2337500,3.5147700,-70.9712600,-110.6602600,-0.1721700,5.1987200,79.6361400,-11.9434100,-3.1077700,34.9326200,7.2999600,2.4997400,-31.6665100
10,62.6614200,2.7038200,-5.2657200,38.4545000,-5.3253800,3.7202500,-72.4641800,-111.2001000,-0.1836300,5.2495300,80.6673500,-12.5061500,-2.5409600,36.4321600,7.4065500,2.6810700,-33.3012800
11,62.6975300,2.9722300,-5.1132000,39.5358000,-5.4678600,3.9352100,-73.9734100,-111.7248200,-0.2386600,5.2908500,81.6760700,-13.0362800,-2.0209100,37.9404900,7.5615700,2.8440700,-34.9601000
12,62.6971800,3.2326100,-4.9834900,40.6082000,-5.6529500,4.1709000,-75.4845000,-112.2353900,-0.3365000,5.3285600,82.6587000,-13.4964800,-1.5607600,39.4579600,7.7459500,2.9513800,-36.6409500
13,62.6605200,3.4853700,-4.8685400,41.6698800,-5.8739500,4.4332200,-76.9828800,-112.7349400,-0.4744900,5.3664800,83.6134600,-13.8561400,-1.1707800,40.9838300,7.9406200,2.9728800,-38.3367300
14,62.5896300,3.7282300,-4.7599400,42.7156900,-6.1243900,4.7194900,-78.4520400,-113.2275800,-0.6453900,5.4044200,84.5400000,-14.0951200,-0.8570800,42.5150100,8.1279900,2.8925000,-40.0372900
15,62.4866100,3.9559100,-4.6522900,43.7360700,-6.3964800,5.0158700,-79.8732000,-113.7183800,-0.8343800,5.4359700,85.4394300,-14.2078900,-0.6160400,44.0468000,8.2933300,2.7143000,-41.7317800
