,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,69.0797700,-4.9382200,-9.2466400,30.8365100,-4.9271300,3.6969900,-33.5035400,-106.7655600,-3.9754300,1.7390100,70.9936100,-17.8916800,-5.3306100,19.1620000,7.5959600,10.1498900,-11.1699200
1,67.8532900,-3.9623900,-10.7809500,32.2654700,-4.8836400,3.5332100,-35.6751700,-106.8184800,-4.0116200,1.8143500,70.9022100,-17.3600200,-6.1981900,19.3287600,7.8336500,10.0558100,-11.4158000
2,66.7549600,-3.3311100,-11.9124300,33.5753300,-4.8248100,3.2793500,-37.6303500,-106.8390700,-3.9856000,1.8680000,70.9284100,-17.0767300,-6.7494400,19.4834900,7.9826200,10.0495000,-11.7239800
3,65.8327300,-2.9456700,-12.6651700,34.7565600,-4.7543300,2.9472500,-39.3204000,-106.8387200,-3.9037800,1.8964600,71.0502900,-16.9757000,-7.0449900,19.6398600,8.0561900,10.1021800,-12.1018900
4,65.1086700,-2.6977200,-13.0753500,35.8038900,-4.6721800,2.5560700,-40.6982900,-106.8295100,-3.7745800,1.9007400,71.2421600,-16.9846600,-7.1585500,19.8091800,8.0686300,10.1862700,-12.5488200
5,64.5691100,-2.4991600,-13.1915600,36.7178800,-4.5751400,2.1290700,-41.7248300,-106.8233900,-3.6076200,1.8868300,71.4811100,-17.0404000,-7.1610400,20.0011600,8.0326300,10.2764600,-13.0590400
6,64.1672000,-2.2941800,-13.0787100,37.5055300,-4.4584000,1.6925300,-42.3736300,-106.8319500,-3.4133700,1.8636400,71.7518300,-17.0946900,-7.1115000,20.2256900,7.9592600,10.3492200,-13.6266000
7,63.8373300,-2.0596200,-12.8098300,38.1782700,-4.3174800,1.2744900,-42.6333100,-106.8650400,-3.2028100,1.8402500,72.0488600,-17.1159300,-7.0512400,20.4918000,7.8584800,10.3844400,-14.2469300
8,63.5133300,-1.7982100,-12.4491900,38.7477300,-4.1504400,0.9000500,-42.5073200,-106.9282900,-2.9868700,1.8236200,72.3755200,-17.0864200,-7.0020700,20.8047600,7.7396800,10.3666900,-14.9169100
9,63.1424100,-1.5283700,-12.0431000,39.2235900,-3.9596900,0.5875300,-42.0129900,-107.0223300,-2.7761000,1.8171400,72.7396100,-16.9968300,-6.9713400,21.1653800,7.6124000,10.2854500,-15.6353800
10,62.6894900,-1.2741000,-11.6233900,39.6140100,-3.7525300,0.3480100,-41.1792700,-107.1444400,-2.5802100,1.8195600,73.1489200,-16.8433100,-6.9587300,21.5722700,7.4869400,10.1374100,-16.4038200
11,62.1333200,-1.0574800,-11.2120400,39.9265100,-3.5405500,0.1848900,-40.0429500,-107.2910500,-2.4068900,1.8242400,73.6095300,-16.6271100,-6.9587900,22.0248300,7.3741600,9.9284800,-17.2272800
12,61.4592500,-0.8944700,-10.8228900,40.1690900,-3.3373200,0.0946100,-38.6448400,-107.4596600,-2.2607800,1.8210500,74.1265000,-16.3536000,-6.9600400,22.5255100,7.2838900,9.6709600,-18.1154300
13,60.6517900,-0.7897400,-10.4675900,40.3510700,-3.1549000,0.0714700,-37.0267900,-107.6491200,-2.1433500,1.8004300,74.7047800,-16.0321500,-6.9455500,23.0799500,7.2233400,9.3786900,-19.0820700
14,59.6908700,-0.7316000,-10.1607100,40.4823200,-3.0029800,0.1117500,-35.2296700,-107.8584700,-2.0542200,1.7554600,75.3494000,-15.6776500,-6.8984100,23.6940600,7.1974800,9.0650600,-20.1414500
15,58.5549300,-0.6973200,-9.9144200,40.5721500,-2.8900700,0.2132000,-33.2935800,-108.0860000,-1.9934600,1.6818500,76.0649000,-15.3114300,-6.8079600,24.3704000,7.2110800,8.7428000,-21.3027500
