,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,65.1461700,-6.5061000,-10.4124500,34.9798400,-4.6468000,2.0547600,-41.3181400,-104.8460200,-2.6833700,0.6489300,71.8549200,-19.0551100,-4.6493600,15.2383400,6.5642200,17.2446700,-9.5176800
1,64.8272500,-5.7150300,-11.0532800,35.4641800,-4.4318900,1.3126500,-40.9237800,-104.8867300,-2.5811700,0.6842600,71.7922200,-18.3646300,-5.4107900,15.2977500,6.6331800,17.2869000,-9.7925400
2,64.5418200,-5.2454300,-11.3235800,35.8460800,-4.2079600,0.7163600,-40.1843600,-104.9334700,-2.4526300,0.7508600,71.8635400,-17.9256400,-5.8742000,15.3809100,6.6270600,17.2685800,-10.1172600
3,64.2351500,-5.0436500,-11.3144100,36.1401700,-3.9801400,0.2581400,-39.1317000,-104.9911500,-2.3080200,0.8358600,72.0630600,-17.6742700,-6.0964700,15.5020000,6.5702900,17.1948700,-10.5121800
4,63.8648400,-5.0418200,-11.1245400,36.3579000,-3.7518200,-0.0721800,-37.8018000,-105.0608100,-2.1574900,0.9286700,72.3741000,-17.5423900,-6.1453300,15.6682500,6.4870100,17.0729700,-10.9909700
5,63.4058200,-5.1712800,-10.8408100,36.5086400,-3.5282700,-0.2825500,-36.2340600,-105.1417600,-2.0110500,1.0193400,72.7756500,-17.4732100,-6.0835300,15.8820000,6.3993900,16.9127300,-11.5600000
6,62.8480900,-5.3706100,-10.5290200,36.6018600,-3.3178900,-0.3763900,-34.4718400,-105.2328600,-1.8792300,1.0994900,73.2467800,-17.4275900,-5.9623600,16.1421700,6.3269700,16.7247700,-12.2185900
7,62.1900400,-5.5905500,-10.2324300,36.6485900,-3.1303200,-0.3537600,-32.5617800,-105.3334500,-1.7721100,1.1642500,73.7703800,-17.3811100,-5.8188100,16.4463600,6.2849700,16.5162100,-12.9616800
8,61.4327900,-5.7949700,-9.9734100,36.6596100,-2.9744200,-0.2181000,-30.5510700,-105.4430700,-1.6963200,1.2110900,74.3355300,-17.3166500,-5.6742100,16.7920400,6.2822000,16.2896100,-13.7840600
9,60.5787700,-5.9603100,-9.7578300,36.6405300,-2.8580800,0.0174700,-28.4847500,-105.5584500,-1.6532000,1.2363900,74.9372900,-17.2202100,-5.5364300,17.1741800,6.3209900,16.0465100,-14.6823800
10,59.6329500,-6.0748700,-9.5852100,36.5910900,-2.7882300,0.3341000,-26.4051600,-105.6725200,-1.6405300,1.2345900,75.5752100,-17.0809300,-5.4048000,17.5847700,6.3996800,15.7895600,-15.6559100
11,58.6033400,-6.1367100,-9.4592700,36.5110600,-2.7690900,0.7165500,-24.3527100,-105.7779900,-1.6549000,1.2010600,76.2531000,-16.8915700,-5.2743400,18.0175700,6.5149100,15.5197400,-16.7077000
12,57.5007800,-6.1494700,-9.3886200,36.4034200,-2.8008500,1.1534000,-22.3647400,-105.8700000,-1.6922300,1.1341000,76.9779500,-16.6494500,-5.1396300,18.4699200,6.6620900,15.2355100,-17.8428800
13,56.3401100,-6.1178700,-9.3782900,36.2714100,-2.8815500,1.6279200,-20.4732800,-105.9446100,-1.7479100,1.0331400,77.7553800,-16.3588200,-4.9979900,18.9378700,6.8362500,14.9377800,-19.0621300
14,55.1423900,-6.0451500,-9.4218900,36.1161800,-3.0103700,2.1136200,-18.7040500,-105.9976100,-1.8181600,0.8962700,78.5841800,-16.0312600,-4.8491100,19.4117600,7.0339000,14.6339700,-20.3556200
15,53.9350700,-5.9331000,-9.4993700,35.9377100,-3.1879600,2.5785700,-17.0758900,-106.0255100,-1.9008000,0.7205200,79.4554800,-15.6818500,-4.6939300,19.8775100,7.2533300,14.3366500,-21.7031300
