,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,65.9117400,-11.8504400,-0.3964900,13.9684000,0.2332700,4.4895500,-2.5869400,-74.8666400,2.9189400,177.3492300,67.7429700,-2.1236400,-17.2099000,26.2316700,-0.3675700,9.8633500,-25.0293200
1,65.8217400,-10.8914200,-1.0741500,13.8831000,0.3225800,4.2983600,-2.5285500,-74.9253800,2.9407100,177.1643500,67.2420600,0.2226400,-18.3971900,27.6679300,-0.2687200,8.8046700,-27.8097100
2,65.7737400,-10.2906700,-1.5166400,13.7741800,0.3045000,4.1334400,-2.4176900,-74.9771400,3.0241600,176.9382900,67.0052000,2.1910000,-19.1144500,29.2182400,-0.1314900,7.7856300,-30.8745100
3,65.7401300,-10.0019800,-1.7759200,13.6589600,0.2112700,3.9904600,-2.2546500,-75.0088500,3.1440400,176.6766400,67.0685700,3.7742100,-19.4178000,30.8896700,0.0310100,6.8240000,-34.2317300
4,65.6959800,-9.9582500,-1.9159100,13.5498500,0.0736600,3.8630900,-2.0437100,-75.0129500,3.2779600,176.3857700,67.4231900,4.9770800,-19.4020700,32.6765700,0.2082500,5.9255900,-37.8632400
5,65.6334400,-10.0870700,-2.0028600,13.4551100,-0.0862500,3.7448800,-1.7957900,-74.9868400,3.4120100,176.0729700,68.0293900,5.8051000,-19.1723500,34.5614200,0.3950800,5.0890500,-41.7255600
6,65.5586000,-10.3199200,-2.0884600,13.3804100,-0.2569500,3.6286800,-1.5273200,-74.9309600,3.5414000,175.7452200,68.8376700,6.2658300,-18.8164200,36.5195400,0.5924600,4.3093900,-45.7577600
7,65.4792100,-10.5944900,-2.1903700,13.3304200,-0.4355800,3.5056900,-1.2585000,-74.8468600,3.6681400,175.4079700,69.8015400,6.3763400,-18.3897100,38.5248800,0.8060000,3.5806100,-49.8915100
8,65.3996800,-10.8555900,-2.2934200,13.3100100,-0.6240400,3.3665700,-1.0122000,-74.7362800,3.7975000,175.0652000,70.8789300,6.1710000,-17.9174300,40.5538300,1.0424800,2.8967600,-54.0580900
9,65.3180300,-11.0620900,-2.3616100,13.3246300,-0.8258800,3.2031100,-0.8104400,-74.6009300,3.9356100,174.7205200,72.0299800,5.7054000,-17.4065700,42.5869000,1.3068100,2.2517500,-58.1922100
10,65.2253600,-11.1956700,-2.3556300,13.3802500,-1.0447200,3.0098100,-0.6690400,-74.4420700,4.0880000,174.3775900,73.2173500,5.0551200,-16.8589700,44.6096300,1.6007800,1.6398500,-62.2351400
11,65.1179300,-11.2612900,-2.2640800,13.4828400,-1.2820200,2.7869200,-0.5958600,-74.2604400,4.2574900,174.0413200,74.4084700,4.3110100,-16.2804600,46.6125300,1.9205300,1.0562300,-66.1369600
12,65.0071000,-11.2779700,-2.1183300,13.6363800,-1.5365300,2.5430200,-0.5929500,-74.0580100,4.4444300,173.7200600,75.5777900,3.5690700,-15.6798000,48.5878700,2.2544500,0.4938300,-69.8566500
13,64.9115400,-11.2662400,-1.9668900,13.8401400,-1.8087100,2.2934700,-0.6590000,-73.8397800,4.6521000,173.4265900,76.7069800,2.9140000,-15.0588100,50.5248700,2.5864000,-0.0629400,-73.3596600
14,64.8445100,-11.2392000,-1.8398700,14.0887000,-2.1042300,2.0557900,-0.7913100,-73.6130400,4.8899000,173.1756400,77.7835800,2.4056800,-14.4091100,52.4090300,2.9015800,-0.6382600,-76.6161700
15,64.8108700,-11.1994400,-1.7409300,14.3746200,-2.4287100,1.8414300,-0.9862000,-73.3841600,5.1660200,172.9768200,78.7994700,2.0766000,-13.7261600,54.2279700,3.1908200,-1.2498000,-79.6026300
