,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,72.4577600,-14.3811900,-0.5152700,13.8037600,-0.1901700,3.6199100,-10.7873200,-74.1574700,4.3503400,-30.2944000,66.4318500,-7.4705200,-15.1916700,26.4791200,1.3201500,10.2307800,-29.8377200
1,72.1991000,-13.5196500,-1.3326300,13.7135500,-0.1975900,3.3151800,-10.7394500,-74.2512200,4.4306900,28.5549600,65.4275700,-5.5797000,-16.3737000,28.1850500,1.6012300,9.3839100,-32.8045300
2,72.0554600,-12.9521400,-1.8467300,13.6201300,-0.2322200,2.9797000,-10.6906700,-74.3402300,4.4987000,82.7949800,64.7754700,-4.0779400,-17.1368600,29.9602100,1.8350900,8.5891700,-35.8558300
3,71.9967300,-12.6242700,-2.1166800,13.5323700,-0.2889900,2.6324500,-10.6472700,-74.4195300,4.5581300,126.3909800,64.5567800,-2.9428600,-17.5032900,31.7801300,2.0300200,7.8401700,-38.9487600
4,71.9878700,-12.4703800,-2.2137200,13.4594700,-0.3641200,2.2940300,-10.6133500,-74.4831200,4.6151200,157.3616900,64.7964600,-2.1264000,-17.5311800,33.6249200,2.1969200,7.1207400,-42.0395700
5,71.9957000,-12.4289700,-2.2021300,13.4080500,-0.4558200,1.9812900,-10.5891700,-74.5253800,4.6768300,176.7366600,65.4558000,-1.5736300,-17.2986600,35.4788100,2.3459900,6.4124800,-45.0829400
6,71.9929100,-12.4499500,-2.1315000,13.3797600,-0.5645500,1.7043500,-10.5707600,-74.5428700,4.7503400,186.9338200,66.4480400,-1.2330400,-16.8868500,37.3279700,2.4857700,5.6994400,-48.0329400
7,71.9608800,-12.4964200,-2.0357300,13.3723700,-0.6933100,1.4665000,-10.5517800,-74.5341800,4.8426000,190.6952700,67.6663700,-1.0609000,-16.3661800,39.1599500,2.6238700,4.9698500,-50.8451800
8,71.8918500,-12.5436100,-1.9349300,13.3833400,-0.8467700,1.2648700,-10.5265700,-74.4982900,4.9597900,190.4844800,69.0073500,-1.0210300,-15.7920500,40.9647400,2.7672800,4.2176500,-53.4789700
9,71.7894900,-12.5772900,-1.8408300,13.4109200,-1.0291500,1.0913400,-10.4913900,-74.4343300,5.1059200,188.2200000,70.3823400,-1.0822700,-15.2070500,42.7349200,2.9220100,3.4444900,-55.8991900
10,71.6670800,-12.5920900,-1.7634800,13.4522700,-1.2424900,0.9338500,-10.4438200,-74.3428500,5.2815400,185.2256500,71.7213600,-1.2157000,-14.6423300,44.4639400,3.0926300,2.6596100,-58.0773400
11,71.5430000,-12.5888100,-1.7134000,13.5025200,-1.4855800,0.7786600,-10.3822800,-74.2265100,5.4832700,182.3021200,72.9743400,-1.3926200,-14.1163000,46.1448000,3.2812400,1.8764300,-59.9918600
12,71.4338800,-12.5715300,-1.6967200,13.5565000,-1.7533100,0.6149900,-10.3067600,-74.0893400,5.7044500,179.8512700,74.1104400,-1.5828400,-13.6351800,47.7703600,3.4852300,1.1078100,-61.6279900
13,71.3487400,-12.5458000,-1.7103300,13.6107400,-2.0374900,0.4398500,-10.2196800,-73.9358600,5.9372400,178.0063900,75.1133400,-1.7545800,-13.1988400,49.3337500,3.6973500,0.3634600,-62.9770900
14,71.2882500,-12.5177100,-1.7453000,13.6633600,-2.3291500,0.2576600,-10.1249500,-73.7704200,6.1741400,176.7403100,75.9741000,-1.8775700,-12.8092200,50.8286900,3.9099600,-0.3472100,-64.0354200
15,71.2484600,-12.4929000,-1.7940600,13.7128700,-2.6205600,0.0756900,-10.0263500,-73.5969400,6.4085500,175.9451300,76.6857500,-1.9282400,-12.4721900,52.2496000,4.1194800,-1.0117600,-64.8031000
