,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,56.9602200,-9.4690200,-18.5306000,31.1605200,-28.5818600,-21.8225000,-21.1489900,-109.0776900,-3.6409800,-3.5657700,60.1417200,-11.1152700,-26.2085800,27.9366800,-16.3405900,-10.4198400,-17.4809800
1,57.6897400,-9.0557800,-18.6691800,32.9074300,-29.2361700,-21.6692100,-23.0889700,-109.6631200,-3.7161000,-3.7296400,60.8434100,-10.3386200,-26.3128200,29.5583700,-16.5828500,-11.2346700,-19.2429200
2,58.5178900,-8.6273500,-18.6225700,34.6273400,-29.8972400,-21.5418900,-25.0763600,-110.2059600,-3.7750100,-3.9077500,61.6981600,-9.4332500,-26.1373100,31.1868200,-16.8634500,-12.0307800,-21.0825900
3,59.4317900,-8.2037400,-18.4436100,36.3388800,-30.5649200,-21.4288600,-27.0999300,-110.7279400,-3.8157700,-4.0991000,62.6945300,-8.4597500,-25.7551500,32.8433800,-17.1841600,-12.7808500,-23.0039800
4,60.4123500,-7.7980900,-18.1806900,38.0604100,-31.2375000,-21.3117700,-29.1497400,-111.2447000,-3.8393700,-4.2970800,63.8099200,-7.4722600,-25.2432900,34.5412800,-17.5446700,-13.4671400,-25.0081300
5,61.4384800,-7.4152100,-17.8726700,39.8024700,-31.9099800,-21.1762700,-31.2168500,-111.7639300,-3.8451800,-4.4934300,65.0176600,-6.5119300,-24.6678900,36.2852600,-17.9457800,-14.0775400,-27.0925100
6,62.4894600,-7.0551000,-17.5483700,41.5682400,-32.5735600,-21.0137400,-33.2940400,-112.2874300,-3.8290500,-4.6805600,66.2917600,-5.6058300,-24.0783900,38.0742800,-18.3905300,-14.6028400,-29.2505000
7,63.5472500,-6.7171200,-17.2272900,43.3594400,-33.2187500,-20.8180200,-35.3778100,-112.8152700,-3.7854900,-4.8531800,67.6090900,-4.7697000,-23.5080900,39.9054900,-18.8814100,-15.0361900,-31.4712000
8,64.5988800,-6.4008800,-16.9214600,45.1835900,-33.8420000,-20.5816900,-37.4699900,-113.3500800,-3.7130900,-5.0098400,68.9493600,-4.0114400,-22.9775900,41.7781300,-19.4146700,-15.3739500,-33.7408200
9,65.6370800,-6.1051800,-16.6381600,47.0563400,-34.4488100,-20.2949300,-39.5763300,-113.8987000,-3.6174700,-5.1527000,70.2942100,-3.3338100,-22.4975100,43.6951400,-19.9778800,-15.6161300,-36.0453100
10,66.6582100,-5.8280000,-16.3806600,48.9946300,-35.0482900,-19.9496400,-41.7013900,-114.4697100,-3.5071500,-5.2854600,71.6268300,-2.7358700,-22.0701000,45.6615900,-20.5550500,-15.7639700,-38.3721000
11,67.6601900,-5.5664800,-16.1465300,51.0111800,-35.6476400,-19.5431400,-43.8451800,-115.0713000,-3.3890500,-5.4116100,72.9327400,-2.2150400,-21.6912400,47.6830600,-21.1316800,-15.8178400,-40.7103500
12,68.6416800,-5.3163900,-15.9275600,53.1160200,-36.2517200,-19.0762400,-46.0037100,-115.7117800,-3.2686700,-5.5333900,74.2010700,-1.7693100,-21.3531600,49.7653200,-21.6954200,-15.7788500,-43.0510000
13,69.6017700,-5.0727100,-15.7135100,55.3172500,-36.8631400,-18.5497700,-48.1702700,-116.3988200,-3.1510800,-5.6512900,75.4248800,-1.3968500,-21.0462900,51.9128000,-22.2364000,-15.6519300,-45.3865500
14,70.5395800,-4.8318600,-15.4961500,57.6180100,-37.4817200,-17.9641800,-50.3364100,-117.1372600,-3.0400600,-5.7649000,76.6002700,-1.0940400,-20.7612600,54.1265300,-22.7479600,-15.4457700,-47.7103500
