,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,76.9844700,-4.7726000,0.9819600,2.7356800,1.9782900,5.1213600,-17.6924800,-78.8542200,11.5195300,-135.9045600,62.4410000,-20.7623200,-10.9442300,36.3047700,0.3747900,11.8321800,3.9138000
1,75.9336700,-3.1844600,-0.4723800,2.4471200,1.8703400,5.3567400,-18.5046900,-78.8210100,11.6209300,-135.8715800,61.0303300,-20.6437400,-12.3542800,36.2623500,0.5684200,11.9786600,3.0508700
2,74.8202200,-2.0313100,-1.5857800,2.1905600,1.5610100,5.3883100,-19.4188600,-78.9038500,11.7992900,-135.9063300,59.4651300,-20.4801600,-13.6428600,36.1313600,0.9403200,12.1881800,2.2215800
3,73.5940000,-1.2025500,-2.4118500,1.9991700,1.0814700,5.2221300,-20.4619200,-79.0778500,12.0477200,-136.0112000,57.8028300,-20.2546300,-14.8503900,35.9278800,1.4643700,12.4381800,1.4507200
4,72.2067100,-0.5707100,-3.0173400,1.8989200,0.4627300,4.8680300,-21.6594200,-79.3225200,12.3540200,-136.1878700,56.1390200,-19.9623100,-16.0048300,35.6698500,2.1187500,12.7141800,0.7234500
5,70.6212400,-0.0205300,-3.4641300,1.9071500,-0.2698100,4.3393200,-23.0351400,-79.6247800,12.7024200,-136.4355600,54.5903500,-19.6139500,-17.1053700,35.3735800,2.8881900,13.0091200,-0.0018200
6,68.8156700,0.5325400,-3.8023600,2.0356500,-1.0930900,3.6582900,-24.6099800,-79.9747200,13.0743500,-136.7500200,53.2701600,-19.2347700,-18.1210500,35.0525800,3.7589600,13.3213700,-0.7745600
7,66.7869500,1.1347000,-4.0678400,2.2973500,-1.9810200,2.8582600,-26.4007900,-80.3579800,13.4505700,-137.1248300,52.2667800,-18.8569200,-18.9969500,34.7195800,4.7126400,13.6495300,-1.6336900
8,64.5543700,1.7931600,-4.2766000,2.7095400,-2.9035700,1.9790800,-28.4194100,-80.7530100,13.8139800,-137.5522800,51.6298800,-18.5101900,-19.6651100,34.3865900,5.7239500,13.9849700,-2.5949600
9,62.1589800,2.4812100,-4.4221200,3.2884200,-3.8301500,1.0621200,-30.6690800,-81.1362100,14.1503000,-138.0217600,51.3667300,-18.2159900,-20.0625800,34.0597000,6.7621300,14.3083500,-3.6474100
10,59.6589300,3.1523200,-4.4838800,4.0413800,-4.7327400,0.1470700,-33.1389800,-81.4878900,14.4473400,-138.5188800,51.4488100,-17.9844200,-20.1517100,33.7356700,7.7934700,14.5931300,-4.7592700
11,57.1266600,3.7570400,-4.4454400,4.9662600,-5.5865900,-0.7287200,-35.8021500,-81.7934300,14.6957700,-139.0253100,51.8247800,-17.8134900,-19.9334900,33.4058100,8.7832900,14.8112900,-5.8891800
12,54.6502000,4.2548100,-4.3177000,6.0554100,-6.3697200,-1.5253600,-38.6182900,-82.0426900,14.8907700,-139.5172400,52.4350400,-17.6912500,-19.4477300,33.0611200,9.6968600,14.9364800,-6.9953500
13,52.3338600,4.6206300,-4.1528800,7.2964400,-7.0640400,-2.1998900,-41.5372800,-82.2316000,15.0322200,-139.9654400,53.2249700,-17.5987000,-18.7561800,32.6928500,10.5024700,14.9462600,-8.0405900
14,50.2938300,4.8467800,-4.0288500,8.6702000,-7.6576900,-2.7190100,-44.5024800,-82.3629500,15.1229000,-140.3426800,54.1509800,-17.5114000,-17.9240100,32.2920500,11.1772500,14.8267000,-8.9963300
15,48.6492600,4.9388400,-4.0139200,10.1518400,-8.1454700,-3.0708300,-47.4562500,-82.4443700,15.1664800,-140.6321900,55.1755300,-17.4021800,-17.0158400,31.8510800,11.7103600,14.5768700,-9.8453600
